fv_net_navn,forsyid,aar,vaerk_kommune,kvoteaktivitet,DB07,NR117,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ,vaerk_id,vrkanl_ny,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,fv_net,selskab_id,cvr,selskab_navn,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,aktoer,idriftdato,skrotdato
Århus Fjernvarme,00000000,2000,259.0,0.0,11300.0,10000.0,1125.8849999999998,413.406,37.617,10519.791543,313.9623543999366,5.22879999999795,3997.9901556,3667.8053916,0.10694128596641277,0.7715434014169219,0.12151531261666532,9033.643,862.73,0.0,18.0882324,0.0,0.0,534.9486095999999,0.0,61.420701,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.161,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,ER,Erhvervsværk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2001,259.0,0.0,11300.0,10000.0,1127.4999999999998,413.64000000000004,36.763,6814.063917840001,254.2782617999371,5.368799999997949,2537.7796836,2312.1699768000003,0.12358871928214486,0.7402093248747785,0.13620195584307657,5889.024,383.276,0.0,17.617812,0.0,0.0,393.51908059,0.0,121.87302525,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.954,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,ER,Erhvervsværk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2002,230.0,0.0,842200.0,840022.0,1145.3859999999997,419.2045,44.315,10170.22507098,374.8739551998843,33.38879999999795,3964.839444,3676.7074536,0.11508851835597451,0.7231484671034488,0.16176301454057665,9068.958,294.427,0.0,16.559604,0.0,0.0,628.51425898,0.0,153.282208,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.684,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2003,230.0,0.0,842200.0,840022.0,1146.6909999999998,419.71450000000004,45.05,20674.753860074143,411.57471239996414,69.8688,8102.43594487437,7481.64968767437,0.14624193955666953,0.7321930821547366,0.12156497828859388,19467.88,382.1339128,0.0,17.7295932,0.0,0.0,533.2721544,0.0,265.57174200000003,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.3664576741412247,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2004,230.0,0.0,842200.0,840022.0,1146.6909999999998,419.5725,44.681,10332.584864359998,444.1186674523884,88.796288,3934.1454917424608,3576.564047342461,0.1283927898896816,0.7153126190422875,0.15629459106803087,9114.059,345.063622,0.0,17.954014344,0.0,0.0,531.8293464,0.0,317.0717340109992,5.8,0.0,0.0,0.0,0.05,0.0,0.0,2.725731378,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2005,230.0,0.0,842200.0,840022.0,1155.431,419.7395,51.291,7384.8948371877805,439.26289385131395,196.311816551314,2776.144193979561,2548.381244379562,0.1634605796018469,0.7147003484955673,0.12183907190258582,6222.087,354.586,0.0,37.471966390000006,0.0,0.0,494.81742393999997,0.0,266.0571782460315,5.8,1.96,0.0,0.228,0.201,0.0,0.0,1.6862686117485166,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2006,230.0,0.0,842200.0,840022.0,1213.5810000000001,440.311,52.297,18180.847871629285,473.51142163364466,211.7330554435042,7113.065765242899,6601.424221642898,0.1595866718366925,0.628801098223591,0.21161222993971646,17142.23295386325,292.0857775258786,0.0,20.7148107,0.0,0.0,422.5394728,0.0,298.03896338130994,0.0,2.111,0.0,0.41825,0.440895,0.0,0.0,2.2657483589259977,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2007,230.0,0.0,842200.0,840022.0,1213.416,440.05300000000005,51.739999999999995,10514.733259606528,451.61677069481254,199.75169480502507,3949.868601738,3679.032109338,0.1908933672803398,0.6713789696357262,0.13772766308393403,9264.365,458.269,0.0,101.738161,0.0,0.0,321.518736,0.0,357.5563877249265,5.8,2.153,0.0,0.595,0.2720676,0.0,0.0,2.4659072816000003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2008,230.0,0.0,842200.0,840022.0,1214.523,440.50300000000004,52.37,6841.324206148713,375.018465581625,177.98169999999996,2532.563772236,2365.294243436,0.16614515745626024,0.6869649139840025,0.1468899285597372,5881.044,327.95700000000005,0.0,24.962765599999997,0.0,0.0,264.93749096,0.0,323.6945514419118,5.8,2.184,0.0,0.161525,0.04753925,0.0,0.0972,1.2393418968,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2009,230.0,0.0,842200.0,840022.0,1215.5855,440.8855,52.92,3024.9915650364383,378.73425920120087,142.1624875880759,1077.341478516,896.823974916,0.1372593336575806,0.7205587110674003,0.14218195527501903,1565.63737589385,820.6076706235079,0.0,25.2640122,0.0,0.0,184.108114,0.0,424.3674549330883,0.0,2.187,0.0,0.6125,0.03455925,0.0,0.0936,2.079278136,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-04-01
