vaerk_id,forsyid,vrkanl_ny,vaerk_navn,aar,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
0,,0,0,2021,0,0,510,0,0,0,0,0,0.0,LO,Lokalt værk,0,Forbrændingsmotor,,,pev,1994-08-15,00:00:00,5.07,1.81,2.8,2.44375,1.2312,0.0,0.918,0.918,0.0,0.3740460358,0.6259539642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0,0,2022,0,0,510,0,0,0,0,0,0.0,LO,Lokalt værk,,Forbrændingsmotor,,,pev,1994-08-15,00:00:00,5.07,1.81,2.8,0.036,0.0,0.0,0.0144,0.0144,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0,0,2023,0,0,510,0,0,0,0,,,LO,Lokalt værk,,Forbrændingsmotor,,,pev,1994-08-15,00:00:00,5.07,1.81,2.8,6.5228,3.11292,0.0,2.36088,2.36088,0.0,0.38069080765,0.61930919235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1614,30173929,1614-1,2 B biogas A/S,2021,9900,Frederikshavn,813,0,0,1651,26688396,2 B BIOGAS A/S,0.0,LO,Lokalt værk,-,Forbrændingsmotor,352100.0,350020.0,kvt,2002-12-16,2022-12-31 00:00:00,1.3,0.47,0.7,13.26709,6.7662,0.0,4.510800000000001,4.510800000000001,0.2549994008,0.7450005992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.26709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1614,30173929,1614-1,2 B biogas A/S,2022,9900,Frederikshavn,813,0,0,1651,26688396,2 B BIOGAS A/S,0.0,LO,Lokalt værk,-,Forbrændingsmotor,352100.0,350020.0,kvt,2002-12-16,2022-12-31 00:00:00,1.3,0.47,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
928,10411912,928-5,"A/S Knud Jepsen, Skanderborgvej",2021,8382,Hinnerup,710,0,0,1096,11757278,A/S KNUD JEPSEN,0.0,ER,Erhvervsværk,KV 4,Forbrændingsmotor,11900.0,10000.0,pev,2012-01-01,00:00:00,12.25,4.87,6.1,34.8005196,14.9166,0.0,13.083480000000002,7.785,0.0,0.787356821875,0.212643178125,0.0,0.0,0.0,0.0,0.0,0.0,34.8005196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
928,10411912,928-5,"A/S Knud Jepsen, Skanderborgvej",2022,8382,Hinnerup,710,0,0,1096,11757278,A/S KNUD JEPSEN,0.0,ER,Erhvervsværk,KV 4,Forbrændingsmotor,11900.0,10000.0,pev,2012-01-01,00:00:00,12.25,4.87,6.1,27.894438,12.22308,0.0,10.58184,8.43732,0.0,0.7815519342499999,0.21844806575,0.0,0.0,0.0,0.0,0.0,0.0,27.894438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
928,10411912,928-5,"A/S Knud Jepsen, Skanderborgvej",2023,8382,Hinnerup,710,0,0,1096,11757278,A/S KNUD JEPSEN,,ER,Erhvervsværk,KV 4,Forbrændingsmotor,11900.0,10000.0,pev,2012-01-01,00:00:00,12.25,4.87,6.1,44.8629588,19.656,0.0,16.86204,11.33208,0.0,0.7842112154,0.2157887846,0.0,0.0,0.0,0.0,0.0,0.0,44.8629588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1472,10411912,1472-2,"A/S Knud Jepsen, Trigevej 7",2021,8382,Hinnerup,710,0,0,1096,11757278,A/S KNUD JEPSEN,0.0,ER,Erhvervsværk,Kraftvarmeanlæg,Forbrændingsmotor,11900.0,10000.0,pev,1998-10-01,00:00:00,2.07,0.8,1.02,19.388754,9.42804,0.0,7.02252,4.341240000000001,0.0,0.7568683372,0.2431316628,0.0,0.0,0.0,0.0,0.0,0.0,19.388754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1472,10411912,1472-2,"A/S Knud Jepsen, Trigevej 7",2022,8382,Hinnerup,710,0,0,1096,11757278,A/S KNUD JEPSEN,0.0,ER,Erhvervsværk,Kraftvarmeanlæg,Forbrændingsmotor,11900.0,10000.0,pev,1998-10-01,00:00:00,2.07,0.8,1.02,6.7750848,3.15936,0.0,2.60568,2.25,0.0,0.7668398187,0.2331601813,0.0,0.0,0.0,0.0,0.0,0.0,6.7750848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
