aar,cvr,vaerk_id,vrkanl_ny,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
2021, , , , , , ,259, , , ,,0.0,ER,Erhvervsværk,,Forbrændingsmotor,,,pev,2003-01-10,00:00:00,93.99633299999999,35.342,23.15,389.4325235,213.03576,57.8664,117.46789199999999,117.46789199999999,0.08965612212093023,0.6936952451534885,0.2166486327255814,0.0,0.0,0.0,0.4781471,0.0,0.0,28.365242400000003,0.0,305.337834,53.6529,0.0,0.0,0.0,0.0,0.0,0.0,1.5984,0.0,0.0
2021,0,0,0,0,0,0,510,0,0,0,0,0.0,LO,Lokalt værk,0,Forbrændingsmotor,,,pev,1994-08-15,00:00:00,7.276999999999999,2.516,4.351,9.48327337,4.468086,3.236886,2.4966396,2.4966396,0.3231450874875,0.5203664214625,0.15648849105,0.0,0.0,0.0,7.0395233699999995,0.0,0.0,0.0,0.0,2.44375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,10007127,2191,2191-1,Miljø Teknik (Novozymes A/S),4400,Kalundborg,326,888,Blokvarme mv,1701,NOVOZYMES A/S,0.0,ER,Erhvervsværk,Biogasanlæg KA,Forbrændingsmotor,201400.0,200010.0,pev,2013-04-01,00:00:00,7.1,3.1,3.4,116.015328,57.78720000000001,15.156,48.9456,48.9456,0.0653189551,0.7509501503,0.1837308946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.015328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,10008123,2242,2242-1,Penta-Infra Datacenter Glostrup,2600,Glostrup,165,2,Storkøbenhavns Fjernvarme,2278,Sentia Denmark A/S,0.0,ER,Erhvervsværk,regulerkraftmotor,Forbrændingsmotor,611000.0,610000.0,pel,2016-02-26,2023-01-01 00:00:00,3.16,1.25,0.18,5.690495,5.3856,4.8024,0.10368,0.10368,0.44585561495,0.5,0.05414438505,0.0,0.0,0.0,0.304895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5352,0.0,0.0,1.8504,0.0
2021,10046769,293,293-2,"Viborg Varme Produktion A/S, Farvervej 9",8800,Viborg,791,267,Viborg Fjernvarme,718,VIBORG VARME PRODUKTION A/S,0.0,FJ,Fjernvarmeværk,Kedel 2,Kedel,353000.0,350030.0,fvv,1996-01-01,00:00:00,219.74499999999998,57.0,149.77,1903.0709184,1269.6299999999999,1269.6299999999999,532.2204,524.1672,0.930770165209091,0.06922983479090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0609344,0.0,7.502783999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4688,3.0384
2021,10052947,143,143-4,Give Energianlæg ApS (Energivej 8),7323,Give,630,145,Give Fjernvarme,150,GIVE ENERGIANLÆG ApS,0.0,DC,Decentralt værk,Elkedel,Elpatron,353000.0,350030.0,fvv,2020-02-02,00:00:00,19.5,3.1,16.5,182.39352,146.56212000000002,146.56212000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.3246,0.0,0.0,0.0,0.0,0.0,0.0,47.06892000000001,0.0
2021,10373816,1,1-14,Crossbridge Energy A/S,7000,Fredericia,607,81,TVIS,1,Crossbridge Energy A/S,2.0,ER,Erhvervsværk,U-5800 Overskudsvarme (del af 1-2),Overskudsvarme,192000.0,190000.0,pvp,1994-01-01,00:00:00,153.23000000000002,26.0,108.0,3391.1886213987,2240.7599999999998,1717.8,522.1007999999999,141.3468,0.5330249343,0.39916697925,0.0678080865,0.0,0.0,0.0,0.0,1928.088621398745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.1,0.0,0.0,0.0,0.0
2021,10411912,161,161-2,"Hinnerup Fjernvarme, Fanøvej 15",8382,Hinnerup,710,204,Hammel Fjernvarme,169,Hinnerup Fjernvarme,0.0,FJ,Fjernvarmeværk,Naturgas kedel 2,Kedel,353000.0,350030.0,fvv,1988-09-01,00:00:00,54.940000000000005,0.0,52.410000000000004,325.26989540000005,316.995084,316.995084,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0767617999999999,0.0,0.0,0.0303336,0.0,0.0,239.616,85.5468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,10419034,945,945-7,Brædstrup Totalenergianlæg AS,8740,Brædstrup,615,140,Brædstrup Fjernvarme,239,BRÆDSTRUP TOTALENERGIANLÆG A/S,1.0,DC,Decentralt værk,Kedel 2,Kedel,351100.0,350010.0,fvv,2006-11-01,00:00:00,65.69800000000001,7.28,60.856,194.77719,156.31308,152.6976,28.215000000000003,28.215000000000003,0.8285064543222221,0.17149354567777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.68411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.49268,0.0,51.08839200000001,38.512008
2021,10663210,102,102-1,"Farum Fjernvarme, Stavnsholtvej 33",3520,Farum,190,18,Hillerød-Farum-Værløse,109,FARUM FJERNVARME A M B A,1.0,FJ,Fjernvarmeværk,Kedel 2,Kedel,353000.0,350030.0,fvv,1973-11-09,00:00:00,52.1,0.0,54.800000000000004,244.27004652,239.71,239.71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.67586972,0.0,0.0,239.5941768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
