vaerk_id,vrkanl_ny,vaerk_navn,aar,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,fv_net_navn,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
1,1-14,Crossbridge Energy A/S,2021,7000,Fredericia,607,81,TVIS,1,10373816,Crossbridge Energy A/S,2.0,ER,Erhvervsværk,U-5800 Overskudsvarme (del af 1-2),Overskudsvarme,192000.0,190000.0,pvp,1994-01-01,00:00:00,56.0,0.0,56.0,1463.1,1463.1,1463.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.1,0.0,0.0,0.0,0.0
1,1-2,Crossbridge Energy A/S,2021,7000,Fredericia,607,81,TVIS,1,10373816,Crossbridge Energy A/S,2.0,ER,Erhvervsværk,U-2000 Gasturbine,Gasturbine,192000.0,190000.0,pev,1993-01-01,00:00:00,97.23,26.0,52.0,1928.0886213987,777.66,254.7,522.1007999999999,141.3468,0.0660498686,0.7983339585,0.135616173,0.0,0.0,0.0,0.0,1928.088621398745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2-1,Assens Fjernvarme Stejlebjergvej,2021,5610,Assens,420,71,Assens Fjernvarme,2362,40517987,Assens Fjernvarme Produktion A/S,0.0,DC,Decentralt værk,Blok I,Kedel,353000.0,350030.0,fvv,1984-02-01,00:00:00,20.8,0.0,18.9,32.49006,30.530484,30.530484,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.49006,0.0,0.0,0.0,0.0,0.0,0.0
2,2-4,Assens Fjernvarme Stejlebjergvej,2021,5610,Assens,420,71,Assens Fjernvarme,2362,40517987,Assens Fjernvarme Produktion A/S,0.0,DC,Decentralt værk,Blok II,Dampturbine,353000.0,350030.0,kvt,1999-03-23,00:00:00,17.2,4.7,14.9,378.72866,291.8640600000001,286.69356,68.95367999999999,65.94192,0.3853207993,0.6146792007,0.0,0.0,0.0,0.0,0.25628,0.0,0.0,0.0,0.0,0.0,0.0,378.47238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3-3,Assens Fjernvarme (Mariagerfjord),2021,9550,Mariager,846,209,Assens (v. Mariager) Fjernvarme,4,27837417,ASSENS FJERNVARME A M B A,0.0,FJ,Fjernvarmeværk,Fliskedel,Kedel,353000.0,350030.0,fvv,2008-10-01,00:00:00,6.0,0.0,6.0,80.568,79.0992,79.0992,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3-2,Assens Fjernvarme (Mariagerfjord),2021,9550,Mariager,846,209,Assens (v. Mariager) Fjernvarme,4,27837417,ASSENS FJERNVARME A M B A,0.0,FJ,Fjernvarmeværk,Oliereservekedel,Kedel,353000.0,350030.0,fvv,1994-11-01,00:00:00,5.8,0.0,5.8,0.14348,0.1332,0.1332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4-3,Aulum Fjernvarme A.m.b.a. (Rugbjergvej 3),2021,7490,Aulum,657,159,Aulum Fjernvarme,5,39042010,AULUM FJERNVARME AMBA,0.0,FJ,Fjernvarmeværk,"Kedel 2 6,6 MW,  Naturgas",Kedel,353000.0,350030.0,fvv,1965-09-01,00:00:00,6.6,0.0,5.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4-2,Aulum Fjernvarme A.m.b.a. (Rugbjergvej 3),2021,7490,Aulum,657,159,Aulum Fjernvarme,5,39042010,AULUM FJERNVARME AMBA,0.0,FJ,Fjernvarmeværk,"Kedel 1 4,1 MW, Gasolie",Kedel,353000.0,350030.0,fvv,1976-08-01,00:00:00,4.1,0.0,3.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5-7,Aulum Fjernvarme A.m.b.a. (Kulvej 5),2021,7490,Aulum,657,159,Aulum Fjernvarme,5,39042010,AULUM FJERNVARME AMBA,1.0,DC,Decentralt værk,Varmepumpe 1 og 2,Varmepumpe Luft,353000.0,350030.0,fvv,2020-09-10,00:00:00,1.2,0.0,4.0,47.18232,47.18232,47.18232,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.187608,31.99471200000001
5,5-2,Aulum Fjernvarme A.m.b.a. (Kulvej 5),2021,7490,Aulum,657,159,Aulum Fjernvarme,5,39042010,AULUM FJERNVARME AMBA,1.0,DC,Decentralt værk,Gasmotor,Forbrændingsmotor,353000.0,350030.0,kvt,2006-12-12,00:00:00,11.34,5.1,5.65,46.1071908,23.01732,23.01732,20.604456,20.4624,0.2496066188,0.7503933812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.10719080000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
