fv_net_navn,aar,vaerk_id,vrkanl_ny,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,vaerk_kommune,fv_net,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
 ,2021, , , , , ,259.0, , , ,,0.0,ER,Erhvervsværk,,Forbrændingsmotor,,,pev,1979-03-02,2022-12-31 00:00:00,93.99633299999999,35.342,23.15,389.4325235,213.03576,57.8664,117.46789199999999,117.46789199999999,0.08965612212093023,0.6936952451534885,0.2166486327255814,0.0,0.0,0.0,0.4781471,0.0,0.0,28.365242400000003,0.0,305.337834,53.6529,0.0,0.0,0.0,0.0,0.0,0.0,1.5984,0.0,0.0
 ,2022, , , , , ,259.0, , , ,,0.0,ER,Erhvervsværk,,Forbrændingsmotor,,,pev,1979-03-02,2022-12-31 00:00:00,93.99633299999999,35.342,23.15,351.9175371,193.23504,54.2124,104.86422,104.86422,0.08916398670465116,0.6783201781325582,0.2325158351627907,0.0,0.0,0.0,2.8039579,0.0,0.0,23.512183200000003,0.0,272.990496,51.7505,0.0,0.0,0.0,0.0,0.0,0.0,0.8603999999999999,0.0,0.0
 ,2023, , , , , ,259.0, , , ,,,ER,Erhvervsværk,,Forbrændingsmotor,,,pev,1979-03-02,00:00:00,92.40633299999999,34.717,22.4,288.5640898,161.33364,51.501599999999996,83.4336,83.4336,0.09126775514047619,0.6390881880357143,0.2696440568238095,0.0,0.0,0.0,4.4270754,0.0,0.0,16.558502400000002,0.0,216.081412,49.8771,0.0,0.0,0.0,0.0,0.0,0.0,1.6199999999999999,0.0,0.0
Aabybro Fjernvarme,2000,6.0,0,Aabybro Fjernvarmeværk,9440.0,Aabybro,849.0,329.0,6.0,17779710.0,Aabybro Fjernvarmeforsyning A.m.b.a.,0.0,FJ,Fjernvarmeværk,Halmkedel 1 - skrottet,Kedel,353000.0,350030.0,fvv,0,2010-01-01,8.0,0.0,8.0,127.0450125,122.30999999995063,119.8799999999516,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5997125,0.0,0.0,50.315,74.1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aabybro Fjernvarme,2001,6.0,0,Aabybro Fjernvarmeværk,9440.0,Aabybro,849.0,329.0,6.0,17779710.0,Aabybro Fjernvarmeforsyning A.m.b.a.,0.0,FJ,Fjernvarmeværk,Fliskedel 1,Kedel,353000.0,350030.0,fvv,0,2010-01-01,8.0,0.0,8.0,139.2353871,130.16159999994733,129.66839999994755,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512371,0.0,0.0,0.0,137.78415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aabybro Fjernvarme,2002,6.0,0,Aabybro Fjernvarmeværk,9440.0,Aabybro,849.0,329.0,6.0,17779710.0,Aabybro Fjernvarmeforsyning A.m.b.a.,0.0,FJ,Fjernvarmeværk,Gaskedel 4 -skrottet,Kedel,353000.0,350030.0,fvv,0,2010-01-01,8.0,0.0,8.0,145.8781851,134.53919999994554,134.07839999994576,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238851,0.0,0.0,0.0,145.5543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aabybro Fjernvarme,2003,6.0,0,Aabybro Fjernvarmeværk,9440.0,Aabybro,849.0,329.0,6.0,17779710.0,Aabybro Fjernvarmeforsyning A.m.b.a.,0.0,FJ,Fjernvarmeværk,Fliskedel 1,Kedel,353000.0,350030.0,fvv,1986-01-01,0,16.06,0.0,16.06,165.6120592,164.25119999999998,164.2072,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7611892,0.0,0.0,0.0,162.85087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aabybro Fjernvarme,2004,6.0,0,Aabybro Fjernvarmeværk,9440.0,Aabybro,849.0,329.0,6.0,17779710.0,Aabybro Fjernvarmeforsyning A.m.b.a.,0.0,FJ,Fjernvarmeværk,Gaskedel 4,Kedel,353000.0,350030.0,fvv,1986-01-01,0,16.06,0.0,16.06,165.33540999999997,159.6096,159.6096,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54341,0.0,0.0,0.0,163.79199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aabybro Fjernvarme,2005,6.0,0,Aabybro Fjernvarmeværk,9440.0,Aabybro,849.0,329.0,6.0,17779710.0,Aabybro Fjernvarmeforsyning A.m.b.a.,0.0,FJ,Fjernvarmeværk,Røgvaskeanlæg på fliskedel,Kedel,353000.0,350030.0,fvv,1986-01-01,0,16.06,0.0,16.06,167.23596120000002,165.0204,165.0204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1499612,0.0,0.0,0.0,163.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aabybro Fjernvarme,2006,6.0,0,Aabybro Fjernvarmeværk,9440.0,Aabybro,849.0,329.0,6.0,17779710.0,Aabybro Fjernvarmeforsyning A.m.b.a.,0.0,FJ,Fjernvarmeværk,Gaskedel 4,Kedel,353000.0,350030.0,fvv,1986-01-01,0,16.06,0.0,16.06,167.7079916,170.74439999999998,170.74439999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0739916,0.0,0.0,0.0,166.63400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
