vaerk_navn,forsyid
Avedøre Fjernvarme A.m.b.a,14250905
Avedøreværket,14250905
Fjernvarmecentralen Avedøre Holme,22340417
Hornbæk Fjernvarme,64235818
Langeskov Fjernvarme,32077404
Lindø Kraftvarmeværk,32077404
KEC,32667740
Odense Fjernvarme,00000009
Mølholm Varmeværk,444240107
Glostrup Kommunale Varmeforsyning,33043309
Rundhøj Fjernvarme,39901811
Holme Lundshøj Fjernvarme amba,39901811
Tranbjerg Varmeværk,33016719
Malling Varmeværk,36450819
"Veddum, Skelund, Visborg Kraftvarme",18718685
Hjallerup Fjernvarmeselskab,34681228
