vaerk_id,aar,fv_net_navn,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,vrkanl_ny,vaerk_kommune,fv_net,selskab_id,cvr,selskab_navn,kvoteaktivitet,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,DB07,NR117,aktoer,idriftdato,skrotdato,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
1614,2022,,2 B biogas A/S,9900,Frederikshavn,1614-1,813,0,1651,26688396,2 B BIOGAS A/S,0.0,LO,Lokalt værk,-,Forbrændingsmotor,352100.0,350020.0,kvt,2002-12-16,2022-12-31 00:00:00,1.3,0.47,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,2021,Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa Fjernvarme - Rødekro central,6230,Rødekro,443-2,580,117,499,36152710,Aabenraa Fjernvarme A.m.b.a.,1.0,FJ,Fjernvarmeværk,KEDEL 2,Kedel,353000.0,350030.0,fvv,1988-12-01,00:00:00,5.4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,2022,Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa Fjernvarme - Rødekro central,6230,Rødekro,443-2,580,117,499,36152710,Aabenraa Fjernvarme A.m.b.a.,1.0,FJ,Fjernvarmeværk,KEDEL 2,Kedel,353000.0,350030.0,fvv,1988-12-01,00:00:00,5.4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,2023,Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa Fjernvarme - Rødekro central,6230,Rødekro,443-2,580,117,499,36152710,Aabenraa Fjernvarme A.m.b.a.,,FJ,Fjernvarmeværk,KEDEL 2,Kedel,353000.0,350030.0,fvv,1988-12-01,00:00:00,5.4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,2021,Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa-Rødekro Fjernvarme - Rådmandsløkken central,6200,Aabenraa,578-3,580,117,499,36152710,Aabenraa Fjernvarme A.m.b.a.,0.0,FJ,Fjernvarmeværk,KEDEL 3,Kedel,353000.0,350030.0,fvv,1986-01-01,00:00:00,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,2022,Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa-Rødekro Fjernvarme - Rådmandsløkken central,6200,Aabenraa,578-3,580,117,499,36152710,Aabenraa Fjernvarme A.m.b.a.,0.0,FJ,Fjernvarmeværk,KEDEL 3,Kedel,353000.0,350030.0,fvv,1986-01-01,00:00:00,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,2023,Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa-Rødekro Fjernvarme - Rådmandsløkken central,6200,Aabenraa,578-3,580,117,499,36152710,Aabenraa Fjernvarme A.m.b.a.,,FJ,Fjernvarmeværk,KEDEL 3,Kedel,353000.0,350030.0,fvv,1986-01-01,00:00:00,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,2021,Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa-Rødekro Fjernvarme Langrode Central,6200,Aabenraa,579-1,580,117,499,36152710,Aabenraa Fjernvarme A.m.b.a.,0.0,FJ,Fjernvarmeværk,Langrode Central,Kedel,353000.0,350030.0,fvv,2012-01-01,00:00:00,16.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246,2021,Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa-Rødekro Fjernvarme Lindbjerg Central,6200,Aabenraa,1246-1,580,117,499,36152710,Aabenraa Fjernvarme A.m.b.a.,0.0,FJ,Fjernvarmeværk,Lindbjerg Central,Kedel,353000.0,350030.0,fvv,2012-01-01,00:00:00,6.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246,2022,Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa-Rødekro Fjernvarme Lindbjerg Central,6200,Aabenraa,1246-1,580,117,499,36152710,Aabenraa Fjernvarme A.m.b.a.,0.0,FJ,Fjernvarmeværk,Lindbjerg Central,Kedel,353000.0,350030.0,fvv,2012-01-01,00:00:00,6.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
