name,address
Aabenraa-Rødekro Fjernvarme,"Egelund 60, 6200 Aabenraa, Denmark"
Aabybro Fjernvarme,"Ny Aabyvej 20, 9440 Åbybro, Denmark"
Aalborg Forsyning,"Stigsborg Brygge 5, 9400 Nørresundby, Denmark"
Aalestrup-Nørager Energi,"Elmegaardsvej 6, 9620 Aalestrup, Denmark"
Aars Fjernvarme,"Dybvad Møllevej 1, 9600 Aars, Denmark"
Ærøskøbing Fjernvarme,"Lerbækken 23, 5970 Ærøskøbing, Denmark"
AffaldPlus,"Ved Fjorden 20, 4700 Næstved, Denmark"
AffaldVarme Aarhus,"Karen Blixens Boulevard 7, 8220 Brabrand, Denmark"
Agersted Varmeværk,"Gl. Kongevej 5, 9330 Dronninglund, Denmark"
Albertslund Forsyning,"Vognporten 9, 2620 Albertslund, Denmark"
Allingåbro Varmeværk,"Granbakkevej 1, 8961 Allingåbro, Denmark"
Als Fjernvarme,"Rørsangervej 26, 9560 Hadsund, Denmark"
Ans Kraftvarmeværk,"Søgade 6, 8643 Ans By, Denmark"
Ansager Varmeværk,"Østre Alle 2, 6823 Ansager, Denmark"
Arden Varmeværk,"Myhlenbergvej 64, 9510 Arden, Denmark"
Asaa Fjernvarme,"Bolværksvej 1, 9340 Asaa, Denmark"
Assens Fjernvarme,"Stejlebjergvej  4, 5610 Assens, Denmark"
Assens Fjernvarme,"Fabriksvej 5, 9550 Mariager, Denmark"
Astrup Kraftvarmeværk,"Park Allé 2A, 9510 Arden, Denmark"
Aulum Fjernvarme,"Rugbjergvej 3, 7490 Aulum, Denmark"
Auning Varmeværk,"Energivej 18, 8963 Auning, Denmark"
Avedøre Fjernvarme,"Arnold Nielsens Boulevard 60, 2650 Hvidovre, Denmark"
Bækmarksbro Varmeværk,"Bækmarksbrovej 4, 7660 Bækmarksbro, Denmark"
Bælum Varmeværk,"Grønnegade 4, 9574 Bælum, Denmark"
Ballen/Brundby Fjernvarme,"Ballenvej 51, 8305 Samsø, Denmark"
Balling-Rødding Varmeværk,"Anlægsvej 4, 7860 Spøttrup, Denmark"
Bedsted Fjernvarme,"Balsbyvej 3, 7755 Bedsted Thy, Denmark"
Benløseparkens Varmecentral,"Fredensvej 34, 4100 Ringsted, Denmark"
Billund Varmeværk,"Møllevej 9, 7190 Billund, Denmark"
Bindslev Fjernvarme,"Skolegade 3, 9881 Bindslev, Denmark"
Blåhøj Energiselskab,"Sdr. Ommevej 38, 7330 Brande, Denmark"
Bogense Forsyningsselskab,"Fynsvej 5, 5400 Bogense, Denmark"
Boligselskabet Danbo,"Nordborgvej 6, 6430 Nordborg, Denmark"
Bornholms Energi & Forsyning,"Industrivej 1, Rønne, 3700 Rønne, Denmark"
Borup Varmeværk,"Bækgårdsvej 62, 4140 Borup, Denmark"
Boulstrup-Hou Kraftvarmeværk,"Møllemarken 4, 8300 Odder, Denmark"
Bøvling Varmeværk,"Marievej 3, 7650 Bøvlingbjerg, Denmark"
Brædstrup Fjernvarme,"Fjernvarmevej 2, 8740 Brædstrup, Denmark"
Bramming Fjernvarme,"Grønningen 7, 6740 Bramming, Denmark"
Brande Fjernvarme,"Mylius-Erichsensvej 39, 7330 Brande, Denmark"
Bredebro Varmeværk,"Søndergade 8, 6261 Bredebro, Denmark"
Bredsten-Balle Kraftvarmeværk,"Engvej 2, 7182 Bredsten, Denmark"
Broager Fjernvarmeselskab,"Østergade 21, 6310 Broager, Denmark"
Brøndby Fjernvarme,"Kirkebjerg Alle 92A, 2605 Brøndby, Denmark"
Brønderslev Forsyning,"Virksomhedsvej 20, 9700 Brønderslev, Denmark"
Brøns Fjernvarme,"Hovedvejen 8D, 6780 Skærbæk, Denmark"
Brørup Fjernvarme,"Vandværksvej 5, 6650 Brørup, Denmark"
Brovst Fjernvarme,"Bøge Bakker 3, 9460 Brovst, Denmark"
Christiansfeld Fjernvarme,"Ravnhavevej 2, 6070 Christiansfeld, Denmark"
Christiansø Kraftvarmeværk,"Christiansø, 3760 Gudhjem, Denmark"
DIN Forsyning,"Ulvsundvej 1, 6715 Esbjerg N, Denmark"
Dronninglund Fjernvarme,"Tidselbak Alle 18, 9330 Dronninglund, Denmark"
Durup Fjernvarme,"Møllevej 8, 7870 Roslev, Denmark"
Dybvad Varmeværk,"Jernbanegade 8A, 9352 Dybvad, Denmark"
E.On Ørslev-Terslev Kraftvarmeanlæg,"Terslev Skolevej 23, 4690 Haslev, Denmark"
Ebeltoft Fjernvarmeværk,"Hans Winthers Vej 9, 8400 Ebeltoft, Denmark"
Egebjerg Nærvarme,"Gelstrupvej 3, 4500 Nykøbing Sjælland, Denmark"
Egedal Fjernvarme,"Dam Holme 4B, 3660 Stenløse, Denmark"
Egtved Varmeværk,"Søndergade 35, 6040 Egtved, Denmark"
Ejerlauget Båstrup Park,"Dannevang 401, 3480 Fredensborg, Denmark"
Ejsing Fjernvarmeforsyning,"Østparken 52, 7830 Vinderup, Denmark"
Ejstrupholm Varmeværk,"Vandværksvej 12, 7361 Ejstrupholm, Denmark"
Energi Hurup,"Nygade 22, 7760 Hurup Thy, Denmark"
Energi Ikast Varme,"Europavej 2, 7430 Ikast, Denmark"
Energi Vegger,"Skivumvej 2-4, 9240 Nibe, Denmark"
Energi Viborg,"Bøssemagervej 8, 8800 Viborg, Denmark"
Energiselskabet v/Andelssamfundet i Hjortshøj,"Gammel Kirkevej 116A, 8530 Hjortshøj, Denmark"
