name,address,latitude,longitude,CVRP
Aabenraa-Rødekro Fjernvarme,"Egelund 60, 6200 Aabenraa, Denmark",55.074371,9.380878,1010792947
Aabybro Fjernvarme,"Ny Aabyvej 20, 9440 Åbybro, Denmark",57.14891,9.760823,1001358265
Aalborg Forsyning,"Stigsborg Brygge 5, 9400 Nørresundby, Denmark",57.054437,9.935121,1021414294
Aalestrup-Nørager Energi,"Elmegaardsvej 6, 9620 Aalestrup, Denmark",56.697867,9.493562,1000738509
Aars Fjernvarme,"Dybvad Møllevej 1, 9600 Aars, Denmark",56.804,9.5144,1003104672
Ærøskøbing Fjernvarme,"Lerbækken 23, 5970 Ærøskøbing, Denmark",54.883658,10.413418,1001572715
Affaldplus,"Kragelundsvej 12, 4180 Sorø",55.461283,11.573434
Agersted Varmeværk,"Gl. Kongevej 5, 9330 Dronninglund, Denmark",57.197837,10.378935,1001516452 
Albertslund Forsyning,"Vognporten 9, 2620 Albertslund, Denmark",55.657901,12.355285,1016203617
Allingåbro Varmeværk,"Granbakkevej 1, 8961 Allingåbro, Denmark",56.462986,10.333905,1001414567
Als Fjernvarme,"Rørsangervej 26, 9560 Hadsund, Denmark",56.752906,10.284505,1000214727
Ans Kraftvarmeværk,"Søgade 6, 8643 Ans By, Denmark",56.308667,9.592818,1005372727
Ansager Varmeværk,"Østre Alle 2, 6823 Ansager, Denmark",55.706591,8.752315,1002158896
Arden Varmeværk,"Myhlenbergvej 64, 9510 Arden, Denmark",56.758879,9.846744,1002330178
Asaa Fjernvarme,"Bolværksvej 1, 9340 Asaa, Denmark",57.148773,10.402744,1002016230
Assens Fjernvarme,"Stejlebjergvej  4, 5610 Assens, Denmark",55.257055,9.910147,1014971943
Astrup Kraftvarmeværk,"Park Allé 2A, 9510 Arden, Denmark",56.768274,9.981839,1001352176
Aulum Fjernvarme,"Rugbjergvej 3, 7490 Aulum, Denmark",56.266519,8.79404,1012887961
Auning Varmeværk,"Energivej 18, 8963 Auning, Denmark",56.424044,10.377561,1001583674
Avedøre Fjernvarme,"Rebslagerporten 125 i Avedøre, 2650 Hvidovre",55.63011,12.443321,1000707406
Bækmarksbro Varmeværk,"Bækmarksbrovej 4, 7660 Bækmarksbro, Denmark",56.420839,8.303668,1001479025
Bælum Varmeværk,"Grønnegade 4, 9574 Bælum, Denmark",56.831927,10.115259,1002074934
Ballen/Brundby Fjernvarme,"Ballenvej 51, 8305 Samsø, Denmark",55.815022,10.636025,1010705653
Balling-Rødding Varmeværk,"Anlægsvej 4, 7860 Spøttrup, Denmark",56.614623,8.880794,1001609247
Bedsted Fjernvarme,"Balsbyvej 3, 7755 Bedsted Thy, Denmark",56.809897,8.4045,1001507375
Benløseparkens Varmecentral,"Fredensvej 34, 4100 Ringsted, Denmark",55.464298,11.787322,1002501242
Billund Varmeværk,"Møllevej 9, 7190 Billund, Denmark",55.855785,9.000627,1001753730
Bindslev Fjernvarme,"Skolegade 3, 9881 Bindslev, Denmark",57.476686,10.197503,1001785816
Blåhøj Energiselskab,"Sdr. Ommevej 38, 7330 Brande, Denmark",55.866259,9.0123,1006053374
Bogense Forsyningsselskab,"Fynsvej 5, 5400 Bogense, Denmark",55.552441,10.087939,1003310585
Bornholms Energi & Forsyning,"Industrivej 1, Rønne, 3700 Rønne, Denmark",55.096695,14.7185,1018001957
Borup Varmeværk,"Bækgårdsvej 62, 4140 Borup, Denmark",55.486066,11.969748,1019688271
Boulstrup-Hou Kraftvarmeværk,"Møllemarken 4, 8300 Odder, Denmark",55.923611,10.244058,1021043512
Bøvling Varmeværk,"Marievej 3, 7650 Bøvlingbjerg, Denmark",56.435220,8.202650,
Brædstrup Fjernvarme,"Fjernvarmevej 2, 8740 Brædstrup, Denmark",55.976443,9.622564,1002194760
Bramming Fjernvarme,"Grønningen 7, 6740 Bramming, Denmark",55.476746,8.699162,1002170663
Brande Fjernvarme,"Mylius-Erichsensvej 39, 7330 Brande, Denmark",55.949264,9.124966,1002075632
Bredebro Varmeværk,"Søndergade 8, 6261 Bredebro, Denmark",55.057846,8.828059,1001553293
Bredsten-Balle Kraftvarmeværk,"Engvej 2, 7182 Bredsten, Denmark",55.703159,9.380551,1001727276
Broager Fjernvarmeselskab,"Østergade 21, 6310 Broager, Denmark",54.888916,9.676469,1002097051
Brøndby Fjernvarme,"Kirkebjerg Alle 92A, 2605 Brøndby, Denmark",55.651518,12.398078,1003039591
Brønderslev Forsyning,"Virksomhedsvej 20, 9700 Brønderslev, Denmark",57.259492,9.952196,1013883978
Brøns Fjernvarme,"Hovedvejen 8D, 6780 Skærbæk, Denmark",55.195972,8.728464,
Brørup Fjernvarme,"Vandværksvej 5, 6650 Brørup, Denmark",55.482359,9.016868,1000584343
Brovst Fjernvarme,"Bøge Bakker 3, 9460 Brovst, Denmark",57.101527,9.51623,1001759685
Christiansfeld Fjernvarme,"Ravnhavevej 2, 6070 Christiansfeld, Denmark",55.364098,9.489832,
Dronninglund Fjernvarme,"Tidselbak Alle 18, 9330 Dronninglund, Denmark",57.163302,10.289065,
Durup Fjernvarme,"Møllevej 8, 7870 Roslev, Denmark",56.743531,8.949137,1001773686
Dybvad Varmeværk,"Jernbanegade 8A, 9352 Dybvad, Denmark",57.274651,10.359459,1001803425
E.On Ørslev-Terslev Kraftvarmeanlæg,"Terslev Skolevej 23, 4690 Haslev, Denmark",55.372476,11.971803,
Ebeltoft Fjernvarmeværk,"Hans Winthers Vej 9, 8400 Ebeltoft, Denmark",56.184557,10.686203,1003010765
Egebjerg Nærvarme,"Gelstrupvej 3, 4500 Nykøbing Sjælland, Denmark",55.843631,11.686526,1024123762
Egedal Fjernvarme,"Dam Holme 4B, 3660 Stenløse, Denmark",55.778092,12.19901,1029785879
Egtved Varmeværk,"Søndergade 35, 6040 Egtved, Denmark",55.614177,9.310178,1000827232
Ejsing Fjernvarmeforsyning,"Østparken 52, 7830 Vinderup, Denmark",56.522412,8.793305,
Ejstrupholm Varmeværk,"Vandværksvej 12, 7361 Ejstrupholm, Denmark",55.983024,9.290848,1001347598
Energi Hurup,"Nygade 22, 7760 Hurup Thy, Denmark",56.747943,8.419079,
Energi Ikast Varme,"Birkevej 34, 7442 Engesvang",56.169717,9.351491,1007323960
Energi Vegger,"Skivumvej 2-4, 9240 Nibe, Denmark",56.887211,9.5746158,1000830268
Energiselskabet V/Andelssamfundet I Hjortshøj,"Gammel Kirkevej 116A, 8530 Hjortshøj, Denmark",56.251517,10.272588,
Engholm Varmecentral,"Rådhusparken 57, 3450 Allerød",55.866607,12.337772,
Farsø Varmeværk,"J. Skjoldborgs Vej 12, 9640 Farsø, Denmark",56.768058,9.336192,1002004427
Farum Fjernvarme,"Stavnsholtvej 33, 3520 Farum, Denmark",55.81356,12.389474,1002899994
Faxe Fjernvarmeselskab,"Knudsvej 2, 4640 Faxe, Denmark",55.255159,12.115666,1002329388
Feldborg Kraftvarmeværk,"Møllevej 4, 7540 Haderup, Denmark",56.33651,8.938414,1001381379
Fensmark Fjernvarmeværk,"Engvej 4, 4684 Holmegaard, Denmark",55.284372,11.813504,1001795913
Filskov Energiselskab,"Hjortlundvej 13, 7200 Grindsted, Denmark",55.804115,9.029835,1001067947
Fjernvarme Fyn,"Havnegade 120, 5000 Odense C, Denmark",55.427821,10.405212,1030150801
Fjernvarmecentralen Avedøre Holme,"Nordholmen 1-3, 2650 Hvidovre, Denmark",55.6124132,12.4726509,1001545710
Fjerritslev Fjernvarme,"Industrivej 27, 9690 Fjerritslev, Denmark",57.082705,9.259868,1001871680
Flauenskjold Varmeværk,"Agertoften 12, 9330 Dronninglund, Denmark",57.24799,10.286404,1001519542
Føns Nærvarme,"Ronæsbrovej 5C, 5580 Nørre Åby, Denmark",55.428153,9.826301,1018861131
Forsyning Helsingør,"Haderslevvej 25, 3000 Helsingør, Denmark",56.025224,12.590461,1015062432
Fredericia Fjernvarme,"Dalegade 38, 7000 Fredericia, Denmark",55.56759,9.760544,1003045929
Frederiks Varmeværk,"Vestergade 5, 7470 Karup J, Denmark",56.340073,9.250647,1001501791
Frederiksberg Forsyning,"Stæhr Johansens vej 38, 2000 Frederiksberg, Denmark",55.682949,12.520214,1011179327
Frifelt/Roager Kraftvarme,"Voddervej 2, 6780 Skærbæk, Denmark",55.221699,8.833248,
Frøstrup Fjernvarmeværk,"Håndværkervej 11, 7741 Frøstrup, Denmark",57.091045,8.981636,
Fuglebjerg Fjernvarme,"Sandvedvej 31A, 4250 Fuglebjerg, Denmark",55.300166,11.540305,
Fur Kraftvarmeværk Amba,"Vilietoften 4, 7884 Fur, Denmark",56.82027,9.006319,1003452650
Galten Varmeværk,"Skolebakken 29, 8464 Galten, Denmark",56.152152,9.90594,1001843381
Gassum/Hvidsten Kraftvarmeværk,"Mariagervej 497 A, 8981 Spentrup, Denmark",56.562098,9.999961,
Gauerslund Fjernvarme,"Industrivej 2C, 7080 Børkop, Denmark",55.645217,9.657912,1001440711
Gedsted Varmeværk,"Nørrevold 2B, 9631 Gedsted, Denmark",56.690392,9.336499,1001772848
Gelsted Fjernvarme,"Tømmervej 3, 5591 Gelsted, Denmark",55.397073,9.969715,1000509106
