forsyid,area_size
,9073715.25118952
00000000,4677391.566500058
00000002,16139359.079281678
00000003,42929691.71249999
00000004,111229019.45941412
00000005,102929705.46550082
00000006,49446095.7788188
00000007,2904355.3390272283
00000008,28436362.72282971
00000009,96694947.35582216
00000010,6463786.679062589
00000011,9440469.621300142
00000013,1812774.564696556
00000014,2224716.4088547565
00000015,4123730.1895695818
00000016,15550084.490427922
00000017,6698359.738928368
00000018,23680561.3956964
00000019,4935644.09357283
10411912,10192877.674829219
10663210,3405305.872510274
10689414,674200.09514875
10866111,50986862.38493814
10877814,1084484.1810158938
11135617,6660672.670572862
11218415,524564.1334039238
11271715,931705.900085778
11278612,1302522.0539554656
11304028,826905.4084009647
11324312,1534491.976072074
11325319,570960.783172121
11372732,112794.78240379656
11931316,2737683.0000655535
12233418,2712514.543597955
12389132,1839195.6659920968
12575130,780180.803998142
12762038,1932115.6703148829
12787111,4395257.264952975
12868014,1050104.5430657044
13057117,27255800.265407447
13096414,385543.28434673196
13109710,1017216.8354580665
13148228,1175485.1965713028
13231028,1802785.4421572192
13348545,246739.35100765375
13363919,1852839.7376840443
13551472,1062812.657991839
14250905,1626498.3289048588
14324100,824627.7132241344
14411313,2659142.6438967776
14454918,468969.98908902006
14492984,603303.5601965133
14528601,747131.2127601629
14748539,24545809.498287734
14898018,2795065.62189415
14909516,1430907.0381319034
14926402,3252679.792638237
14928375,438817.17161640764
15213140,556063.5926731498
15215674,669508.9226096066
15234784,475790.41000075324
15278390,719324.05898816
15296275,559665.3863669974
15320796,1194265.4665576343
15427078,1350593.1543585684
15567317,1508340.0902495708
15608943,1437519.588567965
15763515,2362302.341222918
15978538,1012724.7890506418
16001910,738852.0474436862
16016438,1096191.7648329157
16091308,709118.2855944175
16256234,666208.6338409389
16263443,703101.6271849187
16276111,6529314.119604001
16340642,668786.9587559153
16374172,990128.305424181
16408530,1666537.971844855
16500313,1298475.3697764748
16566179,731233.942357251
16783013,2209850.7267564144
16838314,2538700.873475549
16859818,2121993.833210219
16888079,2758074.0498153735
16893773,949222.7701796093
16920274,596543.7768475587
16934690,1223961.5811600122
16946834,462496.41120675125
16954748,771759.7978811197
16964638,4142565.3481213576
17000888,2952635.5952399247
17010131,70216219.3257414
17025686,495096.0809840889
17038281,1054513.3024080659
17048244,2913688.071455258
17063340,1068326.2452065346
17144847,557514.4874879268
17168037,655006.32817348
17256319,55698.436295749896
17349317,2411799.20280401
17360698,2723355.5243995856
17590286,872930.1581158066
17629085,342250.490706146
17638181,323500.8733219225
17663577,857274.7560502989
17689800,5082551.025184478
17727915,924925.8163803254
17737147,442103.3951985431
17737244,633466.8346512436
17750909,460658.86201535974
17761889,549485.5260018739
17779710,4389679.979536058
17816845,313419.5876010941
17828843,479018.17346451513
17885278,610723.945392089
17926195,317491.33515864547
17932640,287071.7018718333
18021080,717160.6455002795
18027410,1423394.244716902
18155141,3289422.500895729
18211211,777860.371724142
18211912,1530592.6453896808
18292610,826194.6544596264
18318636,561207.0832866
18429772,1780961.9135771715
18440342,685985.0953602737
18468840,1312791.3477616662
18474492,704668.3317329875
18476339,1320153.111780582
18496607,2902524.6117226845
18503379,800929.7206454619
18515830,389771.12011452764
18552310,1080416.1280404525
18653087,2665555.1224738727
18676710,687776.5702138514
18683814,786077.8652101955
18693518,513639.72409031074
18718685,1421299.9712555292
18791013,1245884.6925943089
18807483,1011980.0355433304
18849518,1009091.5081498342
18886499,408895.3564409929
18962519,749537.0523741881
18968614,2557205.0483869947
19153908,635116.7910914563
19191591,302239.71928038617
19201414,6661170.813008945
19231097,623508.5698584786
19438414,162832.23489102715
19445933,470739.2001097131
