forsyid,aar,fv_net_navn,vaerk_postnr,vaerk_postdistrikt,vaerk_navn,vaerk_id,vaerk_kommune,fv_net,selskab_id,cvr,selskab_navn,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ
36152710,2021,Aabenrå - Rødekro - Hjordkær Fjernvarme,6230,Rødekro,Hjordkær Fjernvarmeværk,208,6960,117,203,12389132,HJORDKÆR FJERNVARMEVÆRK AMBA,102.45,0.6,99.1,1081.38365515,1134.7895520000002,1134.7895520000002,0.0,0.0,0.0,0.0,0.0,0.03490425,0.0,0.0,0.0,0.0,0.0,249.197,750.9119,77.061,3.8234,0.3554509,0.0,0.0,0.0,0.0,0.0
36152710,2022,Aabenrå - Rødekro - Hjordkær Fjernvarme,6230,Rødekro,Hjordkær Fjernvarmeværk,208,8120,117,203,12389132,HJORDKÆR FJERNVARMEVÆRK AMBA,132.5,0.6,127.6,1086.28691954,1046.387772,1046.387772,5.245272,5.245272,0.0,0.0,0.0,2.79550954,0.0,0.0,0.0,0.0,0.0,404.869,616.8142000000001,59.806,0.469,1.53321,0.0,0.0,0.0,0.0,0.0
36152710,2023,Aabenrå - Rødekro - Hjordkær Fjernvarme,6230,Rødekro,Hjordkær Fjernvarmeværk,208,8120,117,203,12389132,HJORDKÆR FJERNVARMEVÆRK AMBA,136.2,0.6,130.9,1171.31530364,1081.8712440000002,1081.8712440000002,3.9852,3.9852,0.0,0.0,0.0,0.3361736399999997,0.0,0.0,0.0,0.0,0.0,476.57527,693.7843599999999,0.0,0.6194999999999999,0.0,0.0,0.0,0.0,0.0,0.0
17779710,2021,Aabybro Fjernvarme,9440,Aabybro,Aabybro Fjernvarmeværk,6,3396,329,6,17779710,AABYBRO FJERNVARME,35.0,0.0,35.0,208.5070948,215.5428,215.5428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.071294800000001,0.0,0.0,0.0,155.635,0.0,0.0,0.0,0.0,47.8008,0.0,0.0,0.0
17779710,2022,Aabybro Fjernvarme,9440,Aabybro,Aabybro Fjernvarmeværk,6,1698,329,6,17779710,AABYBRO FJERNVARME,27.0,0.0,27.0,204.0182,212.3568,212.3568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.957,0.0,0.0,0.0,0.0,54.06120000000001,0.0,0.0,0.0
17779710,2023,Aabybro Fjernvarme,9440,Aabybro,Aabybro Fjernvarmeværk,6,2547,329,6,17779710,AABYBRO FJERNVARME,31.0,0.0,31.0,233.0006984,234.8532,234.8532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8672984,0.0,0.0,0.0,183.149,0.0,0.0,0.0,0.0,47.9844,0.0,0.0,0.0
00000005,2021,Vaarst-Fjellerad Fjernvarme,9260,Gistrup,Vaarst-Fjellerad Kraftvarme A.m.b.a.,711,2553,358,2268,37271632,Aalborg Decentrale Værker A/S,8.599,2.0,5.699,41.365332,30.35063,30.35063,6.505199999999999,6.505199999999999,0.0,0.0,0.0,0.0,0.0,0.0,21.293514,0.0,0.0,0.0,20.071818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00000005,2023,Vaarst-Fjellerad Fjernvarme,9260,Gistrup,Vaarst-Fjellerad Kraftvarme A.m.b.a.,711,2553,358,2268,37271632,Aalborg Decentrale Værker A/S,8.599,2.0,5.699,36.2638246,32.61108,32.61108,4.5e-05,4.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.8774736,0.0,0.0,0.0,32.386351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00000005,2022,Vaarst-Fjellerad Fjernvarme,9260,Gistrup,Vaarst-Fjellerad Kraftvarme A.m.b.a.,711,2553,358,2268,37271632,Aalborg Decentrale Værker A/S,8.599,2.0,5.699,36.201183864,25.39018,25.214802,6.0476256,6.0476256,0.0,0.0,0.0,0.0,0.0,0.0,17.079453864,0.0,0.0,0.0,19.12173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14411313,2023,Aalestrup Fjernvarme (inkl. Hvam fra 2019),9610,Nørager,Nørager Varmeværk,378,7382,270,342,14411313,Aalestrup-Nørager Energi A.M.B.A,59.636,3.131,55.953,204.9421798,201.7008,201.7008,1.54476,1.54476,0.0,0.0,0.0,0.104023,0.0,0.0,4.6414368,0.0,0.0,0.0,0.0,161.42112,0.0,0.0,0.0,38.7756,0.0,0.0,0.0
14411313,2021,Aalestrup Fjernvarme (inkl. Hvam fra 2019),9610,Nørager,Nørager Varmeværk,378,7382,270,342,14411313,Aalestrup-Nørager Energi A.M.B.A,59.636,3.131,55.953,202.8017474,195.6672,195.6672,2.106,2.106,0.0,0.0,0.0,0.233155,0.0,0.0,8.8572924,0.0,0.0,0.0,0.0,158.3125,0.0,0.0,0.0,35.3988,0.0,0.0,0.0
14411313,2022,Aalestrup Fjernvarme (inkl. Hvam fra 2019),9610,Nørager,Nørager Varmeværk,378,6562,270,342,14411313,Aalestrup-Nørager Energi A.M.B.A,48.636,3.131,44.953,191.7461708,185.30424,185.30424,2.23236,2.23236,0.0,0.0,0.0,0.0,0.0,0.0,6.4497708000000005,0.0,0.0,0.0,0.0,143.17999999999998,0.0,0.0,0.0,42.1164,0.0,0.0,0.0
54442912,2021,Aars Fjernvarme,9600,Aars,Aars Fjernvarme Dybvad Mølle Vej,34,10760,334,2265,54442912,Aars Fjernvarme Amba,74.4,7.45,61.81,598.5129584,516.613104,516.613104,50.334516,38.872116,0.0,0.0,0.0,0.0,0.0,0.0,11.6722584,418.4562,0.0,0.7975,0.0,146.7207,19.2535,0.0,0.0,0.0,0.0,1.6128,0.0
