Unique Names in data,Names of plants
Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa-Rødekro Fjernvarme
Aabybro Fjernvarme,Aabybro Fjernvarme
Aakirkeby og Lobbæk Fjernvarme,Bornholms Energi & Forsyning
Aalborg Fjernvarme,Aalborg Forsyning
Aalestrup Fjernvarme (inkl. Hvam fra 2019),Aalestrup-Nørager Energi
Aars Fjernvarme,Aars Fjernvarme
Agersted Fjernvarme,Agersted Varmeværk
Allingåbro Fjernvarme,Allingåbro Varmeværk
Als Fjernvarme,Als Fjernvarme
Ans Fjernvarme,Ans Kraftvarmeværk
Ansager Fjernvarme,Ansager Varmeværk
Arden Fjernvarme,Arden Varmeværk
Arnborg Fjernvarme,Assens Fjernvarme
Assens (v. Mariager) Fjernvarme,Assens Fjernvarme Fyn
Assens Fjernvarme,Assens Fjernvarme Mariager
Astrup Fjernvarme,Astrup Kraftvarmeværk
Aså Fjernvarme,Asaa Fjernvarme
Augustenborg Fjernvarme,Augustenborg Fjernvarme
Aulum Fjernvarme,Aulum Fjernvarme
Auning Fjernvarme,Auning Varmeværk
"Balle, Hoed og Glatved",Bredsten-Balle Kraftvarmeværk
Ballen-Brundby-Kolby-Permelill,Ballen/Brundby Fjernvarme
Balling-Rødding Fjernvarmenet,Balling-Rødding Varmeværk
Bedsted Fjernvarme,Bedsted Fjernvarme
Billund Fjernvarme,Billund Varmeværk
Bindslev Fjernvarme (lagt ind under Sindal FV (315) i foråret 2021),Bindslev Fjernvarme
Bjerringbro Fjernvarme,Gudenådalens Energiselskab
Blenstrup Fjernvarme,Blenstrup Kraftvarmeværk
Blokvarme mv,
Blåhøj,Blåhøj Energiselskab
Bogense Fjernvarme,Bogense Forsyningsselskab
Borup Fjernvarme,Borup Varmeværk
Bramming Fjernvarme,Bramming Fjernvarme
Brande Fjernvarme,Brande Fjernvarme
Bredebro Fjernvarme,Bredebro Varmeværk
Broager Fjernvarme,Broager Fjernvarmeselskab
Brovst Fjernvarme,Brovst Fjernvarme
Brædstrup Fjernvarme,Brædstrup Fjernvarme
Brønderslev Fjernvarme,Brønderslev Forsyning
Brøns Fjernvarme,Brøns Fjernvarme
Brørup Fjernvarme,Brørup Fjernvarme
Byrum Fjernvarme,Læsø Forsyning
Bækmarksbro Fjernvarme,Bækmarksbro Varmeværk
Bælum Fjernvarme,Bælum Varmeværk
Bøvlingbjerg Fjernvarme,Bøvling Varmeværk
Christiansfeld-Tyrstrup Fjernv,Christiansfeld Fjernvarme
"DTU-Holte-Nærum Fjernvarme (inkl. Øverød, Teknikerbyen, Skodsborg)",Holte Fjernvarme
Dronninglund Fjernvarme,Dronninglund Fjernvarme
Dueholm Fjernvarme,Morsø Forsyning
Durup Fjernvarme,Durup Fjernvarme
Dybvad Fjernvarme,Dybvad Varmeværk
Ebeltoft Fjernvarme,Ebeltoft Fjernvarmeværk
Egebjerg,Egebjerg Nærvarme
Egedal fjernvarmenet,Egedal Fjernvarme
Egtved Fjernvarme,Egtved Varmeværk
Ejby Fjernvarme,Ejby Fjernvarmecentral
Ejsing Fjernvarme,Ejsing Fjernvarmeforsyning
Ejstrupholm Fjernvarme,Ejstrupholm Varmeværk
Engesvang-Moselund Fjernvarme,Energi Ikast Varme
Esbjerg-Varde Fjernvarme,Din Forsyning A/S
Faaborg Fjernvarme,Ffv Varme Faaborg
Farstrup-Kølby Fjernvarme,
Farsø Fjernvarme,Farsø Varmeværk
Fasterholt Fjernvarme,
Faxe Fjernvarme,Faxe Fjernvarmeselskab
Feldborg Fjernvarme,Feldborg Kraftvarmeværk
Fensmark Fjernvarme,Fensmark Fjernvarmeværk
Filskov Fjernvarme,Filskov Energiselskab
Fjernvarme Fyn,Fjernvarme Fyn
Fjerritslev Fjernvarme,Fjerritslev Fjernvarme
Flauenskjold Fjernvarme,Flauenskjold Varmeværk
Frederikshavn Fjernvarme,Frederikshavn Varme
Frederikssund Fjernvarme,E.On Varme Danmark
Frederiksværk Fjernvarme,Halsnæs Varme
Frifelt Fjernvarme,Frifelt/Roager Kraftvarmeværk
Frøslev Fjernvarme,Padborg Fjernvarme
Frøstrup Fjernvarme,Frøstrup Fjernvarmeværk
Fuglebjerg Fjernvarme,Fuglebjerg Fjernvarme
Føns Fjernvarmenet,Føns Nærvarme
Galten Fjernvarme,Galten Varmeværk
Gassum-Hvidsten Fjernvarme,Gassum/Hvidsten Kraftvarmeværk
Gedser Fjernvarme,Gedser Fjernvarme
Gedsted Fjernvarme,Gedsted Varmeværk
Gelsted Fjernvarme,Gelsted Fjernvarme
Genner Fjernvarme,Genner-Hellevad-Hovslund
Gilleleje Fjernvarme,Gilleleje Fjernvarme
Give Fjernvarme,Give Fjernvarme
Gjerlev Fjernvarme,Gjerlev Varmeværk
Gjerrild,
Gjøl Fjernvarme,Gjøl Private Kraftvarmeværk
Gl. Rye,
Glamsbjerg-Haarby Fjernvarme,Glamsbjerg-Haarby Varmeværk
Glesborg Fjernvarme,Trustrup-Lyngby Varmeværk
Glyngøre Fjernvarme,Glyngøre Fjernvarmeværk
Gram Fjernvarme,Gram Fjernvarme
Grenå Fjernvarme,Grenaa Varmeværk
Grevinge-Herrestrup Fjernvarme,Odsherred Forsyning
Grindsted Fjernvarme,Grindsted El- Og Varmeværk
Gråsten Fjernvarme,Gråsten Fjernvarme
Græsted Fjernvarme,Græsted Fjernvarme
Gylling-Ørting-Falling Fjernv.,Gylling-Ørting-Falling Kraftvarmeværk
Gølstrup-Hundelev-Vittrup,Gårslev Fjernvarme
Gørding Fjernvarme,Gørding Varmeværk
Haderslev Fjernvarme,Haderslev Fjernvarme
Haderup Fjernvarme,Haderup Kraftvarmeværk
Hadsten Fjernvarme,Hadsten Varmeværk
Hadsund By Fjernvarme,Hadsund Fjernvarme
Hallund Fjernvarme,Hallund Kraftvarmeværk
Hals Fjernvarme,Hals Fjernvarme
Halvrimmen Fjernvarme,Halvrimmen-Arentsminde Kraftvarmeværk
Hammel Fjernvarme,Hammel Fjernvarme
Hammershøj Fjernvarme,Hammershøj Fjernvarmeværk
Hammershøj-Østerby Fjernvarme (lukket pr. 1. januar 2022),
Hanstholm Fjernvarme,Hanstholm Varmeværk
Harboøre Fjernvarme,Harboøre Varmeværk
Harlev-Framlev Fjernvarme,Kredsløb
Hashøj Fjernvarme,Hashøj Kraftvarmeforsyning
Hasle Fjernvarme (Bornholms Forsyning tidl. Vestbornholms),Hasle Varmeværk
Haslev Fjernvarme,Haslev Fjernvarme
Haunstrup Fjernvarme,
Havdrup Fjernvarme,Solrød Fjernvarme
Havndal Fjernvarme,Havndal Fjernvarme
Havneby Fjernvarme (Rømø),Havneby Varmeværk
Hedensted Fjernvarme,Hedensted Fjernvarme
Hejnsvig Fjernvarme,Hejnsvig Varmeværk
Hellevad Fjernvarme,Helle Energi
Helsinge Fjernvarme,Helsinge Fjernvarme
Hemmet,Hemmet Varmeværk
Herning-Ikast Fjernvarme,Energi Ikast Varme
Hillerød-Farum-Værløse,Hillerød Forsyning
Hjallerup Fjernvarme,Hjallerup Fjernvarme
Hjørring Fjernvarme (inkl. Hirtshals Fjernvarme fra 2011),Hjørring Varmeforsyning
Hobro Fjernvarme,Hobro Varmeværk
Hodsager Fjernvarme,Verdo
Holeby Fjernvarme,Holeby Fjernvarme
Holstebro-Struer Fjernvarme,Struer Energi Fjernvarme
Holsted Fjernvarme,Holsted Varmeværk
Horbelev Fjernvarme,Refa Horbelev Fjernvarme
Horreby Fjernvarme,Ellehavegaard Energy
Horsens Fjernvarme,Fjernvarme Horsens
Hou Fjernvarme,Boulstrup-Hou Kraftvarmeværk
Hov-Boulstrup,Boulstrup-Hou Kraftvarmeværk
Hovedgård Fjernvarme,Hovedgaard Fjernvarmeværk
Hovslund Fjernvarme,
Humlebæk Fjernvarme,Norfors
Hundested Fjernvarme,Hundested Varmeværk
Hundslund-Oldrup Fjernvarme,Hundslund-Oldrup Kraftvarmeværk
Hurup Fjernvarme,Energi Hurup
Hvalpsund Fjernvarme,Hvalpsund Kraftvarme
Hvalsø Fjernvarme,Hvalsø Kraftvarmeværk
Hvidbjerg Fjernvarme,Hvidbjerg Fjernvarme
Hvide Sande Fjervarme,Hvide Sande Fjernvarme
Hvidebæk Fjernvarme,Hvidebæk Fjernvarmeforsyning
Hyllinge,
Høgild Fjernvarme,
"Højby, Svinninge, Nr.Asmindrup",Odsherred Forsyning
Højslev-Nr. Søby Fjernvarme,Højslev Nr.Søby Fjernvarmeværk
Høng Fjernvarme,Høng Varmeværk
Hørby Fjernvarme,Hørby Varmeværk
Jerslev Fjernvarme,Jerslev Varmeværk
Jetsmark Fjernvarme,Jetsmark Energiværk
Jyderup Fjernvarme,Jyderup Varme A/S
Jægerspris Fjernvarme,Jægerspris Kraftvarme
Kalundborg Fjernvarme,Kalundborg Varmeforsyning
Karby-Hvidbjerg-Redsted Fjernv,Hvidbjerg Fjernvarme
Karup Fjernvarme,Karup Varmeværk
Kibæk Fjernvarme,Kibæk Varmeværk
Kjellerup Fjernvarme,Kjellerup Fjernvarme
Klejtrup Fjernvarme,Klejtrup Kraftvarmeværk
Klemensker Fjernvarme,Bornholms Energi & Forsyning
Kloster Fjernvarme,Kloster Kraftvarmeværk Amba
Kolind Fjernvarme,Kolind Fjernvarmeværk
Kongerslev Fjernvarme,Kongerslev Fjernvarmeværk
Korsør Fjernvarme,Sk Forsyning
Kværndrup Fjernvarme,Kværndrup Fjernvarme
Kyndby Fjernvarme,Jægerspris Kraftvarme
Langå Fjernvarme,Langå Varmeværk
Laurbjerg Fjernvarme,Laurbjerg Kraftvarmeværk
Lem Fjernvarme (Ringkøbing),Lem Varmeværk
Lemvig Fjernvarme,Lemvig Varmeværk
Lendemarke Fjernvarme,E.On Varme Danmark
Lendum Fjernvarme,Lendum Kraftvarmeværk
Lohals Fjernvarme,Lohals Varmeforsyning
Løgstrup Fjernvarme,Løgstrup Varmeværk
Løgstør-Ranum-Vindblæs Fjernvarmenet,Løgstør Fjernvarmeværk
Løgumkloster Fjernvarme,Løgumkloster Fjernvarme
Løjt Kirkeby Fjernvarme,Løjt Kirkeby Fjernvarmeselskab
Løkken Fjernvarme,Løkken Varmeværk
Løsning Fjernvarme,Løsning Fjernvarme
Manna-Tiese Fjernvarme,Manna-Thise Kraftvarmeværk
Mariager Fjernvarme,Mariager Fjernvarmeværk
Maribo Fjernvarme,Maribo Varmeværk
Marstal Fjernvarme,Marstal Fjernvarme
Mejlby Fjernvarme,Mejlby Fjernvarme
Mellerup Fjernvarme,Mellerup Kraftvarmeværk
Menstrup,
Mesballe,Nrgi Lokalvarme
Mou Fjernvarme,Mou Kraftvarme
Møldrup Fjernvarme,Møldrup Fjernvarme
Mørke Fjernvarme,Mørke Fjernvarme
Mørkøv Fjernvarme,Mørkøv Varmeværk
Nakskov Fjernvarme,Lolland Varme
Nederby-Debel Fjernvarme,Fur Kraftvarmeværk Amba
Neksø Fjernvarme,K/S Difko Lxv
Nibe Fjernvarme,Nibe Varmeværk
Nimtofte og Omegns Fjernvarmeforsyning (NOFF),Nimtofte Og Omegns Fjernvarmeforsyning
Nordals Fjernvarme,Nordals Fjernvarme
Nordby-Mårup,Nordby Fjernvarme
Nordøstsjællands Fjernvarme,Norfors
Nyborg Fjernvarme,Nyborg Forsyning
Nykøbing Falster Fjernvarme,Guldborgsund Forsyning
Nykøbing Mors Fjernvarme,Nykøbing Mors Fjernvarmeværk
Nysted Fjernvarme,Nysted Varmeværk
Næstved Fjernvarme,Næstved Fjernvarme
Nørre Alslev Fjernvarme,Nørre Alslev Fjernvarmeværk
Nørre Snede Fjernvarme,Nørre Snede Varmeværk
Nørre-Aaby Fjernvarme,Nørre Aaby Kraftvarmeværk
Nørre-Nebel Fjernvarme,Nørrevejens Kraftvarmeværk
Oksbøl Fjernvarme,Oksbøl Varmeværk
