names,År,FV_NetID,Ellev (el/varme),CO2 - El&Varme,Varme_Lev_til_net,Kul,Olie,Gas,Affald (fossil),Halm,Skovflis,Brænde,Træpiller,Træaffald,Affald (bio),"Biobrændsler
(bioolie)",Biogas,Overskudsvarme,Solvarme,El,CO2 - Varme,CO2 - El,andel kraftvarme,andel kedler,andel andet, kraftvarme - andel   Kul, kraftvarme - andel   Olie, kraftvarme - andel   Gas, kraftvarme - andel   Affald (fossil), kraftvarme - andel   Halm, kraftvarme - andel   Skovflis, kraftvarme - andel   Brænde, kraftvarme - andel   Træpiller, kraftvarme - andel   Træaffald, kraftvarme - andel   Affald (bio)," kraftvarme - andel   Biobrændsler
(bioolie)", kraftvarme - andel   Biogas, kedler - andel   Kul, kedler - andel   Olie, kedler - andel   Gas, kedler - andel   Affald (fossil), kedler - andel   Halm, kedler - andel   Skovflis, kedler - andel   Brænde, kedler - andel   Træpiller, kedler - andel   Træaffald, kedler - andel   Affald (bio)," kedler - andel   Biobrændsler
(bioolie)", kedler - andel   Biogas,Andet - andel overskudsvarme,Andet - andel solvarme,Andet - andel varmepumper og elkedler,forsyid
Aabenrå - Rødekro - Hjordkær Fjernvarme,2020,117,0.0,0.0024158388842392,939672.44,0.0,3.260241409229795e-05,0.0,0.0,0.2249672236848832,0.7494813831083521,0,0.0003197656834545,0.062053538571377,0.0,0.0001012932761973,0.0,0.0,0.0,0.0,0.0024158388842392,0.0,0.0673128180709439,0.932687181929056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,2.6809982763872252e-05,0.0,0.0,0.2102948662497908,0.731296956059126,0,0.0002957484652001,0.0579900678624258,0.0,9.555138069314616e-05,0.0,0.0,0.0,0.0,36152710
Aabenrå - Rødekro - Hjordkær Fjernvarme,2021,117,0.0,0.0022791934596521,1134789.552,0.0,3.075834628410466e-05,0.0,0.0,0.219597545254805,0.6617190814601365,0,0.0033692590782682,0.0679077454178041,0.0,0.00031323067733,0.0,0.0,0.0,0.0,0.0022791934596521,0.0,0.0608655586212164,0.9391344413787832,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,2.8389282940516687e-05,0.0,0.0,0.2144463522446939,0.7156728168302136,0,0.0032226102115802,0.0663328519340789,0.0,0.0002969794964928,0.0,0.0,0.0,0.0,36152710
Aabenrå - Rødekro - Hjordkær Fjernvarme,2022,117,0.0050127420640385,0.1979641414559649,1046387.772,0.0,0.0026715808563558,0.0,0.0,0.3869206147412816,0.589470000037424,0,0.0004482086015814,0.0571547198852396,0.0,0.0014652407463339,0.0,0.0,0.0,0.0,0.1979641414559649,0.0,0.0592954176838373,0.9407045823161626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0025334284410269,0.0,0.0,0.3810235253044646,0.5582963312462168,0,0.0004892325142531,0.0562721500841848,0.0,0.0013853324098535,0.0,0.0,0.0,0.0,36152710
Aabybro Fjernvarme,2020,329,0.0,0.8277631554558766,194223.6,0.0,0.0,0.0145502400326221,0.0,0.0,0.7137217104409557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2717280495264221,0.0,0.8277631554558766,0.0,0.0,0.7282719504735778,0.2717280495264221,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.01997913008068,0.0,0.0,0.98002086991932,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17779710
Aabybro Fjernvarme,2021,329,0.0,1.3385089233878376,215542.8,0.0,0.0,0.0235280176373323,0.0,0.0,0.7220607693692389,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2217694119219013,0.0,1.3385089233878376,0.0,0.0,0.7782305880780986,0.2217694119219013,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0302607575920163,0.0,0.0,0.9697392424079836,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17779710
Aabybro Fjernvarme,2022,329,0.0,0.0,212356.8,0.0,0.0,0.0,0.0,0.0,0.7061558659765074,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545772021428086,0.0,0.0,0.0,0.0,0.7454227978571912,0.2545772021428087,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17779710
Aakirkeby og Lobbæk Fjernvarme,2020,69,0.6988756228932151,0.6359960088242529,110749.32,0.0,0.0085829420893961,0.0,0.0,0.0,0.586095697923924,0,0.0096388853674225,0.0,0.0,0.0,1.760355837850743,0.0,0.0,0.0,0.6359960088242529,0.0,0.6359178426308891,0.3640821573691107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0155773345726994,0.0,0.0,0.0,0.970199067980062,0,0.0142235974472385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31582148
Aakirkeby og Lobbæk Fjernvarme,2021,69,0.4801156271899089,1.0175455695709723,123292.8,0.0,0.0137320589685691,0.0,0.0,0.0,0.5880908860858055,0,0.0415879921617483,0.0,0.0,0.0,1.2093904753562252,0.0,0.0,0.0,1.0175455695709723,0.0,0.5146950951146756,0.4853049048853244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0217251108424022,0.0,0.0,0.0,0.9118450221684804,0,0.0664298669891172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31582148
Aakirkeby og Lobbæk Fjernvarme,2022,69,0.5519467190465513,0.0116579586161015,113997.96,0.0,0.0001573273767355,0.0,0.0,0.0,0.50025105712418,0,0.000153511518978,0.0,0.0,0.0,1.390250597466832,0.0,0.0,0.0,0.0116579586161015,0.0,0.5172862439165149,0.482713756083485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0002455153420402,0.0,0.0,0.0,0.999514306605964,0,0.0002401780519958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31582148
Aalborg Fjernvarme,2020,295,0.339501931864156,99.3012769357021,6404920.901000001,0.8621762553359301,0.0042835629664318,0.0762369675565802,0.1435002030792448,0.0,0.0003209229328154,0,0.0021460920770862,0.0350554055968036,0.1753891370968548,2.4741289150855663e-05,0.0077686017936976,0.278521940797345,0.0,0.0425738610382254,26.125705198318645,73.17557173738345,0.619311130266277,0.0716645224738183,0.3090243472599046,0.5718003063272236,0.0027835376277347,0.001430687011855,0.1704436719931314,0.0,0.0,0,0.0,0.0416187783684355,0.2083200435471606,0,0.003602975124459,0.0,0.009307531907465,0.9595737243308996,0.0,0.0,0.0040070189034812,0,0.0267959395922649,0.0,0.0,0.0003157852658892,0.0,0.8645322086428826,0.0,0.1354677913571174,5
Aalborg Fjernvarme,2021,295,0.429187207630909,109.36669253559717,7055113.990000001,0.9984812906947292,0.0087491863193154,0.0320301833138772,0.1375410488583757,0.0,0.0026110629858157,0,0.0,0.0262098410120798,0.1681057263824592,0.0010987490791768,0.0069657773169445,0.2393442547340046,0.0,0.0320536091012187,28.45280465042993,80.91388788516724,0.7022470118133648,0.0366157665938415,0.2611372215927936,0.6440723473093195,0.0018069892312744,0.0013624198548057,0.1446701580118271,0.0,0.0,0,0.0,0.027652017251164,0.1768190820144553,0,0.0036169863271539,0.0,0.1595457885188943,0.7498677674953939,0.0,0.0,0.0630957293254402,0,0.0,0.0,0.0,0.0274907146602717,0.0,0.8781421577649549,0.0,0.1218578422350451,5
Aalborg Fjernvarme,2022,295,0.4382848010607495,111.31452157119736,6431816.129000002,0.9980976618047576,0.0380783485158985,0.0295903471932103,0.1370136309286897,0.0,0.003319581836883,0,0.0,0.0333597244847482,0.1674611044683985,0.0,0.0073026658501978,0.203204036587284,0.0,0.0304103626218572,30.768037154767253,80.5464844164301,0.7125406206373559,0.0622817561780473,0.2251776231845967,0.6460110442100903,0.0021291058464321,0.0015631426917715,0.1408339615545707,0.0,0.0,0,0.0,0.034307417458377,0.1721303974555864,0,0.0030249307831717,0.0,0.5253244502709995,0.426954578273326,0.0,0.0,0.0477209714556743,0,0.0,0.0,0.0,0.0,0.0,0.8654935431690878,0.0,0.1345064568309122,5
Aars Fjernvarme,2020,334,0.0790274547669089,42.54388717360352,482305.752,0.0,0.0,0.0046551408327388,0.4476605951819541,0.0098309007934037,0.0,0,0.0050804909330627,0.1791744959326133,0.5471407274446107,0.0,0.0,0.0,0.0,0.0019779983880432,24.574984263065936,17.96890291053758,0.6426118177417052,0.3554101838702516,0.0019779983880431,0.0,0.0,0.0008846231222085,0.3778245117092572,0.0082848121890746,0.0,0,0.0,0.1512205386681451,0.4617855143113144,0,0.0,0.0,0.0,0.009359525836668,0.3692727219323375,0.008137202915131,0.0,0,0.0140920025050582,0.1478052200046151,0.4513333268061903,0.0,0.0,0.0,0.0,1.0,54442912
