forsyid,vaerk_id
5,7
5,588
5,704
5,138
5,1638
5,974
5,586
5,263
5,2163
5,587
5,541
5,973
5,582
5,895
6,101
6,2138
6,2277
6,1658
6,827
6,1002
6,990
6,98
6,97
6,2311
6,96
6,2275
6,2388
6,2389
6,99
6,100
6,94
8,2406
8,255
8,2407
8,2445
8,2408
8,1493
8,963
8,430
8,432
8,1825
9,1239
9,400
9,388
9,389
9,2162
9,251
9,390
9,115
9,1649
9,398
9,2430
9,2433
9,1755
9,405
9,2198
9,823
9,393
9,2431
9,395
9,110
9,2434
9,392
9,1934
9,402
9,406
9,403
9,401
9,396
9,391
9,2014
9,2452
9,399
9,397
9,2432
10,133
10,132
10,1837
10411912,2286
10411912,162
10411912,161
10866111,1857
10866111,2367
10866111,2223
11931316,298
13057117,2185
13057117,2426
13057117,2427
13057117,2401
13057117,2405
13057117,2076
13057117,2303
13057117,2402
13057117,2075
14748539,1446
14748539,1321
14748539,261
14748539,1015
14748539,260
14748539,2202
17010131,314
17010131,320
17010131,322
17010131,315
17010131,2322
17010131,321
17010131,2321
17010131,317
17010131,313
17010131,318
17010131,316
17010131,1633
17010131,343
22831615,2296
22831615,259
23104113,970
26089263,1551
26089263,330
26089263,331
26089263,244
26089263,332
26089263,2397
26089263,992
26089263,642
26089263,994
26089263,995
26089263,2396
26089263,818
26089263,2398
26203562,493
26203562,496
26203562,497
26203562,495
26203562,231
26203562,494
26203562,2029
26203562,2455
26704065,217
26704065,218
26704065,2205
26704065,216
26704065,222
26704065,221
26704065,220
26704065,1648
26704065,1908
26704065,219
26704065,289
27185614,568
28500769,121
28621027,1848
28621027,1847
28672330,736
28672330,2446
32077404,355
32077404,308
32077404,1975
32077404,335
32077404,1080
32077404,68
32077404,2135
32078737,1417
32078737,2386
32078737,557
32078737,2382
32078737,2381
32078737,556
32654193,191
32654193,271
32654193,190
32667740,1917
32667740,2456
32667740,1567
33043309,285
33043309,2242
33912773,670
33912773,673
35478116,1632
35478116,282
35478116,106
35478116,107
35478116,105
35478116,104
35478116,2035
35478116,833
35478116,1
35478116,2031
35478116,2033
35478116,2032
35478116,2034
35478116,2320
35478116,1403
37949019,462
37949019,268
37949019,968
37949019,461
37949019,241
39272091,74
39272091,73
39901811,1841
39901811,601
39901811,1884
42125814,1826
42272612,145
55946817,554
55946817,555
55946817,1769
57681268,269
57681268,1827
57681268,1833
57681268,1828
57681268,808
67932218,2319
67932218,357
67932218,804
67932218,2194
67932218,2070
67932218,1907
67932218,33
67932218,1636
67932218,1635
67932218,1634
