names,År,FV_NetID,Ellev (el/varme),CO2 - El&Varme,Varme_Lev_til_net,Kul,Olie,Gas,Affald (fossil),Halm,Skovflis,Brænde,Træpiller,Træaffald,Affald (bio),"Biobrændsler
(bioolie)",Biogas,Overskudsvarme,Solvarme,El,CO2 - Varme,CO2 - El,andel kraftvarme,andel kedler,andel andet, kraftvarme - andel   Kul, kraftvarme - andel   Olie, kraftvarme - andel   Gas, kraftvarme - andel   Affald (fossil), kraftvarme - andel   Halm, kraftvarme - andel   Skovflis, kraftvarme - andel   Brænde, kraftvarme - andel   Træpiller, kraftvarme - andel   Træaffald, kraftvarme - andel   Affald (bio)," kraftvarme - andel   Biobrændsler
(bioolie)", kraftvarme - andel   Biogas, kedler - andel   Kul, kedler - andel   Olie, kedler - andel   Gas, kedler - andel   Affald (fossil), kedler - andel   Halm, kedler - andel   Skovflis, kedler - andel   Brænde, kedler - andel   Træpiller, kedler - andel   Træaffald, kedler - andel   Affald (bio)," kedler - andel   Biobrændsler
(bioolie)", kedler - andel   Biogas,Andet - andel overskudsvarme,Andet - andel solvarme,Andet - andel varmepumper og elkedler
Aabenrå - Rødekro - Hjordkær Fjernvarme,2020,117,0.0,0.0024158388842392777,939672.4400000001,0.0,3.260241409229795e-05,0.0,0.0,0.22496722368488323,0.7494813831083521,0,0.00031976568345454503,0.06205353857137706,0.0,0.0001012932761973949,0.0,0.0,0.0,0.0,0.0024158388842392777,0.0,0.06731281807094396,0.932687181929056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,2.6809982763872255e-05,0.0,0.0,0.21029486624979088,0.731296956059126,0,0.00029574846520010416,0.05799006786242581,0.0,9.555138069314616e-05,0.0,0.0,0.0,0.0
Aabenrå - Rødekro - Hjordkær Fjernvarme,2021,117,0.0,0.002279193459652155,1134789.5520000001,0.0,3.075834628410466e-05,0.0,0.0,0.21959754525480507,0.6617190814601365,0,0.003369259078268284,0.06790774541780413,0.0,0.0003132306773300288,0.0,0.0,0.0,0.0,0.002279193459652155,0.0,0.060865558621216474,0.9391344413787833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,2.8389282940516687e-05,0.0,0.0,0.21444635224469394,0.7156728168302136,0,0.003222610211580237,0.0663328519340789,0.0,0.00029697949649282553,0.0,0.0,0.0,0.0
Aabenrå - Rødekro - Hjordkær Fjernvarme,2022,117,0.005012742064038569,0.19796414145596494,1046387.772,0.0,0.0026715808563558025,0.0,0.0,0.3869206147412816,0.589470000037424,0,0.00044820860158140303,0.05715471988523963,0.0,0.0014652407463339508,0.0,0.0,0.0,0.0,0.19796414145596494,0.0,0.05929541768383738,0.9407045823161626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0025334284410269965,0.0,0.0,0.3810235253044646,0.5582963312462168,0,0.0004892325142531897,0.05627215008418488,0.0,0.0013853324098535651,0.0,0.0,0.0,0.0
Aabybro Fjernvarme,2020,329,0.0,0.8277631554558766,194223.6,0.0,0.0,0.014550240032622194,0.0,0.0,0.7137217104409557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.27172804952642216,0.0,0.8277631554558766,0.0,0.0,0.7282719504735778,0.27172804952642216,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.019979130080680054,0.0,0.0,0.98002086991932,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aabybro Fjernvarme,2021,329,0.0,1.3385089233878376,215542.8,0.0,0.0,0.023528017637332355,0.0,0.0,0.7220607693692389,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22176941192190136,0.0,1.3385089233878376,0.0,0.0,0.7782305880780986,0.22176941192190136,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.030260757592016307,0.0,0.0,0.9697392424079836,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aabybro Fjernvarme,2022,329,0.0,0.0,212356.80000000002,0.0,0.0,0.0,0.0,0.0,0.7061558659765074,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25457720214280866,0.0,0.0,0.0,0.0,0.7454227978571912,0.25457720214280877,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aakirkeby og Lobbæk Fjernvarme,2020,69,0.6988756228932151,0.6359960088242529,110749.31999999999,0.0,0.008582942089396126,0.0,0.0,0.0,0.586095697923924,0,0.009638885367422571,0.0,0.0,0.0,1.7603558378507427,0.0,0.0,0.0,0.6359960088242529,0.0,0.6359178426308891,0.36408215736911076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.015577334572699424,0.0,0.0,0.0,0.970199067980062,0,0.014223597447238561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aakirkeby og Lobbæk Fjernvarme,2021,69,0.4801156271899089,1.0175455695709723,123292.8,0.0,0.01373205896856913,0.0,0.0,0.0,0.5880908860858055,0,0.0415879921617483,0.0,0.0,0.0,1.2093904753562252,0.0,0.0,0.0,1.0175455695709723,0.0,0.5146950951146756,0.48530490488532446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.021725110842402258,0.0,0.0,0.0,0.9118450221684805,0,0.06642986698911729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aakirkeby og Lobbæk Fjernvarme,2022,69,0.5519467190465513,0.01165795861610155,113997.96,0.0,0.0001573273767355135,0.0,0.0,0.0,0.50025105712418,0,0.0001535115189780589,0.0,0.0,0.0,1.390250597466832,0.0,0.0,0.0,0.01165795861610155,0.0,0.5172862439165149,0.48271375608348505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0002455153420402325,0.0,0.0,0.0,0.999514306605964,0,0.00024017805199587962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aalborg Fjernvarme,2020,295,0.33950193186415606,99.3012769357021,6404920.901000001,0.8621762553359301,0.004283562966431805,0.07623696755658028,0.14350020307924485,0.0,0.0003209229328154665,0,0.0021460920770862146,0.03505540559680363,0.17538913709685483,2.4741289150855663e-05,0.007768601793697623,0.27852194079734505,0.0,0.04257386103822549,26.125705198318645,73.17557173738345,0.619311130266277,0.07166452247381837,0.3090243472599046,0.5718003063272236,0.00278353762773473,0.0014306870118550499,0.17044367199313143,0.0,0.0,0,0.0,0.04161877836843559,0.20832004354716063,0,0.0036029751244590017,0.0,0.009307531907465062,0.9595737243308996,0.0,0.0,0.004007018903481226,0,0.02679593959226497,0.0,0.0,0.0003157852658892336,0.0,0.8645322086428826,0.0,0.13546779135711742
Aalborg Fjernvarme,2021,295,0.429187207630909,109.36669253559717,7055113.990000001,0.9984812906947291,0.008749186319315478,0.032030183313877254,0.1375410488583757,0.0,0.0026110629858157684,0,0.0,0.0262098410120798,0.16810572638245921,0.0010987490791768198,0.006965777316944526,0.23934425473400464,0.0,0.03205360910121879,28.45280465042993,80.91388788516724,0.7022470118133648,0.03661576659384156,0.2611372215927936,0.6440723473093195,0.0018069892312744722,0.001362419854805753,0.1446701580118271,0.0,0.0,0,0.0,0.02765201725116401,0.17681908201445534,0,0.003616986327153979,0.0,0.15954578851889434,0.7498677674953939,0.0,0.0,0.06309572932544028,0,0.0,0.0,0.0,0.02749071466027171,0.0,0.8781421577649549,0.0,0.12185784223504514
Aalborg Fjernvarme,2022,295,0.4382848010607495,111.31452157119736,6431816.129000002,0.9980976618047575,0.03807834851589856,0.029590347193210315,0.1370136309286897,0.0,0.003319581836883073,0,0.0,0.03335972448474824,0.16746110446839854,0.0,0.007302665850197843,0.20320403658728406,0.0,0.030410362621857215,30.768037154767253,80.5464844164301,0.7125406206373559,0.062281756178047334,0.22517762318459678,0.6460110442100903,0.002129105846432164,0.0015631426917715545,0.1408339615545707,0.0,0.0,0,0.0,0.03430741745837708,0.17213039745558645,0,0.0030249307831717795,0.0,0.5253244502709995,0.42695457827332606,0.0,0.0,0.04772097145567431,0,0.0,0.0,0.0,0.0,0.0,0.8654935431690878,0.0,0.1345064568309122
Aars Fjernvarme,2020,334,0.07902745476690895,42.543887173603515,482305.752,0.0,0.0,0.004655140832738814,0.44766059518195417,0.009830900793403766,0.0,0,0.005080490933062726,0.1791744959326133,0.5471407274446107,0.0,0.0,0.0,0.0,0.001977998388043276,24.574984263065936,17.96890291053758,0.6426118177417052,0.35541018387025164,0.0019779983880431895,0.0,0.0,0.0008846231222085472,0.37782451170925724,0.008284812189074696,0.0,0,0.0,0.15122053866814517,0.4617855143113144,0,0.0,0.0,0.0,0.009359525836668024,0.3692727219323375,0.00813720291513103,0.0,0,0.014092002505058213,0.14780522000461513,0.4513333268061903,0.0,0.0,0.0,0.0,1.0
Aars Fjernvarme,2021,334,0.07524415408556884,35.71032778211526,516613.10400000005,0.0,0.0,0.022593810163979117,0.3644996391729157,0.0015437084228510007,0.0,0,0.03726870234402726,0.2840049910929089,0.44549955898911925,0.0,0.0,0.0,0.0,0.003121872030563127,20.891623832599084,14.818703949516179,0.6548126584106159,0.34206546955882094,0.0031218720305631886,0.0,0.0,0.014717776264260176,0.32781383831563365,0.0013964593776341298,0.0,0,0.0,0.2554105681011422,0.40066135794133,0,0.0,0.0,0.0,0.01517978863925827,0.29064740909857795,0.0012137297196022634,0.0,0,0.11123981515509809,0.22648353515586808,0.3552357222315953,0.0,0.0,0.0,0.0,1.0
Aars Fjernvarme,2022,334,0.08961069090788694,37.564182149476885,471881.19599999994,0.0,0.0011587305335218317,0.007478144138636116,0.3922594321813155,0.003933193387939112,0.0,0,0.014962187643518646,0.3458484919157491,0.4794281948882745,0.0,0.0,0.0,0.0,0.003280486726578527,20.46226759796304,17.101914551513843,0.6839280792193297,0.3127914340540918,0.0032804867265784354,0.0,0.0,0.004383812243441015,0.31972590131060613,0.0032044837957210656,0.0,0,0.0,0.28190970104838,0.390776101601852,0,0.0,0.0,0.00385974574214557,0.006703884452992932,0.3015175541112594,0.003027016517489834,0.0,0,0.05056083995872206,0.26580950419251753,0.36852145502487266,0.0,0.0,0.0,0.0,1.0
Ærøskøbing Fjernvarme,2020,94,0.0,0.0,51361.4,0.0,0.0,0.0,0.0,0.7797489943809942,0.0,0,0.09812816628830211,0.0,0.0,0.0,0.0,0.0,0.19373303687204788,0.0,0.0,0.0,0.0,0.8062669631279521,0.1937330368720479,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8942068532515515,0.0,0,0.10579314674844849,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ærøskøbing Fjernvarme,2021,94,0.0,0.0,51321.600000000006,0.0,0.0,0.0,0.0,0.8988476586856216,0.0,0,0.045692262127447314,0.0,0.0,0.0,0.0,0.0,0.17508417508417506,0.0,0.0,0.0,0.0,0.8249158249158249,0.17508417508417506,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9494047619047619,0.0,0,0.05059523809523809,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ærøskøbing Fjernvarme,2022,94,0.0,0.0,47059.2,0.0,0.0,0.0,0.0,0.8575050149598803,0.0,0,0.03569971440228478,0.0,0.0,0.0,0.0,0.0,0.1988984088127295,0.0,0.0,0.0,0.0,0.8011015911872705,0.19889840881272947,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9633307868601987,0.0,0,0.03666921313980138,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Agersted Fjernvarme,2020,280,0.029078928520269304,10.145220348087669,25131.6,0.0,0.0,0.17833046841426733,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8637730984099699,0.0,0.0,6.562169005873085,3.5830513422145827,0.0416845724108294,0.09454232917920069,0.8637730984099699,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Agersted Fjernvarme,2021,280,0.05867768123711457,14.664942809399836,25249.464,0.0,0.0,0.2577771631112645,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8406356665630605,0.0,0.0,7.284128523441132,7.380814285958705,0.06264988436982266,0.09671444906711682,0.8406356665630605,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Agersted Fjernvarme,2022,280,0.03765628192981479,11.74409812554571,19378.44,0.0,0.0,0.20643519292574636,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8452692786416245,0.0,0.0,7.311150779319699,4.432947346226012,0.05244384996934739,0.10228687138902823,0.8452692786416244,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Allingåbro Fjernvarme,2020,219,0.0,73.50948723496322,1164.744,0.0,0.9920308668685994,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.50948723496322,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allingåbro Fjernvarme,2021,219,0.0,0.7851946541568648,65804.4,0.0,0.010596419084438122,0.0,0.0,0.0,0.8372648485511607,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7851946541568648,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.008491711800426719,0.0,0.0,0.0,0.9915082881995734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allingåbro Fjernvarme,2022,219,0.0,1.3473630880700063,59788.8,0.0,0.018183037625776065,0.0,0.0,0.0,0.919794526734104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3473630880700063,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.01833032273603083,0.0,0.0,0.0,0.9816696772639691,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Als Fjernvarme,2020,292,0.0,0.0,45561.6,0.0,0.0,0.0,0.0,0.47132892611321814,0.0,0,0.0,0.41436209439528027,0.0,0.0,0.0,0.0,0.20677939317319852,0.0,0.0,0.0,0.0,0.7932206068268017,0.20677939317319827,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5321595400646784,0.0,0,0.0,0.4678404599353216,0.0,0.0,0.0,0.0,1.0,0.0
Als Fjernvarme,2021,292,0.0,0.0,46393.2,0.0,0.0,0.0,0.0,0.38568152229206004,0.0,0,0.0,0.4569419656328945,0.0,0.0,0.0,0.0,0.19624427717855203,0.0,0.0,0.0,0.0,0.8037557228214481,0.19624427717855186,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4577151335311572,0.0,0,0.0,0.5422848664688427,0.0,0.0,0.0,0.0,1.0,0.0
Als Fjernvarme,2022,292,0.0,0.0,57301.200000000004,0.0,0.0,0.0,0.0,0.4466311351245698,0.0,0,0.0,0.4048780828324712,0.0,0.0,0.0,0.0,0.18973424640321668,0.0,0.0,0.0,0.0,0.8102657535967833,0.18973424640321668,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.524517087667162,0.0,0,0.0,0.475482912332838,0.0,0.0,0.0,0.0,1.0,0.0
Ans Fjernvarme,2020,243,0.3075482007649675,78.92882008508313,46119.600000000006,0.0,0.0,1.3873935680274763,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.59980643041136,32.32901365467177,0.40251475887449206,0.5974852411255079,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ans Fjernvarme,2021,243,0.6528657834101383,101.36148812644011,49996.799999999996,0.0,0.0,1.7817101094470047,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.36421538018433,67.99727274625577,0.8512005649717514,0.1487994350282486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ans Fjernvarme,2022,243,0.5824971642963093,97.87096787976616,41259.6,0.0,0.0,1.7203545065875578,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.960228288107494,60.910739591658675,0.7493687931324693,0.25063120686753076,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ansager Fjernvarme,2020,139,0.0,0.04536903208044815,48818.52,0.0,0.0006122676394122559,0.0,0.0,0.0,0.9818404982371445,0,0.023300583467094044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04536903208044815,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.00040680288615942394,0.0,0.0,0.0,0.976255557855221,0,0.023337639258619584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ansager Fjernvarme,2021,139,0.0,0.04439979353338545,53877.95999999999,0.0,0.0005991874970767268,0.0,0.0,0.0,0.9452473701676901,0,0.019813296568763926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04439979353338545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.00039422428020660026,0.0,0.0,0.0,0.9797208357554741,0,0.019884939964319365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ansager Fjernvarme,2022,139,0.0,0.0,47235.600000000006,0.0,0.0,0.0,0.0,0.0,0.9636401358297555,0,0.015412104429709793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9849110698008664,0,0.015088930199133587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arden Fjernvarme,2020,272,0.05368688636321771,27.216683416840127,78173.28,0.0,0.0,0.4784089192624385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.6131762668778896,0.0,0.0,20.839825501501277,6.376857915338847,0.08117044596312192,0.3056532871589883,0.6131762668778897,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Arden Fjernvarme,2021,272,0.1805004425946596,41.86765149266769,86340.852,0.0,0.0,0.7359404375578782,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5196891038323318,0.0,0.0,20.649827264247982,21.21782422841971,0.26707325056278114,0.21323764560488703,0.5196891038323319,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
