Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2015;ProcentvisPrisaendring_SidenDecember2015;NominelPrisaendring_SidenDecember2017;ProcentvisPrisaendring_SidenDecember2017;Bemaerkninger
Agersted Varmeværk;9330;326;7394;9780;-2.036;-17,23%;-566;-5,50%;
Albertslund Varmeværk;2620;700;12552;15990;2.840;21,60%;686;4,50%;
Allingåbro Varmeværk;8961;438;10188;13231;0;0,00%;0;0%;
Als Fjernvarme a.m.b.a.;9560;425;9350;11755;-13;-0,11%;0;0%;
Ans Kraftvarmeværk;8643;740;13544;16815;1.671;11,03%;3.552;26,80%;
Ansager Varmeværk;6823;344;10994;15816;-823;-4,95%;0;0%;
Arden Varmeværk;9510;475;9650;12473;2.054;19,71%;1.569;14,40%;
Assens Fjernvarme Amba - Fyn;5610;409;7860;9982;82;0,83%;210;2,20%;
Assens Fjernvarme Amba - Jylland;9550;475;11594;15035;-453;-2,92%;-453;-2,90%;
Astrup Kraftvarmeværk;9510;450;13438;14833;-2.381;-13,83%;4.698;46,30%;
Asaa Fjernvarme;9340;438;9969;12906;2.333;22,06%;2.466;23,60%;
Augustenborg Fjernvarme;6440;531;11156;14041;566;4,20%;1.131;8,80%;
Aulum Fjernvarme A.m.b.a.;7490;500;11213;15375;6.631;75,84%;5.500;55,70%;
Auning Varmeværk;8963;525;10531;13740;1.358;10,96%;1.358;11,00%;
Avedøre Fjernvarme A.m.b.a. ;2650;360;11139;13273;-298;-2,19%;420;3,30%;
Ballen/Brundby Varmeværk;8305;713;15963;18171;-730;-3,86%;-1.330;-6,80%;
Balling-Rødding Varmeværk A.m.b.a.**;7860;585;10925;14114;-71;-0,50%;115;0,80%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Bedsted Fjernvarme;7755;575;12578;14601;453;3,20%;453;3,20%;
Billund Varmeværk ;7190;440;8225;10414;-1.785;-14,63%;-1.448;-12,20%;
Bindslev Fjernvarme;9881;231;6984;9419;-113;-1,19%;-226;-2,30%;
Blenstrup Kraftvarmeværk A.m.b.a.;9520;550;14200;15905;-3.168;-16,61%;0;0%;
Blåhøj Energiselskab Amba;7330;188;4531;5456;-9.936;-64,55%;-4.784;-46,70%;
Bogense Forsyningsselskab;5400;338;7344;9421;-679;-6,72%;-679;-6,70%;
Bornholms Varme A/S**;3700;700;15531;19283;790;4,27%;790;4,30%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Borup Varmeværk Amba;4140;506;9548;12551;0;0,00%;-1;0,00%;
Boulstrup-Hou Kraftvarmeværk A.m.b.a. ;8300;538;12563;14229;-3.530;-19,88%;1.131;8,60%;
Bramming Fjernvarme A.m.b.a.;6740;513;10388;13956;4.059;41,01%;5.201;59,40%;
Brande Fjernvarme Amba;7330;400;9156;12115;1.265;11,66%;2.141;21,50%;
Bredebro Varmeværk;6261;394;8313;10977;339;3,19%;1.244;12,80%;
Bredsten-Balle Kraftvarmeværk A.m.b.a.;7182;681;10219;16117;-1.697;-9,53%;339;2,20%;
Broager Fjernvarmeselskab;6310;531;12125;15603;0;0,00%;0;0%;
Brovst Fjernvarme;9460;500;10625;13550;-905;-6,26%;905;7,20%;
Brædstrup Fjernvarme a.m.b.a.;8740;469;9875;12909;3.394;35,67%;5.656;78,00%;
Brøndby Fjernvarme A.m.b.a. ;2605;458;9014;11681;1.158;11,01%;-470;-3,90%;
Brønderslev Varme;9700;560;10475;13146;-1.340;-9,25%;-1.041;-7,30%;
Brøns Kraftvarme A.m.b.a.;6780;520;13275;15487;-3.206;-17,15%;815;5,60%;
Brørup Fjernvarme;6650;400;8563;11315;973;9,41%;905;8,70%;
Bækmarksbro Varmeværk A.m.b.a.;7660;600;12800;15460;0;0,00%;0;0%;
Bælum Varmeværk;9574;563;12375;14119;-1.358;-8,77%;1.131;8,70%;
Bøvling Varmeværk;7650;619;10781;12699;-98;-0,77%;0;0%;
Christiansfeld Fjernvarmeselskab A.m.b.A.;6070;688;13281;17131;4.659;37,35%;5.111;42,50%;
DIN Forsyning Varme**;6705;456;8846;10956;-385;-3,39%;-501;-4,40%;** Forsyningen er en fusion af to eller flere forsyninger. Der er for december 2015 og evt. december 2017 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
Dronninglund Fjernvarme;9330;706;12844;16408;2.524;18,18%;5.021;44,10%;
Durup Fjernvarme;7870;465;10518;14373;-1.296;-8,27%;0;0%;
Dybvad Varmeværk Amba;9352;513;11563;14526;-1.810;-11,08%;-453;-3,00%;
E.ON Varme - Lendemarke Varmeforsyning;4780;693;13073;16378;1.440;9,64%;1.440;9,60%;
