name,forsyid
Aabybro Fjernvarme,17779710
Aalestrup-Nørager Energi,14411313
Aars Fjernvarme,54442912
Ærøskøbing Fjernvarme,24513718
Agersted Varmeværk,19774015
Allingåbro Varmeværk,18027410
Als Fjernvarme,11304028
Ans Kraftvarmeværk,11271715
Ansager Varmeværk,62749814
Arden Varmeværk,70874814
Asaa Fjernvarme,54300514
Assens Fjernvarme,27837417
Astrup Kraftvarmeværk,17750909
Aulum Fjernvarme,39042010
Auning Varmeværk,25473914
Avedøre Fjernvarme,14250905
Bækmarksbro Varmeværk,18318636
Bælum Varmeværk,58113719
Bedsted Fjernvarme,18962519
Billund Varmeværk,37251518
Bindslev Fjernvarme,39678810
Blåhøj Energiselskab,19231097
Bogense Forsyningsselskab,64831712
Borup Varmeværk,14898018
Boulstrup-Hou Kraftvarmeværk,18653087
Brædstrup Fjernvarme,64728210
Bramming Fjernvarme,63446319
Brande Fjernvarme,58176613
Bredebro Varmeværk,22927213
Bredsten-Balle Kraftvarmeværk,34938717
Broager Fjernvarmeselskab,59352318
Brøndby Fjernvarme,33269315
Brørup Fjernvarme,13551472
Brovst Fjernvarme,37809217
Din Forsyning Varme,00000006
Durup Fjernvarme,38929119
Dybvad Varmeværk,40920013
Ebeltoft Fjernvarmeværk,22703714
Egebjerg Nærvarme,38130498
Egedal Fjernvarme,35410538
Egtved Varmeværk,14909516
Ejsing Fjernvarmeforsyning,17816845
Ejstrupholm Varmeværk,17727915
Energi Ikast Varme,25161513
Energi Vegger,14928375
Farsø Varmeværk,53464718
Farum Fjernvarme,10663210
Faxe Fjernvarmeselskab,70831112
Feldborg Kraftvarmeværk,17885278
Fensmark Fjernvarmeværk,40402314
Filskov Energiselskab,16263443
Fjernvarme Fyn,00000009
Fjernvarmecentralen Avedøre Holme,22340417
Fjerritslev Fjernvarme,45602516
Flauenskjold Varmeværk,20023317
Føns Nærvarme,35419314
Forsyning Helsingør,32654193
Fredericia Fjernvarme,35478116
Frederiks Varmeværk,18552310
Frederiksberg Forsyning,28500769
Fur Kraftvarmeværk Amba,18474492
Galten Varmeværk,43727516
Gauerslund Fjernvarme,00000010
Gedsted Varmeværk,38864114
Gelsted Fjernvarme,13148228
Gentofte Gladsaxe Fjernvarme,39272091
Gilleleje Fjernvarme,59162616
Give Fjernvarme,38664018
Gjøl Private Kraftvarmeværk,17063340
Glamsbjerg-Haarby Varmeværk,25387910
Glyngøre Fjernvarmeværk,57762918
Gørding Varmeværk,20049928
Græsted Fjernvarme,42742511
Gram Fjernvarme,36294515
Greve  Fjernvarme,33912773
Gudenådalens Energiselskab,17256319
Haderslev Fjernvarme,58061212
Haderup Kraftvarmeværk,17761889
Hadsten Varmeværk,67750411
Hadsund Fjernvarme,60567719
Hals Fjernvarme,22662910
Halsnæs Varme,33033575
Hammel Fjernvarme,42272612
Hammershøj Fjernvarmeværk,23067919
Hanstholm Varmeværk,23011514
Harboøre Varmeværk,16016438
Hashøj Kraftvarmeforsyning,16408530
Haslev Fjernvarme,54121016
Havndal Fjernvarme,16566179
Havneby Varmeværk,29346909
Hedensted Fjernvarme,41529911
Hejnsvig Varmeværk,15978538
Helsinge Fjernvarme,42760218
Hemmet Varmeværk,20745533
Hinnerup Fjernvarme,10411912
Hirtshals Fjernvarme,45194817
Hjordkær Fjernvarmeværk,12389132
Hjørring Varmeforsyning,64544616
Hobro Varmeværk,41429615
Høje Taastrup Fjernvarme,13057117
Holeby Fjernvarme,62082313
Holsted Varmeværk,36637919
Holte Fjernvarme,18968614
Høng Varmeværk,29096716
Hørby Varmeværk,11218415
Hornbæk Fjernvarme,64235818
Hundested Varmeværk,32720315
Hundslund-Oldrup Kraftvarmeværk,18440342
Hvalsø Kraftvarmeværk,44057212
Hvide Sande Fjernvarme,69914128
Hvidebæk Fjernvarmeforsyning,14926402
Ingstrup Fjernvarme,19596419
Jægerspris Kraftvarme,18155141
Jelling Varmeværk,17349317
Jerslev Varmeværk,16001910
Jetsmark Energiværk,17000888
Kalundborg Varmeforsyning,31774985
Karup Varmeværk,16859818
Kerteminde Forsyning,32077404
Kibæk Varmeværk,39325128
Kjellerup Fjernvarme,60247412
Kolind Fjernvarmeværk,33910134
Kongerslev Fjernvarmeværk,51087119
Kværndrup Fjernvarme,23913615
Laurbjerg Kraftvarmeværk,16091308
Lem Varmeværk,15763515
Lemvig Varmeværk,36892412
Lendum Kraftvarmeværk,17144847
Løgstør Fjernvarmeværk,19201414
Løgstrup Varmeværk,18791013
Løgumkloster Fjernvarme,66211118
Lohals Varmeforsyning,16954748
Løjt Kirkeby Fjernvarmeselskab,12762038
Løkken Varmeværk,64761919
Løkkensvejens Kraftvarmeværk,20066873
Lønstrup Varmeforsyning,19908070
