name,forsyid,CVRP,address,latitude,longitude
Aabybro Fjernvarme,17779710,1001358265,"Ny Aabyvej 20, 9440 Åbybro, Denmark",57.14891,9.760823
Aalestrup-Nørager Energi,14411313,1000738509,"Elmegaardsvej 6, 9620 Aalestrup, Denmark",56.697867,9.493562
Aars Fjernvarme,54442912,1002486097,"Dybvad Møllevej 1, 9600 Aars, Denmark",56.804,9.5144
Ærøskøbing Fjernvarme,24513718,1001572715,"Lerbækken 23, 5970 Ærøskøbing, Denmark",54.883658,10.413418
Agersted Varmeværk,19774015,1001516452,"Gl. Kongevej 5, 9330 Dronninglund, Denmark",57.197837,10.378935
Allingåbro Varmeværk,18027410,1001414567,"Granbakkevej 1, 8961 Allingåbro, Denmark",56.462986,10.333905
Als Fjernvarme,11304028,1000214727,"Rørsangervej 26, 9560 Hadsund, Denmark",56.752906,10.284505
Ans Kraftvarmeværk,11271715,1002907871,"Søgade 6, 8643 Ans By, Denmark",56.308667,9.592818
Ansager Varmeværk,62749814,1002158896,"Østre Alle 2, 6823 Ansager, Denmark",55.706591,8.752315
Arden Varmeværk,70874814,1002330178,"Myhlenbergvej 64, 9510 Arden, Denmark",56.758879,9.846744
Asaa Fjernvarme,54300514,1002016230,"Bolværksvej 1, 9340 Asaa, Denmark",57.148773,10.402744
Assens Fjernvarme,27837417,1014971943,"Stejlebjergvej  4, 5610 Assens, Denmark",55.257055,9.910147
Astrup Kraftvarmeværk,17750909,1001352177,"Park Allé 2A, 9510 Arden, Denmark",56.768274,9.981839
Aulum Fjernvarme,39042010,1001775537,"Rugbjergvej 3, 7490 Aulum, Denmark",56.266519,8.79404
Auning Varmeværk,25473914,1001583674,"Energivej 18, 8963 Auning, Denmark",56.424044,10.377561
Avedøre Fjernvarme,14250905,1000707406,"Rebslagerporten 125 i Avedøre, 2650 Hvidovre",55.63011,12.443321
Bækmarksbro Varmeværk,18318636,1001479025,"Bækmarksbrovej 4, 7660 Bækmarksbro, Denmark",56.420839,8.303668
Bælum Varmeværk,58113719,1002074934,"Grønnegade 4, 9574 Bælum, Denmark",56.831927,10.115259
Bedsted Fjernvarme,18962519,1001507375,"Balsbyvej 3, 7755 Bedsted Thy, Denmark",56.809897,8.4045
Billund Varmeværk,37251518,1001753730,"Møllevej 49, 7190 Billund, Denmark",55.723482,9.100292
Bindslev Fjernvarme,39678810,1001785816,"Skolegade 3, 9881 Bindslev, Denmark",57.5429381,10.1994075
Blåhøj Energiselskab,19231097,1003733569,"Sdr. Ommevej 38, 7330 Brande, Denmark",55.866259,9.0123
Bogense Forsyningsselskab,64831712,1002196453,"Fynsvej 5, 5400 Bogense, Denmark",55.552441,10.087939
Borup Varmeværk,14898018,1000825228,"Bækgårdsvej 62, 4140 Borup, Denmark",55.486066,11.969748
Boulstrup-Hou Kraftvarmeværk,18653087,1003512223,"Møllemarken 4, 8300 Odder, Denmark",55.923611,10.244058
Brædstrup Fjernvarme,64728210,1002194760,"Fjernvarmevej 2, 8740 Brædstrup, Denmark",55.976443,9.622564
Bramming Fjernvarme,63446319,1002170663,"Grønningen 7, 6740 Bramming, Denmark",55.476746,8.699162
Brande Fjernvarme,58176613,1002075632,"Mylius-Erichsensvej 39, 7330 Brande, Denmark",55.949264,9.124966
Bredebro Varmeværk,22927213,1001553293,"Søndergade 8, 6261 Bredebro, Denmark",55.057846,8.828059
Bredsten-Balle Kraftvarmeværk,34938717,1001727276,"Engvej 2, 7182 Bredsten, Denmark",55.703159,9.380551
Broager Fjernvarmeselskab,59352318,1002097051,"Østergade 21, 6310 Broager, Denmark",54.888916,9.676469
Brøndby Fjernvarme,33269315,1003039566,"Kirkebjerg Alle 92A, 2605 Brøndby, Denmark",55.651518,12.398078
Brørup Fjernvarme,13551472,1000584343,"Vandværksvej 5, 6650 Brørup, Denmark",55.482359,9.016868
Brovst Fjernvarme,37809217,1001759685,"Bøge Bakker 3, 9460 Brovst, Denmark",57.101527,9.51623
Durup Fjernvarme,38929119,1001773686,"Møllevej 8, 7870 Roslev, Denmark",56.743531,8.949137
Dybvad Varmeværk,40920013,1001803425,"Jernbanegade 8A, 9352 Dybvad, Denmark",57.274651,10.359459
Ebeltoft Fjernvarmeværk,22703714,1003010765,"Hans Winthers Vej 9, 8400 Ebeltoft, Denmark",56.184557,10.686203
Egebjerg Nærvarme,38130498,1024123762,"Gelstrupvej 3, 4500 Nykøbing Sjælland, Denmark",55.843631,11.686526
Egedal Fjernvarme,35410538,1029785879,"Dam Holme 4B, 3660 Stenløse, Denmark",55.778092,12.19901
