name,forsyid,cvrp
Aalborg Forsyning,00000005,1021414294
Grindsted El- Og Varmeværk,00000011,1006516498
Tvis Trekantområdets Varmetrans,13348545,1003336089
Kloster Kraftvarmeværk Amba,16946834,1001190220
Ravnkilde Kraftvarmeværk,17828843,1001368507
K/S Difko Lxv,24251020,1006449559
E.On Varme Danmark,25215680,1007868916
Verdo Varme Herning,25809807,1010775228
Ringsted Forsyning,29777373,1002501242
Hillerød Forsyning,31592488,1014558647
FORS Varme Holbæk,33032838,1016575948
Odsherred Forsyning,34203563,1014749477
Egedal Fjernvarme,35410538,1029785879
Egebjerg Nærvarme,38130498,1024123762
Ejby Fjernvarmecentral,38226215,1008718500
Helle Energi,43597469,1028775144
Nørre Alslev Fjernvarmeværk,60094411,1011034191
