name;address;latitude;longitude;CVRP
Aabenraa-Rødekro Fjernvarme;Egelund 60, 6200 Aabenraa, Denmark;55074371;9380878;1010792947
Aabybro Fjernvarme;Ny Aabyvej 20, 9440 Åbybro, Denmark;5714891;9760823;1001358265
Aalborg Forsyning;Stigsborg Brygge 5, 9400 Nørresundby, Denmark;57054437;9935121;1021414294
Aalestrup-Nørager Energi;Elmegaardsvej 6, 9620 Aalestrup, Denmark;56697867;9493562;1000738509
Aars Fjernvarme;Dybvad Møllevej 1, 9600 Aars, Denmark;56804;95144;1003104672
Ærøskøbing Fjernvarme;Lerbækken 23, 5970 Ærøskøbing, Denmark;54883658;10413418;1001572715
Affaldplus;Kragelundsvej 12, 4180 Sorø;55461283;11573434;
Agersted Varmeværk;Gl. Kongevej 5, 9330 Dronninglund, Denmark;57197837;10378935;1001516452
Albertslund Forsyning;Vognporten 9, 2620 Albertslund, Denmark;55657901;12355285;1016203617
Allingåbro Varmeværk;Granbakkevej 1, 8961 Allingåbro, Denmark;56462986;10333905;1001414567
Als Fjernvarme;Rørsangervej 26, 9560 Hadsund, Denmark;56752906;10284505;1000214727
Ans Kraftvarmeværk;Søgade 6, 8643 Ans By, Denmark;56308667;9592818;1005372727
Ansager Varmeværk;Østre Alle 2, 6823 Ansager, Denmark;55706591;8752315;1002158896
Arden Varmeværk;Myhlenbergvej 64, 9510 Arden, Denmark;56758879;9846744;1002330178
Asaa Fjernvarme;Bolværksvej 1, 9340 Asaa, Denmark;57148773;10402744;1002016230
Assens Fjernvarme;Fabriksvej 5, 9550 Mariager, Denmark;5668061;10067165;1014971943
Astrup Kraftvarmeværk;Park Allé 2A, 9510 Arden, Denmark;56768274;9981839;1001352176
Aulum Fjernvarme;Rugbjergvej 3, 7490 Aulum, Denmark;56266519;879404;1012887961
Auning Varmeværk;Energivej 18, 8963 Auning, Denmark;56424044;10377561;1001583674
Avedøre Fjernvarme;Rebslagerporten 125 i Avedøre, 2650 Hvidovre;5563011;12443321;1000707406
Bækmarksbro Varmeværk;Bækmarksbrovej 4, 7660 Bækmarksbro, Denmark;56420839;8303668;1001479025
Bælum Varmeværk;Grønnegade 4, 9574 Bælum, Denmark;56831927;10115259;1002074934
Ballen/Brundby Fjernvarme;Ballenvej 51, 8305 Samsø, Denmark;55815022;10636025;1010705653
Balling-Rødding Varmeværk;Anlægsvej 4, 7860 Spøttrup, Denmark;56614623;8880794;1001609247
Bedsted Fjernvarme;Balsbyvej 3, 7755 Bedsted Thy, Denmark;56809897;84045;1001507375
Benløseparkens Varmecentral;Fredensvej 34, 4100 Ringsted, Denmark;55464298;11787322;1002501242
Billund Varmeværk;Møllevej 9, 7190 Billund, Denmark;55855785;9000627;1001753730
Bindslev Fjernvarme;Skolegade 3, 9881 Bindslev, Denmark;57476686;10197503;
Blåhøj Energiselskab;Sdr. Ommevej 38, 7330 Brande, Denmark;55866259;90123;
Bogense Forsyningsselskab;Fynsvej 5, 5400 Bogense, Denmark;55552441;10087939;
Bornholms Energi & Forsyning;Industrivej 1, Rønne, 3700 Rønne, Denmark;55096695;147185;
Borup Varmeværk;Bækgårdsvej 62, 4140 Borup, Denmark;55486066;11969748;
Boulstrup-Hou Kraftvarmeværk;Møllemarken 4, 8300 Odder, Denmark;55923611;10244058;
Bøvling Varmeværk;Marievej 3, 7650 Bøvlingbjerg, Denmark;56435220;8202650;
Brædstrup Fjernvarme;Fjernvarmevej 2, 8740 Brædstrup, Denmark;55976443;9622564;
Bramming Fjernvarme;Grønningen 7, 6740 Bramming, Denmark;55476746;8699162;
Brande Fjernvarme;Mylius-Erichsensvej 39, 7330 Brande, Denmark;55949264;9124966;
Bredebro Varmeværk;Søndergade 8, 6261 Bredebro, Denmark;55057846;8828059;
Bredsten-Balle Kraftvarmeværk;Engvej 2, 7182 Bredsten, Denmark;55703159;9380551;
Broager Fjernvarmeselskab;Østergade 21, 6310 Broager, Denmark;54888916;9676469;
Brøndby Fjernvarme;Kirkebjerg Alle 92A, 2605 Brøndby, Denmark;55651518;12398078;
Brønderslev Forsyning;Virksomhedsvej 20, 9700 Brønderslev, Denmark;57259492;9952196;
Brøns Fjernvarme;Hovedvejen 8D, 6780 Skærbæk, Denmark;55195972;8728464;
Brørup Fjernvarme;Vandværksvej 5, 6650 Brørup, Denmark;55482359;9016868;
Brovst Fjernvarme;Bøge Bakker 3, 9460 Brovst, Denmark;57101527;951623;
Christiansfeld Fjernvarme;Ravnhavevej 2, 6070 Christiansfeld, Denmark;55364098;9489832;
Dronninglund Fjernvarme;Tidselbak Alle 18, 9330 Dronninglund, Denmark;57163302;10289065;
Durup Fjernvarme;Møllevej 8, 7870 Roslev, Denmark;56743531;8949137;
Dybvad Varmeværk;Jernbanegade 8A, 9352 Dybvad, Denmark;57274651;10359459;
E.On Ørslev-Terslev Kraftvarmeanlæg;Terslev Skolevej 23, 4690 Haslev, Denmark;55372476;11971803;
Ebeltoft Fjernvarmeværk;Hans Winthers Vej 9, 8400 Ebeltoft, Denmark;56184557;10686203;
Egebjerg Nærvarme;Gelstrupvej 3, 4500 Nykøbing Sjælland, Denmark;55843631;11686526;
Egedal Fjernvarme;Dam Holme 4B, 3660 Stenløse, Denmark;55778092;1219901;
Egtved Varmeværk;Søndergade 35, 6040 Egtved, Denmark;55614177;9310178;
Ejsing Fjernvarmeforsyning;Østparken 52, 7830 Vinderup, Denmark;56522412;8793305;
Ejstrupholm Varmeværk;Vandværksvej 12, 7361 Ejstrupholm, Denmark;55983024;9290848;
Energi Hurup;Nygade 22, 7760 Hurup Thy, Denmark;56747943;8419079;
Energi Ikast Varme;Birkevej 34, 7442 Engesvang;56169717;9351491;
Energi Vegger;Skivumvej 2-4, 9240 Nibe, Denmark;56887211;95746158;
Energiselskabet V/Andelssamfundet I Hjortshøj;Gammel Kirkevej 116A, 8530 Hjortshøj, Denmark;56251517;10272588;
Engholm Varmecentral;Rådhusparken 57, 3450 Allerød;55866607;12337772;
Farsø Varmeværk;J. Skjoldborgs Vej 12, 9640 Farsø, Denmark;56768058;9336192;
Farum Fjernvarme;Stavnsholtvej 33, 3520 Farum, Denmark;5581356;12389474;
Faxe Fjernvarmeselskab;Knudsvej 2, 4640 Faxe, Denmark;55255159;12115666;
Feldborg Kraftvarmeværk;Møllevej 4, 7540 Haderup, Denmark;5633651;8938414;
Fensmark Fjernvarmeværk;Engvej 4, 4684 Holmegaard, Denmark;55284372;11813504;
Filskov Energiselskab;Hjortlundvej 13, 7200 Grindsted, Denmark;55804115;9029835;
Fjernvarme Fyn;Havnegade 120, 5000 Odense C, Denmark;55427821;10405212;
Fjernvarmecentralen Avedøre Holme;Nordholmen 1-3, 2650 Hvidovre, Denmark;556124132;124726509;
Fjerritslev Fjernvarme;Industrivej 27, 9690 Fjerritslev, Denmark;57082705;9259868;
Flauenskjold Varmeværk;Agertoften 12, 9330 Dronninglund, Denmark;5724799;10286404;
Føns Nærvarme;Ronæsbrovej 5C, 5580 Nørre Åby, Denmark;55428153;9826301;
Forsyning Helsingør;Haderslevvej 25, 3000 Helsingør, Denmark;56025224;12590461;
Fredericia Fjernvarme;Dalegade 38, 7000 Fredericia, Denmark;5556759;9760544;
Frederiks Varmeværk;Vestergade 5, 7470 Karup J, Denmark;56340073;9250647;
Frederiksberg Forsyning;Stæhr Johansens vej 38, 2000 Frederiksberg, Denmark;55682949;12520214;
Frifelt/Roager Kraftvarme;Voddervej 2, 6780 Skærbæk, Denmark;55221699;8833248;
Frøstrup Fjernvarmeværk;Håndværkervej 11, 7741 Frøstrup, Denmark;57091045;8981636;
Fuglebjerg Fjernvarme;Sandvedvej 31A, 4250 Fuglebjerg, Denmark;55300166;11540305;
Fur Kraftvarmeværk Amba;Vilietoften 4, 7884 Fur, Denmark;5682027;9006319;
Galten Varmeværk;Skolebakken 29, 8464 Galten, Denmark;56152152;990594;
Gassum/Hvidsten Kraftvarmeværk;Mariagervej 497 A, 8981 Spentrup, Denmark;56562098;9999961;
Gauerslund Fjernvarme;Industrivej 2C, 7080 Børkop, Denmark;55645217;9657912;
Gedsted Varmeværk;Nørrevold 2B, 9631 Gedsted, Denmark;56690392;9336499;
Gelsted Fjernvarme;Tømmervej 3, 5591 Gelsted, Denmark;55397073;9969715;
Genner-Hellevad-Hovslund;Surbækvej 10, 6230 Rødekro, Denmark;55077455;9213744;
Gentofte Gladsaxe Fjernvarme;Bernstoffsvej 159, 2920 Charlottenlund, Denmark;557537;125918;
Gilleleje Fjernvarme;Fiskerengen 2, 3250 Gilleleje, Denmark;56110365;12326442;
Give Fjernvarme;Østerhovedvej 4, 7323 Give, Denmark;55836377;925346;
Gjerlev Varmeværk;Mercurvej 12, 8983 Gjerlev J, Denmark;56591621;10135073;
Gjøl Private Kraftvarmeværk;Drøvten 40, 9440 Åbybro, Denmark;57070859;9726565;
Glamsbjerg-Haarby Varmeværk;Teglværksvej 10, 5620 Glamsbjerg, Denmark;55276879;10104626;
Glostrup Forsyning;Ørnebjergvej 7, 2600 Glostrup, Denmark;55662531;12406208;
Glyngøre Fjernvarmeværk;Durupvej 22, 7870 Roslev, Denmark;56761408;887224;
Gørding Varmeværk;Nørregade 55, 6690 Gørding, Denmark;55473527;8798912;
Græsted Fjernvarme;Mesterbuen 8, 3230 Græsted, Denmark;56057276;12296962;
Gram Fjernvarme;Sønderbyvej 24, 6510 Gram, Denmark;55280831;9046928;
