OMRÅDE,KØN,ALDER,TID,INDHOLD
København,I alt,Alder i alt,2024M01,659350
Frederiksberg,I alt,Alder i alt,2024M01,104899
Dragør,I alt,Alder i alt,2024M01,14569
Tårnby,I alt,Alder i alt,2024M01,43915
Albertslund,I alt,Alder i alt,2024M01,27677
Ballerup,I alt,Alder i alt,2024M01,51237
Brøndby,I alt,Alder i alt,2024M01,39067
Gentofte,I alt,Alder i alt,2024M01,75033
Gladsaxe,I alt,Alder i alt,2024M01,70600
Glostrup,I alt,Alder i alt,2024M01,23655
Herlev,I alt,Alder i alt,2024M01,29876
Hvidovre,I alt,Alder i alt,2024M01,53760
Høje-Taastrup,I alt,Alder i alt,2024M01,57540
Ishøj,I alt,Alder i alt,2024M01,23663
Lyngby-Taarbæk,I alt,Alder i alt,2024M01,58538
Rødovre,I alt,Alder i alt,2024M01,44328
Vallensbæk,I alt,Alder i alt,2024M01,17800
Allerød,I alt,Alder i alt,2024M01,25962
Egedal,I alt,Alder i alt,2024M01,45532
Fredensborg,I alt,Alder i alt,2024M01,42009
Frederikssund,I alt,Alder i alt,2024M01,46358
Furesø,I alt,Alder i alt,2024M01,42533
Gribskov,I alt,Alder i alt,2024M01,41920
Halsnæs,I alt,Alder i alt,2024M01,31515
Helsingør,I alt,Alder i alt,2024M01,63838
Hillerød,I alt,Alder i alt,2024M01,54422
Hørsholm,I alt,Alder i alt,2024M01,24811
Rudersdal,I alt,Alder i alt,2024M01,57237
Bornholm,I alt,Alder i alt,2024M01,39332
Christiansø,I alt,Alder i alt,2024M01,91
Greve,I alt,Alder i alt,2024M01,52157
Køge,I alt,Alder i alt,2024M01,62848
Lejre,I alt,Alder i alt,2024M01,29347
Roskilde,I alt,Alder i alt,2024M01,90931
Solrød,I alt,Alder i alt,2024M01,24579
Faxe,I alt,Alder i alt,2024M01,37753
Guldborgsund,I alt,Alder i alt,2024M01,59759
Holbæk,I alt,Alder i alt,2024M01,74129
Kalundborg,I alt,Alder i alt,2024M01,48309
Lolland,I alt,Alder i alt,2024M01,39632
Næstved,I alt,Alder i alt,2024M01,84747
Odsherred,I alt,Alder i alt,2024M01,32605
Ringsted,I alt,Alder i alt,2024M01,36356
Slagelse,I alt,Alder i alt,2024M01,79923
Sorø,I alt,Alder i alt,2024M01,30478
Stevns,I alt,Alder i alt,2024M01,23649
Vordingborg,I alt,Alder i alt,2024M01,45751
Assens,I alt,Alder i alt,2024M01,40646
Faaborg-Midtfyn,I alt,Alder i alt,2024M01,52291
Kerteminde,I alt,Alder i alt,2024M01,23894
Langeland,I alt,Alder i alt,2024M01,12260
Middelfart,I alt,Alder i alt,2024M01,40158
Nordfyns,I alt,Alder i alt,2024M01,29610
Nyborg,I alt,Alder i alt,2024M01,32193
Odense,I alt,Alder i alt,2024M01,209078
Svendborg,I alt,Alder i alt,2024M01,59727
Ærø,I alt,Alder i alt,2024M01,5960
Billund,I alt,Alder i alt,2024M01,27119
Esbjerg,I alt,Alder i alt,2024M01,115423
Fanø,I alt,Alder i alt,2024M01,3357
Fredericia,I alt,Alder i alt,2024M01,52485
Haderslev,I alt,Alder i alt,2024M01,55438
Kolding,I alt,Alder i alt,2024M01,94932
Sønderborg,I alt,Alder i alt,2024M01,74233
Tønder,I alt,Alder i alt,2024M01,36651
Varde,I alt,Alder i alt,2024M01,49798
Vejen,I alt,Alder i alt,2024M01,42800
Vejle,I alt,Alder i alt,2024M01,121696
Aabenraa,I alt,Alder i alt,2024M01,58657
Favrskov,I alt,Alder i alt,2024M01,49377
Hedensted,I alt,Alder i alt,2024M01,47725
Horsens,I alt,Alder i alt,2024M01,97392
Norddjurs,I alt,Alder i alt,2024M01,36773
Odder,I alt,Alder i alt,2024M01,23896
Randers,I alt,Alder i alt,2024M01,99974
Samsø,I alt,Alder i alt,2024M01,3694
Silkeborg,I alt,Alder i alt,2024M01,100747
Skanderborg,I alt,Alder i alt,2024M01,65205
Syddjurs,I alt,Alder i alt,2024M01,44076
Aarhus,I alt,Alder i alt,2024M01,367095
Herning,I alt,Alder i alt,2024M01,89848
Holstebro,I alt,Alder i alt,2024M01,59016
Ikast-Brande,I alt,Alder i alt,2024M01,42737
Lemvig,I alt,Alder i alt,2024M01,19110
Ringkøbing-Skjern,I alt,Alder i alt,2024M01,56218
Skive,I alt,Alder i alt,2024M01,44739
Struer,I alt,Alder i alt,2024M01,20594
Viborg,I alt,Alder i alt,2024M01,97472
Brønderslev,I alt,Alder i alt,2024M01,36614
Frederikshavn,I alt,Alder i alt,2024M01,58376
Hjørring,I alt,Alder i alt,2024M01,63544
Jammerbugt,I alt,Alder i alt,2024M01,38234
Læsø,I alt,Alder i alt,2024M01,1759
Mariagerfjord,I alt,Alder i alt,2024M01,41762
Morsø,I alt,Alder i alt,2024M01,19734
Rebild,I alt,Alder i alt,2024M01,30937
Thisted,I alt,Alder i alt,2024M01,42989
Vesthimmerlands,I alt,Alder i alt,2024M01,36012
Aalborg,I alt,Alder i alt,2024M01,223174
