Company;PNummer
Jyderup Varme A/S;
Aars Fjernvarmeforsyning Amba;
Oue Kraftvarmeværk**;
Grindsted, Gev Varme A/S ;
TRE-FOR Varme, Kolding A/S;
Halvrimmen-Arentsminde Kraftv.værk Amba;
Faaborg, FFV Varme A/S ;
St. Merløse Varme A/S;
Middelfart Fjernvarme**;
Hjallerup Fjernvarme A.m.b.a.;
Mejlby Fjernvarmeværk AMBA;
Gylling-Ørting-Falling Kraftvarmeværk;1003449273
Horbelev Varmeværk;1000077067
Hovedgård Fjernvarmeværk amba;
SK Forsyning (Slagelse og Korsør);
Østerlund Varme A/S;1014923752
Holme Lundshøj Fjernvame A.m.b.a. ;
Rødovre kommunes Varmeforsyning;
Ans Kraftvarmeværk;1002907871
Genner-Hellevad-Hovslund Forenede Kraftvarmeværker;
Glamsbjerg Fjernvarme A.m.b.a.;
Nykøbing Mors Fjernvarmeværk Amba;
Stenløse Syd, Lærkeskolen, Stengårdsskolen, Toftehøjskolen;
REFA Kettinge Forsyning ApS;
REFA Horbelev Fjernvarme A/S;
Tranum Kraftvarmeværk ***;
Eniig Varme A/S;
Slagslunde;1001956825
Jerslev Kraftvarmeværk;
Tårnby Forsyning;1029482833
SK Forsyning Varme A/S;
Ryomgaard Fjernvarmeværk;
Sdr. Felding Varmeværk;
Solrød Fjernvarmeværk Amba;
Aarhus, AffaldVarme Aarhus (distribution) ;
Flauenskjold Varmeværk A.m.b.a;1001519542
Fuglebjerg Fjernvarme;
Skovlund Kraftvarme;
Taars Varmeværk Amba;
Helsingør, Forsyning Helsingør Varme  ;
Havnbjerg Varmecentral;
Præstbro Kraftvarmeværk A.m.b.a.;
Nordby Varmeværk Amba;
Nyborg og Ullerslev Fjernvarmeforsyning;
Thorsminde Fjernvarme A.m.b.a.;
Ådum Kraftvarmeværk;1003467062
Grenaa Varmeværk;
Oksbøl Varmeværk;1000445617
Stokkemarke Fjernvarme;
Farsø Fjernvarmeværk;
Odsherred Varme A/S;1017380741
Ikast Værkerne Varme A/S;
Vestforbrænding Glostrup I/S ;1003387416
Ejsing Fjernvarmeforsyning A.m.b.a.;
Østerlund Varme A/S **;
Aabybro Fjernvarmeværk;
Kerteminde Varmeforsyning;
Gladsaxe Kommune, Fjernvarmeforsyningen;
Odsherred (trundholm) - SEAS-NVE KV-NET A/S;
Nordborg Varmecentral;
Vallensbæk Fjernvarmeværk A.m.b.a.;
Engholm Varmecentral**;
Langesø Varmecentral;1001842865
Nørre Alslev Fjernvarmeværk;1011034191
Hyllinge-Menstrup Kraftvarme Amba;
Slagslunde ;1001956825
Nykøbing Sj. Varmeværk;
Maglevad;
Ravnkilde Kraftvarmeværk A.m.b.a.*;
Ramme Varmeværk ;1001630206
Randers, Verdo Varme A/S (Energi Randers Varme) ;
Gjerlev Varmeværk;1000753087
Viborg Fjernvarme;1001754816
Mariager Fjernvarmeværk Amba;
Rødding Varmecentral ;
Sunds Vand og Varmeværk;
Pindstrup Varmeværk A.m.b.a. ;
Fyn, Fjernvarme Fyn A/S**;
Tranum Kraftvarmeværk;
Vejlby Fjernvarmecentral;
Næstved Varmeværk;
Snertinge, Særslev, Føllenslev - SSF Energiselskab ;
Ejby Fjernvarme A.m.b.a.;1029334184
NORFORS Nivå Fjernvarme;
Nr. Ørslev Halmvarmeværk*;
Gelsted Fjernvarmeselskab;
NRGi Lokalvarme A/S;
Øster Toreby Varmeværk Amba;
Mølholm Varmeværk (Andelsselskabet) ;1001852238
Skjern Fjernvarmecentral A.m.b.a. ;1003086480
Roskilde Varme A/S;1015965963
NORFORS Fjernvarme;
Ørnhøj Grønbjerg Kraftvarmeværk A.m.b.a.;1000902719
