PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring_SidenDecember2016;ProcentvisPrisaendring_SidenDecember2016;NominelPrisaendring_SidenJanuar2019;ProcentvisPrisaendring_SidenJanuar2019;Bemærkninger
1001516452;Agersted Varmeværk;9330;775;14125;17903;7828.0;77,70%;8122.0;83,00%;
1003267160;Albertslund Varmeværk;2620;525;9768;12574;-576.0;-4,40%;-3416.0;-21,40%;
1001414567;Allingåbro Varmeværk;8961;475;10750;13910;679.0;5,10%;679.0;5,10%;
1000214727;Als Fjernvarme a.m.b.a.;9560;425;9350;11755;-13.0;-0,10%;0.0;0,00%;
1002907871;Ans Kraftvarmeværk;8643;763;13881;17223;6222.0;56,60%;407.0;2,40%;
1002158896;Ansager Varmeværk;6823;400;12075;17240;1424.0;9,00%;1424.0;9,00%;
1002330178;Arden Varmeværk;9510;475;9650;12473;3365.0;36,90%;0.0;0,00%;
1001620419;Assens Fjernvarme Amba - Jylland;9550;463;11406;14809;-679.0;-4,40%;-226.0;-1,50%;
1001620419;Assens Fjernvarme Distribution A/S;5610;431;7980;10349;854.0;9,00%;368.0;3,70%;
1001352177;Astrup Kraftvarmeværk;9510;520;15144;16756;5037.0;43,00%;1923.0;13,00%;
1002016230;Asaa Fjernvarme;9340;469;10719;13959;7375.0;112,00%;1053.0;8,20%;
1002096146;Augustenborg Fjernvarme;6440;531;11344;14366;1456.0;11,30%;325.0;2,30%;
1001775537;Aulum Fjernvarme A.m.b.a.;7490;463;10650;14696;5953.0;68,10%;-679.0;-4,40%;
1001583674;Auning Varmeværk;8963;525;10531;13740;1358.0;11,00%;0.0;0,00%;
1000707406;Avedøre Fjernvarme A.m.b.a. ;2650;369;11406;13593;-6.0;0,00%;320.0;2,40%;
1010705653;Ballen/Brundby Varmeværk;8305;713;15963;18171;-730.0;-3,90%;0.0;0,00%;
1001609247;Balling-Rødding Varmeværk A.m.b.a.**;7860;585;10925;14114;362.0;2,60%;0.0;0,00%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1001507375;Bedsted Fjernvarme;7755;625;13609;15994;2345.0;17,20%;1393.0;9,50%;
1001753730;Billund Varmeværk ;7190;525;9500;11953;91.0;0,80%;1539.0;14,80%;
1001785816;Bindslev Fjernvarme;9881;545;11690;15098;8775.0;138,80%;5679.0;60,30%;
1001207403;Blenstrup Kraftvarmeværk A.m.b.a.;9520;550;15188;16893;-370.0;-2,10%;988.0;6,20%;
1003733569;Blåhøj Energiselskab Amba;7330;375;7344;8850;-3828.0;-30,20%;3394.0;62,20%;
1002196453;Bogense Forsyningsselskab;5400;338;7344;9421;-679.0;-6,70%;0.0;0,00%;
1014542643;Bornholms Varme A/S**;3700;700;15331;19083;-200.0;-1,00%;-200.0;-1,00%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000825228;Borup Varmeværk Amba;4140;506;9848;13071;519.0;4,10%;520.0;4,10%;
1003512223;Boulstrup-Hou Kraftvarmeværk A.m.b.a. ;8300;725;15375;17623;2263.0;14,70%;3394.0;23,90%;
1002170663;Bramming Fjernvarme A.m.b.a.;6740;425;8906;12080;3179.0;35,70%;-1876.0;-13,40%;
1002075632;Brande Fjernvarme Amba;7330;388;9438;12701;2176.0;20,70%;586.0;4,80%;
1001553293;Bredebro Varmeværk;6261;488;9719;12674;2941.0;30,20%;1697.0;15,50%;
1001727276;Bredsten-Balle Kraftvarmeværk A.m.b.a. ***;7182;800;14411;18266;1471.0;8,80%;2149.0;13,30%;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype. 
1002097051;Broager Fjernvarmeselskab;6310;531;12125;15603;0.0;0,00%;0.0;0,00%;
1001759685;Brovst Fjernvarme;9460;500;10625;13550;453.0;3,50%;0.0;0,00%;
1002194760;Brædstrup Fjernvarme a.m.b.a.;8740;300;6775;8970;-546.0;-5,70%;-3939.0;-30,50%;
1003039566;Brøndby Fjernvarme A.m.b.a. ;2605;445;8779;11373;-1189.0;-9,50%;-308.0;-2,60%;
1016879652;Brønderslev Varme;9700;560;10475;13146;-1340.0;-9,20%;0.0;0,00%;
1003817963;Brøns Kraftvarme A.m.b.a.;6780;575;14100;16483;-2210.0;-11,80%;996.0;6,40%;
1000584343;Brørup Fjernvarme;6650;350;7813;10410;-1131.0;-9,80%;-905.0;-8,00%;
1001479025;Bækmarksbro Varmeværk A.m.b.a.;7660;613;12988;15686;226.0;1,50%;226.0;1,50%;
1002074934;Bælum Varmeværk;9574;563;13313;15056;-420.0;-2,70%;938.0;6,60%;
1001503587;Bøvling Varmeværk;7650;525;9875;11503;6.0;0,00%;-1197.0;-9,40%;
1002166965;Christiansfeld Fjernvarmeselskab A.m.b.A.;6070;563;11406;14869;3754.0;33,80%;-2263.0;-13,20%;
1015733949;Din Forsyning Varme (Esbjerg) **;6715;491;9370;11587;577.0;5,20%;1076.0;10,20%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1015733949;DIN Forsyning Varme (Varde)**;6715;555;10591;13097;-976.0;-6,90%;-558.0;-4,10%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1000353842;Dronninglund Fjernvarme;9330;691;12525;15974;3406.0;27,10%;-434.0;-2,60%;
1001773686;Durup Fjernvarme;7870;525;11416;15456;1084.0;7,50%;1084.0;7,50%;
1001803425;Dybvad Varmeværk Amba;9352;513;11563;14526;-1810.0;-11,10%;0.0;0,00%;
1025580230;E.ON Produktion Danmark A/S**;2000;600;14598;17615;-1057.0;-5,70%;95.0;0,50%;** Forsyningen er en fusion af to eller flere forsyninger eller har prisharmoniseret. Der er for december 2016 og evt. januar 2019 benyttet en med det budgetterede varmesalg vægtet gennemsnitspris for at beregne prisændringerne i forhold til priserne før fusionen.
1003010765;Ebeltoft Fjernvarmeværk;8400;386;8434;10697;-166.0;-1,50%;0.0;0,00%;
