PNummer;Fjernvarmeforsyning;Postnr.;MWhPrisInklMoms;SamletForbugerprisBeboelseslejlighedInklMoms;SamletForbugerprisEnfamilieshusInklMoms;NominelPrisaendring36Mdr;ProcentvisPrisaendring36Mdr;NominelPrisaendring12Mdr;ProcentvisPrisaendring12Mdr;Bemaerkninger
1001516452;Agersted Varmeværk;9330;690;12.850;16.364;6.584;67%;2.398;17,17%;
1003267160;Albertslund Varmeværk;2620;615;10.882;13.804;-2.186;-14%;-1.371;-9,04%;
1001414567;Allingåbro Varmeværk A M B A;8961;475;11.338;14.498;1.266;10%;213;1,49%;
1000214727;Als Fjernvarme a.m.b.a.;9560;438;9.788;12.231;476;4%;476;4,05%;
1001852238;ANDELSSELSKABET MØLHOLM VARMEVÆRK;7100;550;10.375;13.180;0;0%;0;0,00%;
1000445617;ANDELSSELSKABET OKSBØL VARMEVÆRK;6840;713;14.012;17.785;3.281;23%;4.525;34,13%;
1002907871;ANS FJERNVARMEVÆRK A M B A;8643;1.046;17.921;22.358;5.543;33%;8.077;56,56%;
1002158896;ANSAGER VARMEVÆRK;6823;375;11.225;15.975;159;1%;-813;-4,84%;
1002330178;Arden Varmeværk;9510;775;14.850;19.068;6.595;53%;7.048;58,63%;
1024700972;Assens Fjernvarme (Fyn) Distribution A/S;5610;383;7.249;9.496;-490;-5%;-1.263;-11,74%;
1001620419;Assens Fjernvarme Amba - Jylland;9550;463;11.406;14.809;-226;-2%;0;0,00%;
1001352177;ASTRUP KRAFTVARMEVÆRK A.M.B.A.;9510;500;13.156;14.706;-126;-1%;-2.050;-12,23%;
1002016230;Asaa Fjernvarme;9340;406;9.156;11.928;-978;-8%;-457;-3,69%;
1001775537;AULUM FJERNVARME AMBA;7490;438;10.616;14.825;-550;-4%;1.260;9,29%;
1001583674;Auning Varmeværk A M B A;8963;475;9.781;12.835;-905;-7%;-3.578;-21,80%;
1000707406;Avedøre Fjernvarme AMBA;2650;370;11.364;13.544;271;2%;-428;-3,06%;
1010705653;Ballen/Brundby Varmeværk;8305;713;15.963;18.171;0;0%;0;0,00%;
1001609247;Balling-Rødding Varmeværk A.m.b.a.;7860;578;11.225;14.528;414;3%;450;3,20%;
1001507375;Bedsted Fjernvarme;7755;600;13.234;15.541;940;6%;0;0,00%;
1001753730;Billund Varmeværk A.m.b.a.;7190;530;9.650;12.173;1.759;17%;402;3,41%;
1001785816;BINDSLEV FJERNVARME A M B A;9881;400;9.515;12.474;3.054;32%;-226;-1,78%;
1001207403;BLENSTRUP KRAFTVARMEVÆRK A.M.B.A.;9520;575;15.575;17.358;1.453;9%;-566;-3,16%;
1003733569;Blåhøj Energiselskab Amba;7330;438;8.781;10.481;5.025;92%;500;5,01%;
1002196453;Bogense Forsyningsselskab;5400;375;7.906;10.100;679;7%;679;7,20%;
1011404398;Boligselskabet Viborg - Houlkær Varmecentral***;8800;1.095;17.180;0;;;;;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype.
1002027401;Boligselskabet Viborg - Vestervang Varmecentral***;8800;1.094;17.089;0;;;;;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype.
1014542643;BORNHOLMS VARME A/S;3700;700;15.331;19.083;-200;-1%;0;0,00%;
1000825228;BORUP VARMEVÆRK A M B A;4140;461;9.463;12.542;-9;0%;-482;-3,70%;
1003512223;BOULSTRUP-HOU KRAFTVARMEVÆRK AMBA;8300;663;14.438;16.491;2.263;16%;-1.131;-6,42%;
1002170663;Bramming Fjernvarme A.m.b.a.;6740;600;11.784;15.686;1.730;12%;4.285;37,58%;
1002075632;Brande Fjernvarme Amba;7330;656;12.531;15.941;3.826;32%;3.239;25,50%;
1001553293;BREDEBRO VARMEVÆRK A M B A;6261;406;8.500;11.203;226;2%;-566;-4,81%;
1001727276;Bredsten-Balle Kraftvarmeværk A.m.b.a.;7182;656;12.255;15.664;-453;-3%;-1.471;-8,58%;
1002097051;Broager Fjernvarmeselskab;6310;575;12.500;15.945;342;2%;1.471;10,16%;
1001759685;BROVST FJERNVARME ANDELSSELSKAB;9460;500;10.625;13.550;0;0%;0;0,00%;
1002194760;BRÆDSTRUP FJERNVARME A M B A;8740;344;8.000;10.647;-2.263;-18%;1.131;11,89%;
1003039566;Brøndby Fjernvarme AMBA;2605;410;8.254;10.740;-941;-8%;-634;-5,57%;
1016879652;Brønderslev Varme A/S;9700;538;10.138;12.739;-407;-3%;-181;-1,40%;
1003817963;Brøns Kraftvarme A.m.b.a.;6780;500;12.225;15.225;-262;-2%;-1.258;-7,63%;
1000584343;BRØRUP FJERNVARME A M B A;6650;350;7.813;10.410;-905;-8%;679;6,97%;
1001479025;Bækmarksbro Varmeværk A.m.b.a.;7660;563;12.238;14.781;-679;-4%;-453;-2,97%;
1002074934;BÆLUM VARMEVÆRK AMBA;9574;875;18.000;20.713;6.594;47%;6.788;48,74%;
1001503587;Bøvling Varmeværk;7650;475;9.594;11.960;-739;-6%;-1.633;-12,01%;
1002166965;Christiansfeld Fjernvarmeselskab A.m.b.A.;6070;619;12.250;15.887;-1.244;-7%;2.489;18,58%;
1015733949;DIN Forsyning Varme A/S;6715;548;10.377;12.824;-831;-6%;-80;-0,62%;
1015733949;DIN Forsyning Varme A/S;6715;525;9.949;12.296;1.784;17%;419;3,53%;
1000353842;Dronninglund Fjernvarme;9330;813;14.344;18.169;1.761;11%;4.525;33,17%;
1001773686;Durup Fjernvarme;7870;1.045;19.590;25.243;10.871;76%;10.262;68,50%;
1001803425;Dybvad Varmeværk Amba;9352;625;13.250;16.563;2.036;14%;1.584;10,57%;
1025580230;E.ON Produktion Danmark A/S - samtlige prod.enheder;2000;659;16.532;19.948;2.428;14%;2.353;13,37%;
2468246825;E.ON Varme - Distribution;2000;674;12.872;16.154;-225;-1%;1.099;7,30%;
1003010765;EBELTOFT FJERNVARMEVÆRK;8400;386;8.341;10.535;-163;-2%;0;0,00%;
1021885025;Egebjerg Nærvarme A.M.B.A.;4500;643;13.138;16.779;0;0%;0;0,00%;
1000827232;Egtved Varmeværk;6040;531;10.750;13.978;-3.032;-18%;-2.149;-13,33%;
1001365764;Ejsing Fjernvarme a.m.b.a.;7830;800;17.250;20.480;1.131;6%;0;0,00%;
1001347598;Ejstrupholm Varmeværk A. m. b. a.;7361;650;14.250;16.265;1.018;7%;2.489;18,07%;
1027307554;Ellehavegaard A/S***;4800;450;0;13.945;-664;-5%;0;0,00%;*** Nogle fjernvarmeforsyninger indberetter ikke priser for standardlejligheder eller standardhuse, hvorfor nogle felter er tomme. Dette skyldes, at Forsyningstilsynet kun modtager indberetninger for de aftagerkategorier, som findes i forsyningernes kundegrundlag, og at flere forsyninger ikke har kunder med disse forhold. Gennemsnitlig, vægtet gennemsnitlig og median varmepris for standardlejligheder og standardhuse er alene beregnet for de varmeforsyninger, der har indberettet priser for denne boligtype.
1015472304;Energi Ikast Varme A/S - Bording Kraftvarmeværk;7430;394;8.656;11.252;-759;-6%;0;0,00%;
