fv_net_navn,aar,vaerk_navn,vaerk_kommune,vrktypenavn,kvoteaktivitet,DB07,NR117,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ,match_type,idriftdato
,2021,,779,Erhvervsværk,0.0,0.0,0.0,14.76,4.9399999999999995,7.62,80.8174308,58.769999999999996,57.8664,9.5004,9.5004,3.8552132512,3.1447867488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1645308,0.0,0.0,53.6529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1995-01-01
0,2021,Næstved Fjernvarme Vestergårdsvej,370,Fjernvarmeværk,0.0,353000.0,350030.0,1.2,0.0,1.09,1.21212,1.21212,1.21212,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,2021-10-01
Aabenrå - Rødekro - Hjordkær Fjernvarme,2021,Hjordkær Fjernvarmeværk,580,Decentralt værk,1.0,4236000.0,4200360.0,102.45,0.6,99.1,1081.38365515,1134.7895520000002,1134.7895520000002,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03490425,0.0,0.0,0.0,0.0,0.0,249.197,750.9119,77.061,3.8234,0.3554509,0.0,0.0,0.0,0.0,0.0,net,1993-01-01
Aabybro Fjernvarme,2021,Aabybro Fjernvarmeværk,849,Fjernvarmeværk,0.0,1412000.0,1400120.0,35.0,0.0,35.0,208.5070948,215.5428,215.5428,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.071294800000001,0.0,0.0,0.0,155.635,0.0,0.0,0.0,0.0,47.8008,0.0,0.0,0.0,net,1986-01-01
Aakirkeby og Lobbæk Fjernvarme,2021,Lobbæk Varmeværk,400,Fjernvarmeværk,0.0,1761200.0,1750110.0,19.792,2.968,18.752,228.437074,147.2328,123.2928,59.1948,59.1948,3.5082183494,1.4917816506,0.0,0.0,0.0,0.0,1.693064,0.0,0.0,0.0,0.0,149.109138,0.0,72.507372,0.0,5.1275,0.0,0.0,0.0,0.0,0.0,0.0,net,1985-01-01
Aalborg Fjernvarme,2021,Aalborg Portland A/S,851,Erhvervsværk,45.0,13980140.0,13888690.0,1777.9199999999998,412.66499999999996,1135.939,18617.5772070706,7096.48559,7055.11399,6411.091212,5880.387744,34.1996967196,5.3662479758,0.4340553046,13986.7491302,23.729844,0.0,49.7750164706,0.0,0.0,225.9765944,2156.37284,49.144352999999995,0.0,18.421347,184.91341599999998,0.0,7.7518,1688.601,0.0,0.0,226.141866,0.0,net,1982-10-01
Aalestrup Fjernvarme (inkl. Hvam fra 2019),2021,Nørager Varmeværk,840,Decentralt værk,0.0,3173200.0,3150230.0,59.635999999999996,3.1310000000000002,55.953,202.8017474,195.66719999999998,195.66719999999998,2.106,2.106,6.7286640698,2.2713359302000002,0.0,0.0,0.0,0.0,0.233155,0.0,0.0,8.8572924,0.0,0.0,0.0,0.0,158.3125,0.0,0.0,0.0,35.3988,0.0,0.0,0.0,net,1988-01-01
Aars Fjernvarme,2021,Aars Fjernvarme Dybvad Mølle Vej,820,Decentralt værk,3.0,4589000.0,4550390.0,74.4,7.45,61.81,598.5129584,516.613104,516.613104,50.334516,38.872116,8.8203697301,4.1796302699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6722584,418.4562,0.0,0.7975,0.0,146.7207,19.2535,0.0,0.0,0.0,0.0,1.6128,0.0,net,1955-09-01
Agersted Fjernvarme,2021,Agersted Varmeværk,810,Decentralt værk,0.0,810100.0,800110.0,6.4,1.41,4.96,27.7343352,25.249464,25.249464,1.48158,1.48158,2.1944884106,0.8055115894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5087352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2256,0.0,0.0,0.0,0.0,net,1988-01-01
Allingåbro Fjernvarme,2021,Allingåbro Varmeværk,707,Fjernvarmeværk,0.0,706000.0,700060.0,10.485,0.0,11.5,55.793002,65.8044,65.8044,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.697291,0.0,0.0,0.0,0.0,0.0,0.0,55.09571100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,2002-10-01
Als Fjernvarme,2021,Als Fjernvarme Rørsangervej 26,846,Fjernvarmeværk,0.0,706000.0,700060.0,7.5,0.0,7.15,48.1964,46.3932,46.3932,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.893,0.0,21.199,0.0,0.0,0.0,9.1044,0.0,0.0,0.0,net,2003-10-01
Ans Fjernvarme,2021,Ans Kraftvarmeværk,740,Decentralt værk,0.0,706000.0,700060.0,9.8,2.5,7.3,89.079804,50.97600000000001,49.9968,33.4008,32.6412,1.2663527506999999,0.7336472493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.07980400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1987-10-01
Ansager Fjernvarme,2021,Ansager Varmeværk,573,Fjernvarmeværk,0.0,1059000.0,1050090.0,12.0,0.0,12.0,52.027783,53.877959999999995,53.877959999999995,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.032283,0.0,0.0,0.0,0.0,0.0,0.0,50.928,0.0,1.0675,0.0,0.0,0.0,0.0,0.0,0.0,net,1995-05-01
Arden Fjernvarme,2021,Arden Varmeværk,846,Decentralt værk,14.0,945990.0,930080.0,12.370000000000001,2.76,9.61,108.4121244,86.340852,86.340852,15.584562,15.584562,2.2636464232,0.7363535768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5417244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8704,0.0,0.0,0.0,0.0,net,1998-01-05
Arnborg Fjernvarme,2021,Verdo Varme Herning Arnborg Varmecentral,657,Decentralt værk,0.0,706000.0,700060.0,2.75,0.0,2.95,27.7697752,24.150636,24.150636,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4648752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3049,0.0,0.0,0.0,0.0,0.0,0.0,net,1964-01-01
Assens (v. Mariager) Fjernvarme,2021,Assens Fjernvarme (Mariagerfjord),846,Fjernvarmeværk,0.0,706000.0,700060.0,11.8,0.0,11.8,80.71148,79.2324,79.2324,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14348,0.0,0.0,0.0,0.0,0.0,0.0,80.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1994-11-01
Assens Fjernvarme,2021,Assens Fjernvarme Stejlebjergvej,420,Decentralt værk,9.0,4571900.0,4550210.0,104.9,20.7,72.3,440.2997615,349.3012320000001,344.13073199999997,70.60564799999999,67.59388799999999,5.8755267586999995,7.1244732413000005,0.0,0.0,0.0,0.0,3.7208014999999994,0.0,0.0,0.0,0.0,0.0,0.0,378.47238,0.0,32.49006,0.0,0.0,0.0,0.0,10.568268,15.048252,net,1961-01-01
Astrup Fjernvarme,2021,Astrup Kraftvarmeværk,846,Decentralt værk,0.0,1404400.0,1400040.0,5.0565999999999995,1.0,4.13,19.601908,17.729244,17.729244,0.31896,0.31896,3.2483755146,0.7516244854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.181664,0.0,0.0,0.0,0.0,0.0,13.93,0.0,0.0,0.0,0.0,1.479528,3.010716,net,1994-11-01
Aså Fjernvarme,2021,Asaa Fjernvarme,810,Decentralt værk,0.0,1765000.0,1750150.0,16.34,2.92,14.55,41.499856799999996,53.1072,51.0444,7.750800000000001,7.750800000000001,3.4880883514,1.5119116486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9050568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.866800000000001,0.0,10.728,0.0,net,1988-01-01
Augustenborg Fjernvarme,2021,Augustenborg Fjernvarme Møllegade,540,Decentralt værk,0.0,1412000.0,1400120.0,36.5,3.8,30.3,116.97735012,112.10940000000001,112.10940000000001,0.62676,0.62676,3.2115123264,0.7884876736,0.0,0.0,0.0,0.0,8.533473,0.0,0.0,59.99507712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.44880000000001,0.0,net,1984-10-01
Aulum Fjernvarme,2021,Aulum Fjernvarme A.m.b.a. (Kulvej 5),657,Decentralt værk,5.0,1765000.0,1750150.0,44.64,5.1,41.75,147.6879228,124.51068,124.51068,20.604456,20.4624,4.2496066188,0.7503933812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.01273880000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5296,0.0,40.150872,31.99471200000001,net,2006-02-01
Auning Fjernvarme,2021,Auning Varmeværk,707,Fjernvarmeværk,0.0,353000.0,350030.0,12.0,0.0,12.0,161.646,147.5136,145.6776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1992-01-01
Balle Hoed og Glatved,2021,Balle Varmeværk,706,Fjernvarmeværk,0.0,1412000.0,1400120.0,3.5,0.0,4.050000000000001,26.121819199999997,20.91348,20.88,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1492192,0.0,0.0,0.0,0.0,6.1042,0.0,13.7016,0.0,0.0,0.0,0.0,0.0,0.0,2.466,3.7008,net,1998-04-01
Ballen-Brundby-Kolby-Permelill,2021,Ballen-Brundby Fjernvarme,741,Fjernvarmeværk,0.0,353000.0,350030.0,3.8,0.0,3.6,25.3406921,22.7628,22.7628,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6036920999999998,0.0,0.0,0.0,0.0,0.0,24.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,2004-04-01
Balling-Rødding Fjernvarmenet,2021,Industrivej 17,779,Fjernvarmeværk,0.0,1059000.0,1050090.0,20.61,0.0,21.456,82.32605889999999,89.55864000000001,89.55864000000001,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.79208,0.0,0.0,0.0,0.0,0.0,0.0,62.10557889999999,0.0,0.0,0.0,0.0,18.4284,0.0,0.0,0.0,net,2019-06-20
Bedsted Fjernvarme,2021,Bedsted Fjernvarme,787,Fjernvarmeværk,0.0,353000.0,350030.0,6.0,0.0,5.5,49.16821,40.293,40.293,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.16571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0025,0.0,0.0,0.0,0.0,0.0,0.0,net,1963-01-01
Billund Fjernvarme,2021,Billund Varmeværk I,530,Decentralt værk,2.0,3530000.0,3500300.0,70.9,2.2,65.9,385.3744464,370.9044,370.9044,1.998,1.998,8.5279279893,1.4720720106999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2464464,0.0,0.0,212.5845,95.2599,0.0,0.0,0.0,0.0,0.0,0.0,53.2836,0.0,net,1984-01-01
Bjerringbro Fjernvarme,2021,Bjerringbro Varmeværk,791,Fjernvarmeværk,6.0,5295000.0,5250450.0,63.315,16.16,56.379999999999995,532.97183376,379.459332,379.459332,134.87796,134.87796,11.3530320278,3.6469679722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.12528176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.94332,0.0,0.0,47.080619999999996,33.822612,net,1987-01-01
Blenstrup Fjernvarme,2021,Blenstrup Kraftvarmeværk A.m.b.a.,840,Decentralt værk,0.0,706000.0,700060.0,4.5,0.8,3.4000000000000004,0.5849742,0.4068,0.4068,0.07457760000000001,0.07457760000000001,1.243320279,0.756679721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5849742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1992-10-01
Blokvarme mv,2021,Fællinggaard Varmeforsyning Aps,430,Decentralt værk,6.0,5155500.0,5120332.0,64.059,14.141,47.19,278.48368977,181.325286,138.694086,64.4389956,64.4389956,11.8153816176,8.0008874878,0.1837308946,48.6275,0.0,0.0,7.0395233699999995,0.0,0.0,76.6972404,0.0,138.114326,0.0,0.0,0.0,4.7075,0.0,0.0,0.0,0.0,1.2672,2.0304,net,1984-01-01
Blåhøj,2021,Blåhøj Energiselskab Amba,756,Decentralt værk,0.0,1412000.0,1400120.0,6.6000000000000005,1.802,4.15,119.67859899999999,42.1164,18.5868,43.524,43.524,2.3293636969000002,1.6706363031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.167599,0.0,2.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1995-01-01
Bogense Fjernvarme,2021,Bogense Forsyningsselskab,480,Decentralt værk,3.0,1059000.0,1050090.0,30.5,0.0,31.1,149.22867280000003,153.6948,153.6948,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4891768,0.0,0.0,0.0,49.45745399999999,64.515166,0.0,0.0,0.0,0.0,0.0,32.766876,0.0,net,1986-01-01
Borup Fjernvarme,2021,Halmvarmeværket Borup,259,Fjernvarmeværk,0.0,353000.0,350030.0,7.5,0.0,7.5,133.1245,122.0292,122.0292,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,net,1964-01-01
