fv_net_navn,forsyid,aar,vaerk_kommune,kvoteaktivitet,DB07,NR117,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ,vaerk_id,vrkanl_ny,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,fv_net,selskab_id,cvr,selskab_navn,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,aktoer,idriftdato,skrotdato
Aabybro Fjernvarme,17779710,2021,849,0.0,353000.0,350030.0,35.0,0.0,35.0,208.5070948,215.5428,215.5428,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.071294800000001,0.0,0.0,0.0,155.635,0.0,0.0,0.0,0.0,47.8008,0.0,0.0,0.0,6,6-10,Aabybro Fjernvarmeværk,9440,Aabybro,329,6,17779710,AABYBRO FJERNVARME,FJ,Fjernvarmeværk,Biomasse kedel,Kedel,fvv,1986-01-01,00:00:00
Aabybro Fjernvarme,17779710,2022,849,0.0,353000.0,350030.0,35.0,0.0,35.0,204.0182,212.3568,212.3568,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.957,0.0,0.0,0.0,0.0,54.06120000000001,0.0,0.0,0.0,6,6-10,Aabybro Fjernvarmeværk,9440,Aabybro,329,6,17779710,AABYBRO FJERNVARME,FJ,Fjernvarmeværk,Biomasse kedel,Kedel,fvv,1986-01-01,00:00:00
Aabybro Fjernvarme,17779710,2023,849,,353000.0,350030.0,35.0,0.0,35.0,233.0006984,234.8532,234.8532,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8672984,0.0,0.0,0.0,183.149,0.0,0.0,0.0,0.0,47.9844,0.0,0.0,0.0,6,6-10,Aabybro Fjernvarmeværk,9440,Aabybro,329,6,17779710,AABYBRO FJERNVARME,FJ,Fjernvarmeværk,Biomasse kedel,Kedel,fvv,1986-01-01,00:00:00
Aakirkeby og Lobbæk Fjernvarme,31582148,2021,400,0.0,353000.0,350030.0,20.792,2.968,19.752,228.437074,147.2328,123.2928,59.1948,59.1948,0.7513697249,0.2486302751,0.0,0.0,0.0,0.0,1.693064,0.0,0.0,0.0,0.0,149.109138,0.0,72.507372,0.0,5.1275,0.0,0.0,0.0,0.0,0.0,0.0,342,342-3,Lobbæk Varmeværk,3720,Aakirkeby,69,2019,31582148,BORNHOLMS VARME A/S,FJ,Fjernvarmeværk,træpille,Kedel,fvv,1985-01-01,00:00:00
Aakirkeby og Lobbæk Fjernvarme,31582148,2022,400,0.0,353000.0,350030.0,20.792,2.968,19.752,215.548767,139.73075999999998,113.99796,62.9208,62.9208,0.7426785565,0.2573214435,0.0,0.0,0.0,0.0,0.017935,0.0,0.0,0.0,0.0,158.48573199999998,0.0,57.02760000000001,0.0,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,342,342-3,Lobbæk Varmeværk,3720,Aakirkeby,69,2019,31582148,BORNHOLMS VARME A/S,FJ,Fjernvarmeværk,træpille,Kedel,fvv,1985-01-01,00:00:00
Aakirkeby og Lobbæk Fjernvarme,31582148,2023,400,,353000.0,350030.0,20.792,2.968,19.752,196.034118,135.3564,114.4764,45.612,45.612,0.7504616837666666,0.2495383162333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.89466,0.0,79.774458,0.0,1.365,0.0,0.0,0.0,0.0,0.0,0.0,342,342-3,Lobbæk Varmeværk,3720,Aakirkeby,69,2019,31582148,BORNHOLMS VARME A/S,FJ,Fjernvarmeværk,træpille,Kedel,fvv,1985-01-01,00:00:00
Aalestrup Fjernvarme (inkl. Hvam fra 2019),14411313,2021,840,0.0,353000.0,350030.0,59.636,3.131,55.953,202.8017474,195.6672,195.6672,2.106,2.106,0.7476293410888889,0.2523706589111111,0.0,0.0,0.0,0.0,0.233155,0.0,0.0,8.8572924,0.0,0.0,0.0,0.0,158.3125,0.0,0.0,0.0,35.3988,0.0,0.0,0.0,378,378-3,Nørager Varmeværk,9610,Nørager,270,342,14411313,Aalestrup-Nørager Energi A.M.B.A,DC,Decentralt værk,gasmotor 4EK 02489,Forbrændingsmotor,kvt,1988-01-01,00:00:00
Aalestrup Fjernvarme (inkl. Hvam fra 2019),14411313,2022,840,0.0,353000.0,350030.0,59.636,3.131,55.953,191.7461708,185.30424,185.30424,2.23236,2.23236,0.7492431813,0.2507568187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4497708000000005,0.0,0.0,0.0,0.0,143.17999999999998,0.0,0.0,0.0,42.1164,0.0,0.0,0.0,378,378-3,Nørager Varmeværk,9610,Nørager,270,342,14411313,Aalestrup-Nørager Energi A.M.B.A,DC,Decentralt værk,gasmotor 4EK 02489,Forbrændingsmotor,kvt,1988-01-01,00:00:00
Aalestrup Fjernvarme (inkl. Hvam fra 2019),14411313,2023,840,,353000.0,350030.0,59.636,3.131,55.953,204.9421798,201.7008,201.7008,1.54476,1.54476,0.7501369404333333,0.2498630595666666,0.0,0.0,0.0,0.0,0.104023,0.0,0.0,4.6414368,0.0,0.0,0.0,0.0,161.42112,0.0,0.0,0.0,38.7756,0.0,0.0,0.0,378,378-3,Nørager Varmeværk,9610,Nørager,270,342,14411313,Aalestrup-Nørager Energi A.M.B.A,DC,Decentralt værk,gasmotor 4EK 02489,Forbrændingsmotor,kvt,1988-01-01,00:00:00
Aars Fjernvarme,54442912,2021,820,1.0,353000.0,350030.0,89.1,7.45,71.01,598.6508367,516.613104,516.613104,50.334516,38.872116,0.7213579820066667,0.2786420179933333,0.0,0.0,0.0,0.0,0.1378783,0.0,0.0,11.6722584,418.4562,0.0,0.7975,0.0,146.7207,19.2535,0.0,0.0,0.0,0.0,1.6128,0.0,34,34-2,Aars Fjernvarme Dybvad Mølle Vej,9600,Aars,334,2265,54442912,Aars Fjernvarme Amba,DC,Decentralt værk,Træpillekedel,Kedel,fvv,1955-09-01,00:00:00
Aars Fjernvarme,54442912,2022,820,1.0,353000.0,350030.0,89.1,7.45,71.01,589.11990447,471.881196,471.881196,54.1368,42.2856,0.72107453568,0.27892546432,0.0,0.0,0.54678315,0.0,0.04755072,0.0,0.0,3.5287956,411.333,0.0,1.856,0.0,163.1994,7.060375,0.0,0.0,0.0,0.0,1.548,0.0,34,34-2,Aars Fjernvarme Dybvad Mølle Vej,9600,Aars,334,2265,54442912,Aars Fjernvarme Amba,DC,Decentralt værk,Træpillekedel,Kedel,fvv,1955-09-01,00:00:00
Aars Fjernvarme,54442912,2023,820,1.0,353000.0,350030.0,89.1,7.45,71.01,575.4865487,467.601012,467.601012,43.87248,33.59808,0.7183230579666666,0.2816769420333333,0.0,0.0,0.1215435,0.0,0.0937692,0.0,0.0,16.272036,404.7822,0.0,1.885,0.0,137.2245,13.6675,0.0,0.0,0.0,0.0,1.44,0.0,34,34-2,Aars Fjernvarme Dybvad Mølle Vej,9600,Aars,334,2265,54442912,Aars Fjernvarme Amba,DC,Decentralt værk,Træpillekedel,Kedel,fvv,1955-09-01,00:00:00
Agersted Fjernvarme,19774015,2023,810,,353000.0,350030.0,7.85,1.41,6.41,26.1304616,24.035760000000003,24.0336,1.3752,1.3752,0.8052924741,0.1947075259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3538616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.597,0.0,0.0,4.179600000000001,0.0,9,9-6,Agersted Varmeværk,9330,Dronninglund,280,9,19774015,AGERSTED VARMEVÆRK,DC,Decentralt værk,Elkedel,Elpatron,fvv,1988-01-01,00:00:00
Agersted Fjernvarme,19774015,2021,810,0.0,353000.0,350030.0,6.4,1.41,4.96,27.7343352,25.249464,25.249464,1.48158,1.48158,0.7314961368666667,0.2685038631333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5087352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2256,0.0,0.0,0.0,0.0,9,9-3,Agersted Varmeværk,9330,Dronninglund,280,9,19774015,AGERSTED VARMEVÆRK,DC,Decentralt værk,Kedelanlæg,Kedel,fvv,1988-01-01,00:00:00
Agersted Fjernvarme,19774015,2022,810,0.0,353000.0,350030.0,6.4,1.41,4.96,20.380392,19.37844,19.37844,0.72972,0.72972,0.7505956490000001,0.249404351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38,0.0,0.0,0.0,0.0,9,9-3,Agersted Varmeværk,9330,Dronninglund,280,9,19774015,AGERSTED VARMEVÆRK,DC,Decentralt værk,Kedelanlæg,Kedel,fvv,1988-01-01,00:00:00
Allingåbro Fjernvarme,18027410,2021,707,0.0,353000.0,350030.0,10.485,0.0,11.5,55.793002,65.8044,65.8044,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.697291,0.0,0.0,0.0,0.0,0.0,0.0,55.09571100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11-4,Allingåbro Varmeværk,8961,Allingåbro,219,11,18027410,ALLINGÅBRO VARMEVÆRK A M B A,FJ,Fjernvarmeværk,Flis-kedel,Kedel,fvv,2002-10-01,00:00:00
Allingåbro Fjernvarme,18027410,2022,707,0.0,353000.0,350030.0,10.485,0.0,11.5,56.080553,59.7888,59.7888,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.087142,0.0,0.0,0.0,0.0,0.0,0.0,54.99341100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11-4,Allingåbro Varmeværk,8961,Allingåbro,219,11,18027410,ALLINGÅBRO VARMEVÆRK A M B A,FJ,Fjernvarmeværk,Flis-kedel,Kedel,fvv,2002-10-01,00:00:00
Allingåbro Fjernvarme,18027410,2023,707,,353000.0,350030.0,10.485,0.0,11.5,66.34154799999999,61.5348,61.5348,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8215480000000001,0.0,0.0,0.0,0.0,0.0,0.0,65.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11-4,Allingåbro Varmeværk,8961,Allingåbro,219,11,18027410,ALLINGÅBRO VARMEVÆRK A M B A,FJ,Fjernvarmeværk,Flis-kedel,Kedel,fvv,2002-10-01,00:00:00
Als Fjernvarme,11304028,2021,846,0.0,353000.0,350030.0,13.0,0.0,12.65,48.1964,46.3932,46.3932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.893,0.0,21.199,0.0,0.0,0.0,9.1044,0.0,0.0,0.0,12,12-1,"Als Fjernvarme, Rørsangervej 3",9560,Hadsund,292,12,11304028,ALS FJERNVARME AMBA,FJ,Fjernvarmeværk,Oliecentral,Kedel,fvv,1965-01-01,00:00:00
Als Fjernvarme,11304028,2022,846,0.0,353000.0,350030.0,13.0,0.0,12.65,59.6645,57.3012,57.3012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5925,0.0,23.2,0.0,0.0,0.0,10.872,0.0,0.0,0.0,12,12-1,"Als Fjernvarme, Rørsangervej 3",9560,Hadsund,292,12,11304028,ALS FJERNVARME AMBA,FJ,Fjernvarmeværk,Oliecentral,Kedel,fvv,1965-01-01,00:00:00
Als Fjernvarme,11304028,2023,846,,353000.0,350030.0,13.0,0.0,12.65,46.0872,45.65880000000001,45.65880000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.738,0.0,0.0,0.0,0.0,0.0,9.349200000000002,0.0,0.0,0.0,12,12-1,"Als Fjernvarme, Rørsangervej 3",9560,Hadsund,292,12,11304028,ALS FJERNVARME AMBA,FJ,Fjernvarmeværk,Oliecentral,Kedel,fvv,1965-01-01,00:00:00
Ans Fjernvarme,11271715,2021,740,0.0,353000.0,350030.0,9.8,2.5,7.3,89.079804,50.97600000000001,49.9968,33.4008,32.6412,0.6331763753499999,0.36682362465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.07980400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,41-2,Ans Kraftvarmeværk,8643,Ans By,243,35,11271715,Ans Kraftvarmeværk A M B A,DC,Decentralt værk,kedel,Kedel,fvv,1987-10-01,00:00:00
Ans Fjernvarme,11271715,2022,740,0.0,353000.0,350030.0,9.8,2.5,7.3,70.9811388,42.7752,41.2596,24.6096,24.0336,0.63310997645,0.36689002355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.9811388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,41-2,Ans Kraftvarmeværk,8643,Ans By,243,35,11271715,Ans Kraftvarmeværk A M B A,DC,Decentralt værk,kedel,Kedel,fvv,1987-10-01,00:00:00
Ans Fjernvarme,11271715,2023,740,,353000.0,350030.0,9.8,2.5,7.3,68.9904864,45.1188,45.1188,20.5812,20.5812,0.6344111827,0.3655888173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.99048640000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,41-2,Ans Kraftvarmeværk,8643,Ans By,243,35,11271715,Ans Kraftvarmeværk A M B A,DC,Decentralt værk,kedel,Kedel,fvv,1987-10-01,00:00:00
Ansager Fjernvarme,62749814,2023,573,,353000.0,350030.0,12.0,0.0,12.0,48.8121445,48.899268,47.4047874,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.041796,0.0,0.0,0.0,0.0,0.0,0.0,48.14528,0.0,0.6250685000000001,0.0,0.0,0.0,0.0,0.0,0.0,42,42-1,Ansager Varmeværk,6823,Ansager,139,36,62749814,ANSAGER VARMEVÆRK,FJ,Fjernvarmeværk,Træpillekedler,Kedel,fvv,1995-05-01,00:00:00
Ansager Fjernvarme,62749814,2021,573,0.0,353000.0,350030.0,12.0,0.0,12.0,52.027783,53.87796,53.87796,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.032283,0.0,0.0,0.0,0.0,0.0,0.0,50.928,0.0,1.0675,0.0,0.0,0.0,0.0,0.0,0.0,42,42-1,Ansager Varmeværk,6823,Ansager,139,36,62749814,ANSAGER VARMEVÆRK,FJ,Fjernvarmeværk,Træpillekedler,Kedel,fvv,1995-05-01,00:00:00
Ansager Fjernvarme,62749814,2022,573,0.0,353000.0,350030.0,12.0,0.0,12.0,46.246120000000005,47.891268,47.235600000000005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.51812,0.0,0.728,0.0,0.0,0.0,0.0,0.0,0.0,42,42-1,Ansager Varmeværk,6823,Ansager,139,36,62749814,ANSAGER VARMEVÆRK,FJ,Fjernvarmeværk,Træpillekedler,Kedel,fvv,1995-05-01,00:00:00
Arden Fjernvarme,70874814,2023,846,14.0,353000.0,350030.0,13.37,2.76,10.61,102.8026228,86.47200000000001,86.47200000000001,9.6372,9.6372,0.8134681706,0.1865318294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7568228,0.0,0.0,0.0,0.0,0.0,6.475,0.0,43.57080000000001,0.0,0.0,0.0,0.0,1432,1432-1,Arden Varmeværk,9510,Arden,272,38,70874814,ARDEN VARMEVÆRK AMBA,DC,Decentralt værk,Motor Jenbacher,Forbrændingsmotor,kvt,1998-01-05,00:00:00
Arden Fjernvarme,70874814,2022,846,0.0,353000.0,350030.0,12.37,2.76,9.61,89.98658280000001,78.82920000000001,78.82920000000001,6.710400000000001,6.710400000000001,0.7520457366666666,0.2479542633333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.71920000000001,0.0,0.0,0.0,0.0,1432,1432-1,Arden Varmeværk,9510,Arden,272,38,70874814,ARDEN VARMEVÆRK AMBA,DC,Decentralt værk,Motor Jenbacher,Forbrændingsmotor,kvt,1998-01-05,00:00:00
Arden Fjernvarme,70874814,2021,846,0.0,353000.0,350030.0,12.37,2.76,9.61,108.4121244,86.340852,86.340852,15.584562,15.584562,0.7545488077333333,0.2454511922666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5417244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8704,0.0,0.0,0.0,0.0,1432,1432-1,Arden Varmeværk,9510,Arden,272,38,70874814,ARDEN VARMEVÆRK AMBA,DC,Decentralt værk,Motor Jenbacher,Forbrændingsmotor,kvt,1998-01-05,00:00:00
Arnborg Fjernvarme,27837417,2021,657,0.0,353000.0,350030.0,2.75,0.0,2.95,27.7697752,24.150636,24.150636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4648752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3049,0.0,0.0,0.0,0.0,0.0,0.0,200,200-2,"Verdo Varme Herning, Arnborg Varmecentral",7400,Herning,166,200,25809807,Verdo Varme Herning A/S,DC,Decentralt værk,Arnborg biokedel,Kedel,fvv,1964-01-01,00:00:00
Arnborg Fjernvarme,27837417,2022,657,0.0,353000.0,350030.0,2.75,0.0,2.95,24.73188262,22.548744,22.548744,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.35963262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.37225,0.0,0.0,0.0,0.0,0.0,0.0,200,200-2,"Verdo Varme Herning, Arnborg Varmecentral",7400,Herning,166,200,25809807,Verdo Varme Herning A/S,DC,Decentralt værk,Arnborg biokedel,Kedel,fvv,1964-01-01,00:00:00
Arnborg Fjernvarme,27837417,2023,657,,353000.0,350030.0,2.75,0.0,2.95,26.414323,22.5594,22.5594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6420729999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77225,0.0,0.0,0.0,0.0,0.0,0.0,200,200-2,"Verdo Varme Herning, Arnborg Varmecentral",7400,Herning,166,200,25809807,Verdo Varme Herning A/S,DC,Decentralt værk,Arnborg biokedel,Kedel,fvv,1964-01-01,00:00:00
Assens (v. Mariager) Fjernvarme,61877215,2021,846,0.0,353000.0,350030.0,11.8,0.0,11.8,80.71148,79.2324,79.2324,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14348,0.0,0.0,0.0,0.0,0.0,0.0,80.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3-3,Assens Fjernvarme (Mariagerfjord),9550,Mariager,209,4,27837417,ASSENS FJERNVARME A M B A,FJ,Fjernvarmeværk,Fliskedel,Kedel,fvv,1994-11-01,00:00:00
Assens (v. Mariager) Fjernvarme,61877215,2022,846,0.0,353000.0,350030.0,11.8,0.0,11.8,73.7496,72.2736,72.2736,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.7496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3-3,Assens Fjernvarme (Mariagerfjord),9550,Mariager,209,4,27837417,ASSENS FJERNVARME A M B A,FJ,Fjernvarmeværk,Fliskedel,Kedel,fvv,1994-11-01,00:00:00
Assens (v. Mariager) Fjernvarme,61877215,2023,846,,353000.0,350030.0,11.8,0.0,11.8,73.684327,72.27885599999999,72.27885599999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.075327,0.0,0.0,0.0,0.0,0.0,0.0,73.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3-3,Assens Fjernvarme (Mariagerfjord),9550,Mariager,209,4,27837417,ASSENS FJERNVARME A M B A,FJ,Fjernvarmeværk,Fliskedel,Kedel,fvv,1994-11-01,00:00:00
Assens Fjernvarme,27837417,2021,420,0.0,353000.0,350030.0,104.9,20.7,72.3,440.2997615,349.3012320000001,344.130732,70.60564799999999,67.59388799999999,0.4519635968230769,0.5480364031769231,0.0,0.0,0.0,0.0,3.7208015,0.0,0.0,0.0,0.0,0.0,0.0,378.47238,0.0,32.49006,0.0,0.0,0.0,0.0,10.568268,15.048252,2,2-1,Assens Fjernvarme Stejlebjergvej,5610,Assens,71,2362,40517987,Assens Fjernvarme Produktion A/S,DC,Decentralt værk,Blok I,Kedel,fvv,1961-01-01,00:00:00
Assens Fjernvarme,27837417,2022,420,0.0,353000.0,350030.0,104.9,20.7,72.3,426.6471973,322.3359756,314.9730756,71.01381599999999,66.78489599999999,0.4972490748538461,0.5027509251461539,0.0,0.0,0.0,0.0,6.2731777,0.0,0.0,0.0,0.0,0.0,0.0,374.33093,0.0,18.48307,0.0,0.0,0.0,0.0,9.111435804,18.448583796,2,2-4,Assens Fjernvarme Stejlebjergvej,5610,Assens,71,2362,40517987,Assens Fjernvarme Produktion A/S,DC,Decentralt værk,Blok II,Dampturbine,kvt,1961-01-01,00:00:00
Assens Fjernvarme,27837417,2023,420,1.0,353000.0,350030.0,104.9,20.7,72.3,426.6656299,329.7663,320.353848,66.4362,57.066840000000006,0.5572343700461538,0.4427656299538461,0.0,0.0,0.0,0.0,5.671005899999999,0.0,0.0,0.0,0.0,0.0,0.0,328.37116,0.0,7.254,0.0,0.0,0.0,0.0,26.48638476,58.88307924000001,2,2-4,Assens Fjernvarme Stejlebjergvej,5610,Assens,71,2362,40517987,Assens Fjernvarme Produktion A/S,DC,Decentralt værk,Blok II,Dampturbine,kvt,1961-01-01,00:00:00
Astrup Fjernvarme,17750909,2021,846,0.0,351100.0,350010.0,5.0566,1.0,4.13,19.601908,17.729244,17.729244,0.31896,0.31896,0.81209387865,0.18790612135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.181664,0.0,0.0,0.0,0.0,0.0,13.93,0.0,0.0,0.0,0.0,1.479528,3.010716,1043,1043-2,Astrup Kraftvarmeværk,9510,Arden,375,878,17750909,ASTRUP KRAFTVARMEVÆRK A.M.B.A.,DC,Decentralt værk,Naturgaskedel,Kedel,fvv,1994-11-01,00:00:00
Astrup Fjernvarme,17750909,2022,846,0.0,351100.0,350010.0,5.0566,1.0,4.13,15.8796416,15.75612,15.75576,0.28512,0.28512,0.812041692025,0.187958307975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9304416,0.0,0.0,0.0,1.104,0.0,9.464,0.0,0.0,0.0,0.0,1.458,2.9232,1043,1043-2,Astrup Kraftvarmeværk,9510,Arden,375,878,17750909,ASTRUP KRAFTVARMEVÆRK A.M.B.A.,DC,Decentralt værk,Naturgaskedel,Kedel,fvv,1994-11-01,00:00:00
