fv_net_navn,forsyid,aar,vaerk_kommune,kvoteaktivitet,DB07,NR117,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ,vaerk_id,vrkanl_ny,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,fv_net,selskab_id,cvr,selskab_navn,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,aktoer,idriftdato,skrotdato
Århus Fjernvarme,00000000,2000,259.0,0.0,11300.0,10000.0,2101.974,596.017,781.482,18711.291674091968,5115.98565039904,3960.9343399992113,6355.8705564,6004.489903199999,0.6662349015238188,0.2888839778206134,0.0448811206555677,9069.913,865.6682000000001,4.399,27.161200992,0.0,0.0,6438.5723576,626.75,187.17706550000003,310.657,58.696,938.4402,76.60625,0.0,104.0903999999689,0.0,3.161,0.0,0.0,0.0,0,0,0.0,0,206.0,0.0,0.0,0,ER,Erhvervsværk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2001,259.0,0.0,11300.0,10000.0,2113.089,600.019,783.413,15876.458647365002,5688.295442998949,4276.2569271991415,5067.3529224,4817.073265200001,0.6662680280158224,0.2934054919406472,0.0403264800435303,5913.3775000000005,389.1519,4.4,30.635271924,0.0,0.0,6824.490458271,633.066,244.84631717,321.385,81.294,1249.4099,96.4775,0.0,84.9708,0.0,2.954,0.0,0.0,0.0,0,0,0.0,0,206.0,0.0,0.0,0,ER,Erhvervsværk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2002,230.0,0.0,842200.0,840022.0,2163.575,608.9705,820.05,19063.029338048,5748.537760399024,4176.138209199259,6416.2670256,6057.5863392,0.6381798298038326,0.2987865288567284,0.0630336413394389,9084.434,443.386,3.562,32.722657368,0.0,0.0,6807.88905488,662.592,252.1835258,323.722,177.8925,1062.9208,85.4392,0.0,84.124,0.0,2.684,0.0,0.0,0.0,0,0,0.0,0,206.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2003,230.0,0.0,842200.0,840022.0,2190.18,609.4805,840.885,29507.648668894144,5860.016431999802,4413.435431599839,10502.17224967437,9832.51939447437,0.6461961982358866,0.2888613268654212,0.0649424748986922,19501.716376,533.6659128,1.08,32.84590508,0.0,0.0,6617.05751724,632.3415,382.1276501,332.85400000000004,74.19409999999999,1182.497,107.91025,0.0,106.992,0.0,2.3664576741412247,0.0,0.0,0.0,0,0,0.0,0,206.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-04-01
Århus Fjernvarme,00000000,2004,230.0,0.0,842200.0,840022.0,2215.086,616.1625,857.144,19071.569834424,5877.750711452389,4403.486418,6341.719669742461,5910.479629742461,0.6397232593673363,0.2980765175856771,0.0622002230469864,9137.697,587.350022,0.0,69.998808208,0.0,0.0,6399.1856816,615.2579999999999,431.2033750109992,341.444,75.5026,1181.569,214.231,0.2732,17.1,0.0,2.725731378,0.0,0.0,0.0,0,0,0.0,0,206.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-06-01
Århus Fjernvarme,00000000,2005,230.0,0.0,842200.0,840022.0,2225.396,609.7295,855.594,15280.88892010778,5708.161961451314,4460.376220151314,4757.823439179561,4472.334525579562,0.622596787458004,0.2915929676023016,0.0858102449396944,6267.879000000001,594.916,0.0,53.27616347000001,0.0,0.0,5459.29104178,657.9615,399.44644624603154,353.8775,132.2344,815.397,544.3506,0.573,0.0,0.0,1.6862686117485166,0.0,0.0,0.0,0,0,0.0,0,206.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-06-01
Århus Fjernvarme,00000000,2006,230.0,0.0,842200.0,840022.0,2287.279,630.833,860.251,25702.56984906214,5664.300231784578,4478.054793843504,8848.049398096293,8276.093954896292,0.6248760047117513,0.2856440763149391,0.0894799189733095,17258.478304363252,453.3928775258786,0.0,43.935501416,0.0,0.0,4792.1199416,848.5155,428.6898507981648,336.9715,153.7344,903.0063,480.72143,0.7384949999999999,0.0,0.0,2.2657483589259977,0.0,0.0,0.0,0,0,0.0,0,206.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-06-01
Århus Fjernvarme,00000000,2007,230.0,0.0,842200.0,840022.0,2289.464,629.2850000000001,863.243,17532.51564609528,5534.750281174687,4341.691897501462,5399.0520116868,5086.2724232868,0.6428291389151499,0.2804480586845083,0.0767228024003417,9361.7896,578.513,3.8596,116.65794506,0.0,0.0,4157.22416696,865.788,489.40532169367646,357.0335,160.65079,949.0467,466.9285775,23.1525376,0.0,0.0,2.4659072816000003,0.0,0.0,0.0,0,0,0.0,0,206.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-06-01
Århus Fjernvarme,00000000,2008,230.0,0.0,842200.0,840022.0,2286.141,630.775,858.374,13746.069164834962,5287.102316957938,4260.419408,3921.66721075,3696.35830915,0.6461893453242998,0.2867344034742352,0.0670762512014649,5976.3790485,443.64,2.9252904,109.50341378,0.0,0.0,3834.32055696,871.815,452.89519154816185,354.86875,267.48971,837.4002,555.8603925,28.43627725,0.0,0.0972,1.2393418968,0.0,0.0,0.0,0,0,0.0,0,206.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-06-01
Århus Fjernvarme,00000000,2009,230.0,0.0,842200.0,840022.0,2286.9235,630.1775,860.866,9486.90643443494,5095.222060885826,4239.728029188076,2259.515904552,2023.795435752,0.6448633141889416,0.2891718687010232,0.0659648171100352,1669.43787589385,916.469923573508,1.9669536,32.971237936,0.0,0.0,3409.036582,802.452,547.5549315455883,369.3535,305.70954,822.0635050000001,560.3482475,46.99125925,0.0,0.0936,2.079278136,0.378,0.0,0.0,0,0,0.0,0,206.0,0.0,0.0,0,LO,Lokalt værk,0,Forbrændingsmotor,pev,0,2012-06-01
