fv_net_navn,forsyid,aar,vaerk_kommune,kvoteaktivitet,DB07,NR117,indfyretkapacitet_MW,elkapacitet_MW,varmekapacitet_MW,brutto_TJ,varmeprod_TJ,varmelev_TJ,elprod_TJ,ellev_TJ,andel_varmelev,andel_el,andel_process,kul_TJ,fuelolie_TJ,spildolie_TJ,gasolie_TJ,raffinaderigas_TJ,lpg_TJ,naturgas_TJ,affald_TJ,biogas_TJ,halm_TJ,skovflis_TJ,trae- og biomasseaffald_TJ,traepiller_TJ,bio-olie_TJ,braendselsfrit_TJ,solenergi_TJ,vandkraft_TJ,elektricitet_TJ,omgivelsesvarme_TJ,vaerk_id,vrkanl_ny,vaerk_navn,vaerk_postnr,vaerk_postdistrikt,fv_net,selskab_id,cvr,selskab_navn,vrktypeid,vrktypenavn,anlaeg_navn,anlaegstype_navn,aktoer,idriftdato,skrotdato
Aabenraa,00000580,2000,580.0,0.0,353000.0,350030.0,1752.063,629.6030000000001,336.687,28892.381838788002,1217.416911999901,1203.410399999904,12161.1261492,11794.856353199999,0.7692528377583073,0.2153790220906139,0.015368140151078725,28356.21,138.839,0.0,15.270847288,0.0,0.0,94.3577195,7.935,8.189832,62.89164,59.788,4.559,0.0,0.0,144.3348,0.0,0.006,0.0,0.0,648.0,0,Løjt Kirkeby Fjernvarmeforsyning,6200.0,Aabenraa,118.0,542.0,12762038.0,Løjt Kirkeby Fjernvarmeselskab A.m.b.a,FJ,Fjernvarmeværk,Oliekedel,Kedel,fvv,0,2009-12-31
Aabenraa,00000580,2001,580.0,0.0,353000.0,350030.0,1753.813,629.6030000000001,338.437,30110.894493402,1307.2059999999578,1273.1120399999609,12318.9890328,11974.598596799999,0.7684013059450935,0.2103446663075344,0.021254027747372124,27937.97,178.11700000000002,0.0,41.033931771999995,0.0,0.0,101.87200563000002,10.274,15.013056,1590.08,52.608,31.906499999999998,0.0,0.0,152.0,0.0,0.02,0.0,0.0,648.0,0,Løjt Kirkeby Fjernvarmeforsyning,6200.0,Aabenraa,118.0,542.0,12762038.0,Løjt Kirkeby Fjernvarmeselskab A.m.b.a,FJ,Fjernvarmeværk,Fliskedel,Kedel,fvv,0,2009-12-31
Aabenraa,00000580,2002,580.0,0.0,353000.0,350030.0,1753.813,629.6030000000001,338.437,33442.169334324,1351.3037999999187,1302.7911999999214,13980.234168,13575.925368,0.7689196529829674,0.20984088645703874,0.021239460559993876,30974.58,162.93099999999998,0.0,40.904331544,0.0,0.0,98.97676277999999,4.206,15.78864,1793.855,171.824,27.733,0.0,0.0,151.3116,0.0,0.059,0.0,0.0,648.0,0,Løjt Kirkeby Fjernvarmeforsyning,6200.0,Aabenraa,118.0,542.0,12762038.0,Løjt Kirkeby Fjernvarmeselskab A.m.b.a,FJ,Fjernvarmeværk,Fliskedel,Kedel,fvv,0,2009-12-31
Aabenraa,00000580,2003,580.0,0.0,353000.0,350030.0,1780.813,629.6030000000001,338.437,34483.35392580019,1336.7471119999664,1294.2952199999716,14266.827845640191,13689.437625774191,0.7685122949606003,0.21112942715439326,0.0203582778850065,31756.46,147.6463817,0.0,40.23447226,0.0,0.0,98.00326799999999,68.039,17.233507,1735.645,440.117,27.959,0.0,0.0,152.0,0.0,0.0162968401908874,0.0,0.0,648.0,0,Løjt Kirkeby Fjernvarmeforsyning,6200.0,Aabenraa,118.0,542.0,12762038.0,Løjt Kirkeby Fjernvarmeselskab A.m.b.a,FJ,Fjernvarmeværk,"Halm Kedel, Vølund",Kedel,fvv,0,2009-12-31
Aabenraa,00000580,2004,580.0,0.0,353000.0,350030.0,1780.813,629.6020000000001,338.437,26729.379507714,1338.37376116,1292.7645841600001,10560.2373684,10076.3140824,0.7595873371691856,0.21047284969202323,0.029939813138791176,23986.25,226.35736475,0.0,34.853235364,0.0,0.0,101.4437952,0.0,9.2099624,1817.0,372.33185,27.2845,0.0,0.0,154.6488,0.0,0.0,0.0,0.0,648.0,0,Løjt Kirkeby Fjernvarmeforsyning,6200.0,Aabenraa,118.0,542.0,12762038.0,Løjt Kirkeby Fjernvarmeselskab A.m.b.a,FJ,Fjernvarmeværk,"Halm Kedel, Vølund",Kedel,fvv,0,2009-12-31
Aabenraa,00000580,2005,580.0,0.0,353000.0,350030.0,1781.74,629.6020000000001,338.437,12222.449314438,1175.576552,1127.67468,4634.2117512,4279.3386408,0.7630948317847898,0.22008685698721903,0.01681831122799115,9650.41,323.14798165,0.0,33.035184188,0.0,0.0,159.8418756,0.0,14.949673,1534.29,296.157,29.318,0.0,28.3464,152.9532,0.0,0.0,0.0,0.0,648.0,0,Løjt Kirkeby Fjernvarmeforsyning,6200.0,Aabenraa,118.0,542.0,12762038.0,Løjt Kirkeby Fjernvarmeselskab A.m.b.a,FJ,Fjernvarmeværk,Fliskedel,Kedel,fvv,0,2009-12-31
Aabenraa,00000580,2006,580.0,0.0,353000.0,350030.0,1781.74,629.595,338.437,25409.066689236384,1434.7063883205224,1332.95458,10572.0681779822,10069.301411982204,0.7734182273074115,0.18581516115230784,0.04076661154028065,22710.0,146.5863424,0.0,5.307473492,0.0,0.0,173.0082024,0.0,13.19907094438171,1765.6325,404.524,28.4191,0.0,9.3,153.09,0.0,0.0,0.0,0.0,648.0,0,Løjt Kirkeby Fjernvarmeforsyning,6200.0,Aabenraa,118.0,542.0,12762038.0,Løjt Kirkeby Fjernvarmeselskab A.m.b.a,FJ,Fjernvarmeværk,"Halm Kedel, Vølund",Kedel,fvv,0,2009-12-31
Aabenraa,00000580,2007,580.0,0.0,353000.0,350030.0,1781.74,629.595,338.437,22067.312788494004,1354.6179282375,1308.81106,8545.4401212,8134.747264799999,0.7733672364658639,0.20352217216561827,0.023110591368517824,19340.38,274.1218599,0.0,2.332248244,0.0,0.0,102.9537828,0.0,5.08012875,1873.1070000000002,296.851,6.319000000000001,0.0,17.8261688,148.3416,0.0,0.0,0.0,0.0,648.0,0,Løjt Kirkeby Fjernvarmeforsyning,6200.0,Aabenraa,118.0,542.0,12762038.0,Løjt Kirkeby Fjernvarmeselskab A.m.b.a,FJ,Fjernvarmeværk,Fliskedel,Kedel,fvv,0,2009-12-31
Aabenraa,00000580,2008,580.0,0.0,353000.0,350030.0,1781.74,629.595,338.437,25078.064952454002,1400.02731432,1346.1419799999999,10060.33819968,9628.26151968,0.7800182906538431,0.19595793083152346,0.024023778514633377,22777.01,157.7502,0.0,2.320492,0.0,0.009119254,100.93869720000001,0.0,4.530744,1439.043,403.562,20.366,0.0,20.0135,152.5212,0.0,0.0,0.0,0.0,648.0,0,Løjt Kirkeby Fjernvarmeforsyning,6200.0,Aabenraa,118.0,542.0,12762038.0,Løjt Kirkeby Fjernvarmeselskab A.m.b.a,FJ,Fjernvarmeværk,Fliskedel,Kedel,fvv,0,2009-12-31
Aabenraa,00000580,2009,580.0,0.0,353000.0,350030.0,1782.69,629.595,339.23699999999997,20494.9840336,1457.6388440000003,1420.288684,7839.67554,7478.964036,0.7906876277111315,0.19000354522215235,0.01930882706671605,18123.289,124.07155,0.0,10.7086328,0.0,0.0087,104.0776308,0.0,4.0787,1430.342,514.738,18.241,0.0,11.97882,153.45,0.0,0.0,0.0,0.0,648.0,0,Løjt Kirkeby Fjernvarmeforsyning,6200.0,Aabenraa,118.0,542.0,12762038.0,Løjt Kirkeby Fjernvarmeselskab A.m.b.a,FJ,Fjernvarmeværk,Fliskedel,Kedel,fvv,0,2009-12-31
