Unique Names from Excel,Unique Names from JSON
Aabenrå - Rødekro - Hjordkær Fjernvarme,Aabenraa-Rødekro Fjernvarme
Aabybro Fjernvarme,Aabybro Fjernvarme
Aakirkeby og Lobbæk Fjernvarme,Aalborg Forsyning
Aalborg Fjernvarme,Aale Fjernvarme
Aalestrup Fjernvarme (inkl. Hvam fra 2019),Aalestrup-Nørager Energi
Aars Fjernvarme,Aars Fjernvarme
Agersted Fjernvarme,Affaldplus
Allingåbro Fjernvarme,Affaldvarme Aarhus
Als Fjernvarme,Agersted Varmeværk
Ans Fjernvarme,Albertslund Forsyning
Ansager Fjernvarme,Allingåbro Varmeværk
Arden Fjernvarme,Als Fjernvarme
Arnborg Fjernvarme,Ans Kraftvarmeværk
Assens (v. Mariager) Fjernvarme,Ansager Varmeværk
Assens Fjernvarme,Arden Varmeværk
Astrup Fjernvarme,Asaa Fjernvarme
Aså Fjernvarme,Assens Fjernvarme
Augustenborg Fjernvarme,Assens Fjernvarme Fyn
Aulum Fjernvarme,Assens Fjernvarme Mariager
Auning Fjernvarme,Assentoft Forsyning
"Balle, Hoed og Glatved",Astrup Kraftvarmeværk
Ballen-Brundby-Kolby-Permelill,Augustenborg Fjernvarme
Balling-Rødding Fjernvarmenet,Aulum Fjernvarme
Bedsted Fjernvarme,Auning Varmeværk
Billund Fjernvarme,Avedøre Fjernvarme
Bindslev Fjernvarme (lagt ind under Sindal FV (315) i foråret 2021),Ballen/Brundby Fjernvarme
Bjerringbro Fjernvarme,Balling-Rødding Varmeværk
Blenstrup Fjernvarme,Bedsted Fjernvarme
Blokvarme mv,Benløseparkens Varmecentral
Blåhøj,Billund Varmeværk
Bogense Fjernvarme,Bindslev Fjernvarme
Borup Fjernvarme,Bioenergi Vest
Bramming Fjernvarme,Bjæverskov Fjernvarme
Brande Fjernvarme,Blenstrup Kraftvarmeværk
Bredebro Fjernvarme,Blåhøj Energiselskab
Broager Fjernvarme,Bogense Forsyningsselskab
Brovst Fjernvarme,Bornholms Energi & Forsyning
Brædstrup Fjernvarme,Borup Varmeværk
Brønderslev Fjernvarme,Boulstrup-Hou Kraftvarmeværk
Brøns Fjernvarme,Bramming Fjernvarme
Brørup Fjernvarme,Brande Fjernvarme
Byrum Fjernvarme,Bredebro Varmeværk
Bækmarksbro Fjernvarme,Bredsten-Balle Kraftvarmeværk
Bælum Fjernvarme,Broager Fjernvarmeselskab
Bøvlingbjerg Fjernvarme,Brovst Fjernvarme
Christiansfeld-Tyrstrup Fjernv,Bryrup Brinelaug
"DTU-Holte-Nærum Fjernvarme (inkl. Øverød, Teknikerbyen, Skodsborg)",Brædstrup Fjernvarme
Dronninglund Fjernvarme,Brøndby Fjernvarme
Dueholm Fjernvarme,Brønderslev Forsyning
Durup Fjernvarme,Brønderslev Varme
Dybvad Fjernvarme,Brøns Fjernvarme
Ebeltoft Fjernvarme,Brørup Fjernvarme
Egebjerg,Bækmarksbro Varmeværk
Egedal fjernvarmenet,Bælum Varmeværk
Egtved Fjernvarme,Bøvling Varmeværk
Ejby Fjernvarme,Christian Høier
Ejsing Fjernvarme,Christiansfeld Fjernvarme
Ejstrupholm Fjernvarme,Cobra Varme
Engesvang-Moselund Fjernvarme,Dagnæs-Bækkelund Varmeværk
Esbjerg-Varde Fjernvarme,Daugård Fællesvarme
Faaborg Fjernvarme,Din Forsygning
Farstrup-Kølby Fjernvarme,Din Forsyning
Farsø Fjernvarme,Din Forsyning A/S
Fasterholt Fjernvarme,Din Forsyning Varme
Faxe Fjernvarme,Dronninglund Fjernvarme
Feldborg Fjernvarme,Dtu-Hf
Fensmark Fjernvarme,Durup Fjernvarme
Filskov Fjernvarme,Dybvad Varmeværk
Fjernvarme Fyn,E.On Varme Danmark
Fjerritslev Fjernvarme,E.On Ørslev-Terslev Kraftvarmeanlæg
Flauenskjold Fjernvarme,Ebeltoft Fjernvarmeværk
Frederiks Fjernvarme,Egebjerg Nærvarme
Frederikshavn Fjernvarme,Egedal Fjernvarme
Frederikssund Fjernvarme,Egtved Varmeværk
Frederiksværk Fjernvarme,Ejby Fjernvarmecentral
Frifelt Fjernvarme,Ejendomsselskabet Atpfa
Frøslev Fjernvarme,Ejerlauget Båstrup Park
Frøstrup Fjernvarme,Ejsing Fjernvarmeforsyning
Fuglebjerg Fjernvarme,Ejstrupholm Varmeværk
Føns Fjernvarmenet,Ellehavegaard Energy
Galten Fjernvarme,Ellidshøj-Ferslev Kraftvarmeværk
Gassum-Hvidsten Fjernvarme,Energi Hurup
Gedser Fjernvarme,Energi Ikast Varme
Gedsted Fjernvarme,Energi Vegger
Gelsted Fjernvarme,Engholm Varmecentral
Genner Fjernvarme,Eniig City Solutions
Gilleleje Fjernvarme,Farsø Varmeværk
Give Fjernvarme,Farum Fjernvarme
Gjerlev Fjernvarme,Faxe Fjernvarmeselskab
Gjerrild,Feldborg Kraftvarmeværk
Gjøl Fjernvarme,Fensmark Fjernvarmeværk
Gl. Rye,Ffv Varme Faaborg
Glamsbjerg-Haarby Fjernvarme,Filskov Energiselskab
Glesborg Fjernvarme,Fjernvarme Fyn
Glyngøre Fjernvarme,Fjernvarme Horsens
Gram Fjernvarme,Fjernvarmecentralen Avedøre Holme
Grenå Fjernvarme,Fjerritslev Fjernvarme
Grevinge-Herrestrup Fjernvarme,Flauenskjold Varmeværk
Grindsted Fjernvarme,Fors A/S
Gråsten Fjernvarme,Fors Varme
Græsted Fjernvarme,Fors Varme Roskilde
Gylling-Ørting-Falling Fjernv.,Forsyning Helsingør
Gølstrup-Hundelev-Vittrup,Forsyning Helsingør Service
Gørding Fjernvarme,Fredericia Fjernvarme
Haderslev Fjernvarme,Frederiks Varmeværk
Haderup Fjernvarme,Frederiksberg Forsyning
Hadsten Fjernvarme,Frederikshavn Kommune
Hadsund By Fjernvarme,Fredrikshavn Varme
Hallund Fjernvarme,Frifelt/Roager Kraftvarme
Hals Fjernvarme,Frifelt/Roager Kraftvarmeværk
Halvrimmen Fjernvarme,Frøstrup Fjernvarmeværk
Hammel Fjernvarme,Fuglebjerg Fjernvarme
Hammershøj Fjernvarme,Fur Kraftvarmeværk Amba
Hammershøj-Østerby Fjernvarme (lukket pr. 1. januar 2022),Føns Nærvarme
Hanstholm Fjernvarme,Galten Varmeværk
Harboøre Fjernvarme,Gartneres Varmeforsyning I Åsum Og Langeskov
Harlev-Framlev Fjernvarme,Gartnernes Fjernvarmeselskaber
Hashøj Fjernvarme,Gassum/Hvidsten Kraftvarmeværk
Hasle Fjernvarme (Bornholms Forsyning tidl. Vestbornholms),Gauerslund Fjernvarme
Haslev Fjernvarme,Gedser Fjernvarme
Haunstrup Fjernvarme,Gedsted Varmeværk
Havdrup Fjernvarme,Gelsted Fjernvarme
Havndal Fjernvarme,Genner-Hellevad-Hovslund
Havneby Fjernvarme (Rømø),Gentofte Gladsaxe Fjernvarme
Hedensted Fjernvarme,Gev Varme
Hejnsvig Fjernvarme,Gilleleje Fjernvarme
Hellevad Fjernvarme,Give Fjernvarme
Helsinge Fjernvarme,Gjerlev Varmeværk
Hemmet,Gjøl Private Kraftvarmeværk
Herning-Ikast Fjernvarme,Glamsbjerg-Haarby Varmeværk
Hillerød-Farum-Værløse,Glostrup Forsyning
Hjallerup Fjernvarme,Glumsø Fjernvarme
Hjørring Fjernvarme (inkl. Hirtshals Fjernvarme fra 2011),Glyngøre Fjernvarmeværk
Hobro Fjernvarme,Gram Fjernvarme
Hodsager Fjernvarme,Grenaa Varmeværk
Holeby Fjernvarme,Greve  Fjernvarme
Holstebro-Struer Fjernvarme,Grindsted El- Og Varmeværk
Holsted Fjernvarme,Grundejerf Rønneholtparken
Horbelev Fjernvarme,Gråsten Fjernvarme
Horreby Fjernvarme,Græsted Fjernvarme
Horsens Fjernvarme,Grønhøj Strand
Hou Fjernvarme,Gudenådalens Energiselskab
Hov-Boulstrup,Guldborgsund Forsyning
Hovedgård Fjernvarme,Gylling-Ørting-Falling Kraftvarmeværk
Hovslund Fjernvarme,Gårslev Fjernvarme
Humlebæk Fjernvarme,Gørding Varmeværk
Hundested Fjernvarme,Haarby Kraft-Varme
Hundslund-Oldrup Fjernvarme,Haderslev Fjernvarme
Hurup Fjernvarme,Haderup Kraftvarmeværk
Hvalpsund Fjernvarme,Hadsten Varmeværk
Hvalsø Fjernvarme,Hadsund Fjernvarme
Hvidbjerg Fjernvarme,Hallund Kraftvarmeværk
Hvide Sande Fjervarme,Hals Fjernvarme
Hvidebæk Fjernvarme,Halsnæs Forsyning
Hyllinge,Halsnæs Varme
Høgild Fjernvarme,Halvrimmen-Arentsminde Kraftvarmeværk
"Højby, Svinninge, Nr.Asmindrup",Hammel Fjernvarme
Højslev-Nr. Søby Fjernvarme,Hammershøj Fjernvarmeværk
Høng Fjernvarme,Hanstholm Varmeværk
Hørby Fjernvarme,Harboøre Varmeværk
Jerslev Fjernvarme,Hashøj Kraftvarmeforsyning
Jetsmark Fjernvarme,Haslev Fjernvarme
Jyderup Fjernvarme,Havndal Fjernvarme
Jægerspris Fjernvarme,Havneby Varmeværk
Kalundborg Fjernvarme,Hedensted Fjernvarme
Karby-Hvidbjerg-Redsted Fjernv,Hejnsvig Varmeværk
Karup Fjernvarme,Helle Energi
Kibæk Fjernvarme,Helsinge Fjernvarme
Kjellerup Fjernvarme,Hemmet Varmeværk
Klejtrup Fjernvarme,Hillerød Forsyning
Klemensker Fjernvarme,Hillerød Varme A/S - Meløse-St.Lyngby
Kloster Fjernvarme,Hinnerup Fjernvarme
Kolind Fjernvarme,Hirtshals Fjernvarme
Kongerslev Fjernvarme,Hjallerup Fjernvarme
Korsør Fjernvarme,Hjordkær Fjernvarmeværk
Kværndrup Fjernvarme,Hjortsvang Fællesvarme
Kyndby Fjernvarme,Hjørring Varmeforsyning
Langå Fjernvarme,Hobro Varmeværk
Laurbjerg Fjernvarme,Hofor
Lem Fjernvarme (Ringkøbing),Holeby Fjernvarme
Lemvig Fjernvarme,Holme-Lundshøj Fjernvarme
Lendemarke Fjernvarme,Holsted Varmeværk
Lendum Fjernvarme,Holte Fjernvarme
Lohals Fjernvarme,Hornbæk Fjernvarme
Løgstrup Fjernvarme,Hornslet Fjernvarme
Løgstør-Ranum-Vindblæs Fjernvarmenet,Hornsyld Klimavarme
Løgumkloster Fjernvarme,Hornsyld-Bråskov Lokalråd
Løjt Kirkeby Fjernvarme,Hovedgaard Fjernvarmeværk
Løkken Fjernvarme,Hundested Varmeværk
Løsning Fjernvarme,Hundslund-Oldrup Kraftvarmeværk
Manna-Tiese Fjernvarme,Hvalpsund Kraftvarme
Mariager Fjernvarme,Hvalsø Kraftvarmeværk
Maribo Fjernvarme,Hvidbjerg Fjernvarme
Marstal Fjernvarme,Hvide Sande Fjernvarme
Mejlby Fjernvarme,Hvidebæk Fjernvarmeforsyning
Mellerup Fjernvarme,Hvidovre Fjernvarme
Menstrup,Høje Taastrup Fjernvarme
Mesballe,Højslev Nr.Søby Fjernvarmeværk
Mou Fjernvarme,Høng Varmeværk
Møldrup Fjernvarme,Hørby Varmeværk
Mørke Fjernvarme,Ingstrup Fjernvarme
Mørkøv Fjernvarme,Ishøj Varmeværk
Nakskov Fjernvarme,Jelling Varmeværk
Nederby-Debel Fjernvarme,Jerslev Varmeværk
Neksø Fjernvarme,Jetsmark Energiværk
Nibe Fjernvarme,Jyderup Varme A/S
Nimtofte og Omegns Fjernvarmeforsyning (NOFF),Jægerspris Kraftvarme
Nordals Fjernvarme,K/S Difko Lxv
Nordby-Mårup,Kalundborg Varmeforsyning
Nordøstsjællands Fjernvarme,Karup Varmeværk
Nyborg Fjernvarme,Kerteminde Forsyning
Nykøbing Falster Fjernvarme,Kibæk Varmeværk
Nykøbing Mors Fjernvarme,Kjellerup Fjernvarme
Nykøbing Sjælland Fjernvarme,Klejtrup Kraftvarmeværk
